"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"TICAM1",5,0.0648163723542641,"no",0.0867743535404241,0.0439973129886832,4,0.456421747680061,"no","",0.274580980511934,"down","","",567
"RASGRF2",5,0.0648328495406286,"no",0.00609635700288709,0.0865792731951916,5,0.596824728336559,"no","",0.270723564080761,"up","KEAP1 (depleted, 7% vs 20%)","",567
"ANKRD31",4,0.065005230635183,"no",-0.135719001538107,0.274431432881498,4,0.991356693610202,"no","",0.00863063259523584,"up","","",567
"TRIM29",5,0.0651630283081305,"no",-0.0696231261130825,0.130012261009772,4,0.127670245004494,"no","",0.00452655080059459,"up","","",567
"TP53I3",6,0.0651767467568342,"no",0.015073510675789,0.113563812567168,5,0.996793997809121,"no","",0.000239533968300389,"up","","KEAP1 (enriched, 8% vs 1%)",567
"DNAI2",5,0.0652788768685187,"no",0.0230080995581011,0.130222723779922,4,0.513823848396102,"no","",3.78165781038285e-13,"down","KIAA1549L (depleted, 2% vs 11%)","",567
"BTNL3",5,0.0653120037165439,"no",0.0926137016874925,0.0433154357673336,4,0.452187650930867,"no","",9.84530591049543e-09,"down","","",567
"CDK4",5,0.0657104717505433,"no",0.0225123829910175,0.0988226765322445,5,0.994570984124584,"no","CM_Act",8.26892486017522e-22,"up","","",567
"BTN2A1",6,0.0658382093155391,"no",-0.00254606965692725,0.0316592417367648,5,0.0573834859189536,"no","",0.789989008768074,"up","","",567
"RPL22L1",6,0.0658985851592713,"no",0.0718428647131212,0.0613470925874372,5,0.997093996933008,"no","",2.47193523387055e-18,"up","","EGFR (depleted, 2% vs 8%), KEAP1 (enriched, 8% vs 1%), SMARCA4 (enriched, 7% vs 1%), STK11 (enriched, 17% vs 7%)",567
"TACR1",6,0.0663375231967734,"no",-0.0354799270535659,0.0501591214578336,5,0.971366749376521,"no","",1.71871094135934e-10,"down","","",567
