"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"GEM",6,0.422371660378778,"no",-0.106396077778999,0.107792486795103,5,0.998019577678091,"no","",0.563553087183463,"up","","STK11 (enriched, 17% vs 6%)",567
"LOC100630923",6,0.422981049059349,"no",0.0117491248805029,0.135279334423459,0,NA,NA,"",NA,NA,NA,NA,567
"PRKRIP1",6,0.422981049059349,"no",0.0719691844080633,0.0969917139769905,5,8.21228806488968e-05,"yes","",2.24696819820041e-19,"up","","",567
"NRBF2",6,0.423155192496043,"no",0.0125895628474777,0.0669479242275862,5,0.0055372081532578,"no","",0.677753228781958,"up","","",567
"SIX1",6,0.423285809482855,"no",0.0311739902998382,0.0437967773207007,5,0.236555163412315,"no","WT_LoF",2.17533353830706e-18,"up","","",567
"FOXC1",5,0.423541906504149,"no",-0.00995165795447011,0.0576761470203402,5,0.456806698220776,"no","",0.434138878859711,"up","","",567
"HDGFRP3",6,0.423939014903482,"no",NA,NA,0,NA,NA,"",NA,NA,NA,NA,567
"CAPRIN2",4,0.424130584248333,"no",-0.0970782309249407,0.0344661866056703,3,0.32984006787503,"no","",0.426634594307341,"up","","",567
"TTBK2",6,0.424505287770309,"no",-0.0178196714455466,0.0629823196503324,5,0.999249841433542,"no","",1.3502763976509e-09,"down","","",567
"JAM3",6,0.424723124713364,"no",0.0557511652931479,0.0531252412937349,5,0.999203624148351,"no","",1.0330354347297e-20,"down","","",567
"PARP16",6,0.425158864396652,"no",-0.126927986718972,0.0456924642318995,5,0.312717039226698,"no","",6.56433169390991e-08,"up","","",567
"NKIRAS1",6,0.425246022827122,"no",-0.0700973977714941,0.0762580078269666,5,0.427291353644826,"no","",3.71011613335498e-06,"down","","",567
"RAC2",5,0.425393122371425,"no",-0.0688104455897701,0.0299700257324168,4,0.485139854463737,"no","",0.000930925701361248,"down","","",567
"KCNK4",6,0.425463934157557,"no",NA,NA,5,0.00264323251262344,"no","",0.870853294864287,"up","","",567
"FZD5",6,0.425769046533084,"no",-0.171620800382103,0.146634595001173,5,0.353124308553956,"no","",2.85646756496251e-12,"down","","",567
"LRRC38",6,0.426161396216305,"no",-0.0229176508476186,0.0812835777664333,5,0.0307393603005,"no","",0.380621118417232,"up","","",567
