"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"LYST",5,2,0.712950009454396,"no",0.26351757407899,0.247335146940784,0.141762900468203,0.149346503226162,5,2,0.219721733286882,"no","","yes",0.00590551181102362,508
"BAI3",6,2,0.725270017774407,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,NA,508
"GRIA4",5,2,0.74755444618742,"no",-0.219408621798097,0.291646029633535,-0.281255447654146,0.121843433624277,6,2,0.422295258652541,"no","","yes",0.00590551181102362,508
"SACM1L",5,2,0.760643481871837,"no",-0.108753411692698,0.206765753432257,0.102576003921162,0.241170408782379,6,2,0.483292046197905,"no","","yes",0.00393700787401575,508
"LRP2",6,2,0.785614760678944,"no",0.0558861004968605,0.148055492685654,0.156157868150298,0.02352743139641,6,2,0.345630520713493,"no","","yes",0.0255905511811024,508
"TDRD12",6,2,0.793070912541575,"no",-0.248266042823237,0.160632333811025,-0.312897382926024,0.161797271151459,6,2,0.0939953593135539,"no","","yes",NA,508
"TCHH",5,2,0.794159372713936,"no",0.0653520883675439,0.144373317988667,0.296898907173988,0.118308549607684,5,2,0.37964546552234,"no","","yes",0.00984251968503937,508
"JMJD1C",6,2,0.796979937620841,"no",0.0621018457474095,0.188623228382128,0.125878086721065,0.134394178908575,6,2,0.435344504918461,"no","","yes",0.00393700787401575,508
"DROSHA",6,2,0.822519106313866,"no",-0.339357699132769,0.448542668624546,0.0365115488881395,0.0901697884396415,6,2,0.607461967413952,"no","LUSC_LoF,WT_LoF","yes",0.00196850393700787,508
"ARHGEF25",6,2,0.838431073996809,"no",-0.0923669113196173,0.238297346921705,0.015948429355141,0.120326759879277,6,2,0.611956042940616,"no","","yes",0,508
"CACNA1B",5,2,0.854120520181463,"no",-0.251465758815131,0.120786330988213,-0.19372039995702,0.123708045709541,6,2,0.627567227439365,"no","","yes",0.00590551181102362,508
"CSMD1",5,3,0.876477510674996,"no",-0.200185700948728,0.151699118800897,-0.0884096039826696,0.309947899606815,5,3,0.270246804743728,"no","","yes",0.00393700787401575,508
"MASP1",6,2,0.939282807355064,"no",NA,NA,NA,NA,6,2,0.466194312202813,"no","","yes",0,508
"IGSF9",6,2,0.957100938645744,"no",-0.274053746215795,0.284577744962986,-0.294309581677011,0.200990667409568,6,2,0.736867253905405,"no","","yes",0.00196850393700787,508
"DNAH5",5,2,0.972766104309188,"no",-0.0329195480438894,0.484212563420631,-0.0451706699567749,0.0341386420201647,5,2,0.418143114137951,"no","","yes",0.0137795275590551,508
