"","#wt","#mut","pvalue","is_significant","tcga_pvalue","tcga_tumor_vs_normal"
"MPZ",37,3,0.986397525732327,"no",2.47745955612226e-10,"down"
"ITGA1",35,5,0.986410528989515,"no",0.135212847278385,"down"
"PKIA",37,3,0.986527574240154,"no",0.0057783164330651,"down"
"CALML3",36,4,0.986591158062739,"no",9.04167210283569e-07,"up"
"TNFSF10",37,3,0.986719460131756,"no",4.05907235049059e-13,"down"
"FOXO1",34,6,0.986743355662437,"no",4.5362824491287e-13,"down"
"KLHL32",36,4,0.98675683950725,"no",6.71376458559207e-16,"up"
"EML3",36,4,0.98678667524071,"no",1.20312984825353e-16,"up"
"GNB1L",36,4,0.986818434837394,"no",2.54445460536163e-100,"up"
"VAX1",37,3,0.986930421660262,"no",0.000106945912599944,"up"
"ISG20",38,2,0.987003172560997,"no",7.09328671648158e-06,"down"
"PDE6G",38,2,0.987172188070717,"no",4.69790450183052e-06,"down"
"ZBTB40",34,6,0.987181194840431,"no",0.0137136566413691,"up"
"FLOT2",37,3,0.98721362216753,"no",0.00393414870615557,"up"
"NXPH3",38,2,0.987236525858941,"no",1.2549139483608e-05,"down"
"NUDT8",39,1,0.987385502407531,"no",3.59333082003497e-18,"up"
"SLC6A14",37,3,0.98742376685757,"no",7.18263387217889e-18,"up"
"KLHL21",37,3,0.987568329067715,"no",0.00831823898008851,"up"
"DMRTA1",30,10,0.987592338070754,"no",5.91303875907902e-18,"down"
"GNG5",40,0,0.987604402258309,"no",0.0106731651325066,"down"
"NEUROG3",38,2,0.987649587468414,"no",0.0578616392305091,"down"
"SLC6A20",35,5,0.987656500460073,"no",3.89137543200385e-11,"up"
"GJA3",35,5,0.987814565331192,"no",2.56688383954267e-16,"up"
"ARL8A",39,1,0.987822944957876,"no",1.80634256888531e-35,"up"
"EBF1",36,4,0.987833967160051,"no",5.64789311546809e-09,"down"
"PKMYT1",39,1,0.987888432903712,"no",1.09473308218857e-83,"up"
"COL27A1",28,12,0.98789846776474,"no",1.76882192745559e-54,"up"
"RHOC",37,3,0.98790028752816,"no",1.09887407469268e-13,"down"
"DPY19L3",37,3,0.987924626133087,"no",6.30366557683834e-32,"up"
"SBK2",39,1,0.987931940958182,"no",0.179339024729685,"up"
"CFHR2",37,3,0.987940272693471,"no",0.952289893574206,"down"
"SIRT1",33,7,0.987986793424,"no",0.00169301267292391,"down"
"SLC35F3",36,4,0.987990267716126,"no",0.00676846395283758,"down"
"MSX1",37,3,0.98803133104072,"no",1.21532135168919e-45,"up"
"MATN3",36,4,0.988150573346348,"no",9.63013481301383e-17,"up"
"GRIN2C",29,11,0.988205777477941,"no",5.7829561775558e-05,"up"
"COPS8",35,5,0.98821265651367,"no",2.19262860985612e-19,"up"
"THRA",38,2,0.988222857724835,"no",0.230048487020595,"down"
"MKNK1",37,3,0.988351605133458,"no",2.05429510633069e-08,"down"
"IRX6",31,9,0.988355810191397,"no",6.303931968742e-05,"down"
"ALG8",36,4,0.988366202714953,"no",3.54183649310643e-47,"up"
"NFRKB",34,6,0.988481539891228,"no",0.142218852351336,"up"
"KLHL22",34,6,0.988523031788737,"no",0.256018543936061,"down"
"MERTK",33,7,0.988663208797803,"no",0.0156825643904068,"down"
"DCAF8",37,3,0.988712229311961,"no",0.00717485685917037,"up"
"CYP2W1",34,6,0.988755264454226,"no",6.41250458365616e-24,"up"
"MYT1",32,8,0.988776038790982,"no",1.1657734802571e-11,"up"
"DUSP13",38,2,0.988870362743079,"no",1.40772876407937e-08,"up"
"RHOT1",34,6,0.988899614976797,"no",3.16588568136074e-08,"up"
"ANKRD23",33,7,0.989048906097802,"no",1.00892293711531e-27,"up"
"C1QC",33,7,0.989076625998338,"no",2.71551763843321e-08,"down"
"YAF2",39,1,0.989108829532901,"no",3.02707254415562e-13,"up"
"PBK",36,4,0.989143040492115,"no",4.309102935873e-25,"up"
"DPY30",38,2,0.989171006200548,"no",1.33077063105351e-13,"up"
"KDM4A",37,3,0.989220992761997,"no",6.4061132294082e-10,"down"
"ATP8B4",33,7,0.989232206301782,"no",4.10690661812983e-10,"down"
"KCTD8",38,2,0.989241853807406,"no",0.000372643086109665,"down"
"RNF2",35,5,0.989356936403521,"no",8.41232416285052e-07,"up"
"MSL3",36,4,0.989394745544126,"no",1.05049596529447e-24,"up"
"NMRK1",37,3,0.989401191269879,"no",4.02293559510424e-05,"down"
"GTF2IP1",39,1,0.989408045472985,"no",0.415712002897113,"down"
"LOC100093631",39,1,0.989408045472985,"no",NA,NA
"GPT",35,5,0.989526683140549,"no",2.73301993769573e-18,"down"
"NOV",35,5,0.989531868368619,"no",2.26348706183048e-06,"down"
"ANGPTL5",35,5,0.989603357384095,"no",8.44991808030089e-09,"down"
"CES3",35,5,0.989620112421986,"no",1.22995269571578e-17,"down"
"C17orf58",37,3,0.989625019668831,"no",0.605691832609659,"up"
"USP7",34,6,0.989650826817944,"no",6.88501257526489e-12,"up"
"RAB5A",36,4,0.989706241997711,"no",0.607511501897918,"up"
"EPB41L3",32,8,0.989714445706938,"no",4.25577404160433e-24,"down"
"OR51B2",32,8,0.989785948982828,"no",0.0814801742752707,"up"
"DNAJC27",36,4,0.98988087216886,"no",0.00084862635353977,"down"
"ALX3",35,5,0.989934559137318,"no",5.87011696263667e-07,"up"
"ANKRD28",34,6,0.989978992497955,"no",0.189601568502006,"up"
"DPP6",28,12,0.990024929100902,"no",5.24280143444216e-06,"down"
"ITGB5",36,4,0.990027733060725,"no",3.66139426560374e-16,"up"
"ECHS1",34,6,0.990031589014434,"no",6.75764299219212e-07,"down"
"IDH3B",36,4,0.990045897048793,"no",2.51224498198504e-08,"up"
"HOXA10",36,4,0.990055792491575,"no",4.88138380823102e-09,"up"
"SALL2",35,5,0.990058002642995,"no",1.41994324076447e-07,"down"
"RAD23B",37,3,0.99007952268423,"no",4.92147238823417e-33,"up"
"OR14A16",37,3,0.990094850469294,"no",0.651260020559892,"down"
"PDGFB",33,7,0.990099539734972,"no",5.43682568950692e-09,"up"
"DDX46",36,4,0.990241825318406,"no",2.01885145060431e-15,"up"
"BLZF1",37,3,0.990246702461544,"no",0.169417803069507,"down"
"RACGAP1",37,3,0.990265849159864,"no",2.34441635145304e-52,"up"
"RBMXL1",36,4,0.990271665631355,"no",0.00462455880735241,"up"
"PNCK",39,1,0.990347698164236,"no",0.000175507276957744,"down"
"CDK11B",32,8,0.990386047851822,"no",0.681802639100801,"down"
"PHF13",38,2,0.990454124661519,"no",3.18627645576574e-08,"up"
"NDST2",31,9,0.990512677483469,"no",0.115066445669008,"up"
"PRDM16",29,11,0.990528257416375,"no",0.0424807444925935,"up"
"KIF14",35,5,0.990577505736685,"no",1.55954862289961e-72,"up"
"CDK12",31,9,0.990598922941824,"no",2.88025237893143e-18,"up"
"THRAP3",36,4,0.990622025284683,"no",0.156290352665815,"up"
"MLX",38,2,0.990635473151601,"no",5.1585135206067e-07,"down"
"ADAMTSL3",28,12,0.990648599298386,"no",1.18281675947371e-06,"down"
"ATG14",39,1,0.99066655989643,"no",0.787843004346066,"up"
"ABCC8",27,13,0.990675574760552,"no",3.57734057306995e-12,"down"
"RCBTB1",34,6,0.990699248730485,"no",1.15100419805511e-51,"up"
"IL1RAPL1",37,3,0.99070307472951,"no",1.19872177249552e-06,"down"
"FZD2",38,2,0.990732251120002,"no",3.8587219567425e-10,"up"
"SPAG4",35,5,0.990741395734351,"no",4.7533377546204e-16,"up"
"ARF6",39,1,0.990763697780903,"no",4.22005153958925e-13,"down"
"C1QTNF1",34,6,0.990785642892672,"no",8.72217686554249e-20,"up"
"FOXA1",32,8,0.990787598711648,"no",9.36930634434712e-08,"down"
"EIF5AL1",36,4,0.990833912702488,"no",0.0278380264381913,"up"
"BRIX1",38,2,0.990856622433899,"no",1.12617065237773e-55,"up"
"NRBP1",37,3,0.990947877327449,"no",2.77329217900884e-05,"up"
"ARSG",29,11,0.99100570112166,"no",0.353291037475788,"down"
"NPM1",40,0,0.991007818410053,"no",4.9313243988027e-48,"up"
"GNG2",40,0,0.99108892706971,"no",1.30229930703716e-12,"down"
"BCL2",36,4,0.991147161593994,"no",4.62485428158962e-25,"down"
"MBD2",31,9,0.991183023998206,"no",3.01399196984637e-08,"down"
"MAP2K1",38,2,0.991292233337748,"no",1.26036600568495e-09,"up"
"ALS2CR8",40,0,0.991293071545788,"no",NA,NA
"KAT5",36,4,0.991294033621272,"no",4.69228383048957e-05,"down"
"RBPJL",33,7,0.991303370112027,"no",0.0018813048543082,"up"
"CLCN5",39,1,0.991405437937329,"no",2.43377640430808e-31,"up"
"PKNOX2",34,6,0.991517531869061,"no",1.05807527579501e-19,"down"
"SLA",33,7,0.991538600202739,"no",0.026997218965352,"down"
"RAX",35,5,0.991612746383352,"no",7.11523155873152e-07,"up"
"TGIF1",33,7,0.991617992545237,"no",1.29518773213321e-60,"up"
"SCN3B",37,3,0.991654356366165,"no",4.72869795412884e-12,"down"
"KATNB1",38,2,0.991760961046058,"no",1.15398787475261e-39,"up"
"GPR63",34,6,0.991763772135165,"no",0.0328401902112672,"up"
