"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"DDR1",22,0.854219550499491,"no",0.0345571933254986,0.134316377563921,18,0.757271788212292,"no","",2.97866443413412e-19,"up","TP53 (depleted, 13% vs 29%)","GATA3 (enriched, 16% vs 8%)",986
"C2",21,0.854564957332085,"no",0.0797943648028072,0.144659277701348,17,0.813521476841612,"no","",6.55791058600643e-06,"up","TP53 (enriched, 29% vs 13%)","CDH1 (depleted, 10% vs 16%), GATA3 (depleted, 10% vs 15%), MAP3K1 (depleted, 4% vs 10%), TP53 (enriched, 18% vs 11%)",986
"FTSJ3",18,0.854713920976738,"no",-0.74216223856566,0.278592691319752,14,1.75331581287015e-10,"yes","",1.30801892589167e-09,"up","","",986
"LRRC33",17,0.854759103608123,"no",NA,NA,0,NA,NA,"",NA,NA,NA,NA,NA
"MYO9A",22,0.85480946012164,"no",-0.117624653401057,0.166143264806745,17,0.978285868701268,"no","",7.90887938846547e-33,"down","","MAP3K1 (enriched, 10% vs 4%)",986
"MLH3",20,0.85489367316495,"no",0.060204170088991,0.0675092350577389,16,0.807693276369808,"no","",2.35758563083841e-05,"down","PIK3CA (enriched, 37% vs 26%), TP53 (depleted, 14% vs 27%), USH2A (depleted, 3% vs 9%)","CDH1 (enriched, 17% vs 9%), TP53 (depleted, 9% vs 20%)",986
"TOP2B",22,0.85509571148992,"no",0.0781006149861322,0.120817128373032,17,0.800383406183993,"no","",0.260766997469924,"up","","",986
"AFF1",22,0.85527223289159,"no",0.0550867989501753,0.1174527205061,18,1.00000000210508,"no","CM_Act",1.29997858558591e-23,"down","PIK3CA (enriched, 36% vs 27%), TP53 (depleted, 15% vs 26%)","CDH1 (enriched, 16% vs 10%), MAP3K1 (enriched, 10% vs 4%), NCOR1 (enriched, 5% vs 1%), TP53 (depleted, 9% vs 20%)",986
"KCTD15",22,0.855406186170239,"no",-0.0238858591659307,0.139574058833081,18,0.954558642026603,"no","",4.78668777479711e-18,"up","","GATA3 (depleted, 8% vs 17%), TTN (depleted, 2% vs 6%)",986
"KIF5B",22,0.855539948665251,"no",0.126693629697466,0.168964313657184,17,0.993330431743916,"no","HNSC_Act",0.156814012252799,"up","","",986
"DNAI2",19,0.855728910700963,"no",-0.0312423622875193,0.107906445037562,16,0.937916501583031,"no","",0.921750078311232,"up","","CDH1 (enriched, 16% vs 10%)",986
"WNT2",21,0.855809605868416,"no",0.157215546027693,0.086927353372691,17,0.930408232382134,"no","",7.80452047018154e-11,"up","TP53 (enriched, 26% vs 16%)","",986
"SEPT9",19,0.855917023753483,"no",-0.0592670335979493,0.13279177626827,16,0.00237920047837856,"no","MM_Act",NA,NA,NA,NA,986
"DET1",22,0.856034279147166,"no",0.0763233443071135,0.162170661110815,18,1.40354738969892e-06,"yes","",6.95752588121881e-21,"down","TP53 (depleted, 16% vs 26%)","GATA3 (enriched, 16% vs 9%), MAP3K1 (enriched, 9% vs 5%), TP53 (depleted, 11% vs 18%)",986
"KIRREL",21,0.856047088420158,"no",NA,NA,0,NA,NA,"",NA,NA,NA,NA,986
"CDK17",23,0.856115764996036,"no",0.0540827668661905,0.219558400964537,18,0.999833595084835,"no","",0.483341179772903,"up","CCDC168 (depleted, 2% vs 5%), CSMD3 (depleted, 2% vs 5%), FAT3 (depleted, 2% vs 6%), LRP2 (depleted, 1% vs 5%), MUC17 (depleted, 2% vs 6%), OBSCN (depleted, 2% vs 5%), TP53 (depleted, 11% vs 30%)","GATA3 (enriched, 17% vs 8%), TP53 (depleted, 6% vs 22%)",986
"LANCL2",19,0.856195579132281,"no",-0.116356171165305,0.180937548922019,17,0.999999920991023,"no","",0.0515061004173246,"up","MUC17 (enriched, 6% vs 2%), TP53 (enriched, 25% vs 17%)","",986
"RABL3",21,0.856229407359336,"no",-0.116791153588276,0.14608496369628,17,0.996762597247247,"no","",1.18841687238173e-09,"down","PIK3CA (enriched, 40% vs 23%), TP53 (depleted, 16% vs 26%)","MAP3K1 (enriched, 10% vs 4%), TP53 (depleted, 7% vs 21%)",986
"ITGA10",17,0.856234771873567,"no",0.165790892931907,0.348376000076794,12,0.870537699019579,"no","",9.62441416330364e-16,"down","APOB (depleted, 2% vs 6%), TP53 (depleted, 16% vs 26%)","CDH1 (enriched, 20% vs 5%), GATA3 (depleted, 10% vs 15%), TP53 (depleted, 11% vs 18%)",986
"STK11IP",22,0.856257874325482,"no",-0.0238039945710991,0.183532776523187,17,0.999022824703656,"no","",1.41039384603588e-15,"up","","CDH1 (enriched, 17% vs 9%)",986
"ASH1L",18,0.856466850327137,"no",-0.0272808725531574,0.132542593235859,14,0.0669331671095146,"no","",0.00108001016839188,"down","","",986
"TBC1D2",23,0.856742345098298,"no",0.00450846617024045,0.196841062241059,18,0.999916148507673,"no","",4.77997768164553e-11,"up","PIK3CA (enriched, 41% vs 23%)","CDH1 (enriched, 18% vs 7%), NCOR1 (enriched, 5% vs 2%), TP53 (depleted, 9% vs 19%)",986
"FCGR3A",22,0.856878156581107,"no",-0.035022756650494,0.185288336003833,17,0.99996452088359,"no","",1.99383379738792e-21,"up","SYNE2 (enriched, 6% vs 2%), TP53 (enriched, 26% vs 15%)","GATA3 (depleted, 8% vs 17%)",986
"MYH9",19,0.857113059942314,"no",-0.080375815928323,0.275562547122913,15,8.52551426497162e-07,"yes","BRCA_Act,COREAD_Act,ESCA_Act,HNSC_Act,OV_Act,SBCC_Act,ST_Act",0.000773050728483597,"down","","NCOR1 (enriched, 5% vs 1%)",986
