"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_deleterious_mutation_frequency","tcga_nrSamplesInMutData"
"DNAI1",30,3,0.256125651486982,"no",-0.10109571547944,0.143708785347291,-0.199073035163161,0.113416723797179,20,1,NA,NA,"","no",0.00373134328358209,536
"MTA2",31,5,0.256692528651078,"no",-0.0318955792075638,0.184761882783514,-0.105398534774866,0.0372230939352749,20,2,0.200067636062029,"no","","yes",0.00746268656716418,536
"NCOA6",28,2,0.257382447986612,"no",-0.703260806017519,0.221019049841232,-0.625814738983125,0.041602462837326,18,0,NA,NA,"","yes",0.00932835820895522,536
"GOLGA4",29,5,0.25750216308565,"no",0.0890532070351742,0.183496523918675,-0.0413506525047706,0.224387808484881,18,1,NA,NA,"","yes",0.0205223880597015,536
"EML6",29,4,0.258474102519627,"no",-0.0217195062920393,0.189491370460521,0.0563589460860416,0.132807926858094,19,1,NA,NA,"","yes",0.0111940298507463,536
"NEK10",27,3,0.259212531928604,"no",-0.0422749302040707,0.184458457035512,-0.0694466954187427,0.101937722491193,21,1,NA,NA,"","yes",0.0111940298507463,536
"FOXQ1",31,2,0.26159966015038,"no",0.126066878678075,0.158607365008211,0.0566139442098776,0.0180847886478293,20,1,NA,NA,"","yes",0,536
"GATA3",32,2,0.261832340865775,"no",0.0380212332975937,0.0823179237796281,-0.00659429440615037,0.00950212601199794,20,2,0.542448996973914,"no","ALL_LoF,BRCA_LoF","yes",0.00932835820895522,536
"TTBK1",30,2,0.264031257601365,"no",-0.118942661245421,0.156813438043315,-0.0784817840071166,0.00656595978701874,17,1,NA,NA,"","yes",0.00373134328358209,536
"DDX17",29,4,0.264765146478655,"no",-0.104085841578055,0.202307697682454,-0.307227597905358,0.336388449192296,18,1,NA,NA,"","yes",0.00373134328358209,536
"PHF20L1",27,4,0.264788463162484,"no",0.0573510341930577,0.117082398896772,0.00848258904934352,0.0387509752014804,19,2,0.603684308919347,"no","","yes",0.0317164179104478,536
"KANK1",28,2,0.26514650983955,"no",-0.0380840035984008,0.222629854187568,-0.169124346773266,0.0597593448077185,17,0,NA,NA,"","yes",0.00559701492537313,536
"LTBP4",29,3,0.266835958923575,"no",-0.0515042704413042,0.119895601791819,-0.0733261109479974,0.0499464780823698,0,0,NA,NA,"","yes",0.0111940298507463,536
"FAM91A1",29,2,0.269087007288215,"no",0.0889567722718191,0.157133300383863,-0.0443487018101635,0.13166371264694,19,1,NA,NA,"","yes",0.00373134328358209,536
"TTK",25,8,0.269638777935664,"no",-0.712041815731843,0.459052494283826,-0.862889017258762,0.331795803429049,15,6,0.487129412155574,"no","","yes",0.0186567164179104,536
"MCM4",30,2,0.269698046239763,"no",-0.361743598051471,0.265367849284598,-0.337961367552974,0.039036268069321,20,0,NA,NA,"","yes",0.0167910447761194,536
"HDAC3",33,2,0.269723541222433,"no",-0.239212485263955,0.26919685389181,-0.382118692856914,0.0944220294383915,21,0,NA,NA,"","yes",0.00186567164179104,536
"ATP9A",28,2,0.270283291999789,"no",0.0398982027540629,0.155373308180831,-0.0513637856102764,0.0276960703339999,19,0,NA,NA,"","yes",0.00932835820895522,536
"ROBO2",25,6,0.272243797010288,"no",0.0409571294198187,0.152337158075193,-0.0709543507471693,0.178922827370108,17,2,0.464689552319345,"no","","yes",0.0317164179104478,536
"ALPK1",30,4,0.272315989009263,"no",-0.100201567904869,0.220865724883904,-0.143083388313486,0.0684334965126112,18,1,NA,NA,"","yes",0.00559701492537313,536
"ARID4A",29,2,0.274925844772302,"no",-0.102629350016923,0.0838298686555403,-0.176188157247099,0.059018195974406,17,1,NA,NA,"","yes",0.0149253731343284,536
"LRRCC1",27,3,0.27504534292437,"no",-0.0670915511801347,0.159670033530362,-0.0576825070386043,0.0444906695648719,16,2,0.44192121686195,"no","","yes",0.0186567164179104,536
"BCL10",32,3,0.275185460432766,"no",-0.0693544412175405,0.231673850880121,-0.102403740803097,0.0464909989601432,20,2,0.25030200601551,"no","DLBCL_ambiguous","yes",0.00559701492537313,536
"RAD23B",32,2,0.276024350663508,"no",-0.232703582741356,0.144431465467892,-0.167419529034322,0.098608576329869,22,0,NA,NA,"","yes",0.00186567164179104,536
"TGFBR2",29,2,0.276322556906229,"no",-0.0452723498381527,0.140110563369063,-0.0601949469142801,0.00321891984440125,19,1,NA,NA,"CESC_LoF,CH_LoF,COREAD_LoF,ESCA_LoF,HNSC_LoF,PAAD_LoF","yes",0.00932835820895522,536
"AKR1B15",28,4,0.276595915271222,"no",0.0134169925514078,0.147933817853547,0.083879503123105,0.140942479168983,19,2,0.789995030876726,"no","","yes",0.00186567164179104,536
"MTMR11",26,2,0.278650255543502,"no",-0.0786577043211649,0.332351598080148,-0.0225814413865459,0.0248681089048134,18,0,NA,NA,"","yes",0.00746268656716418,536
"MCM6",32,3,0.278770381979491,"no",-0.700100405496652,0.333068457594011,-0.906941502332546,0.283748571056708,20,1,NA,NA,"","yes",0.00932835820895522,536
"CTBP2",30,2,0.278930314908246,"no",0.0473046866216293,0.258577899310766,-0.0303656184191671,0.0963298903406299,18,1,NA,NA,"","yes",0,536
"GTF2I",31,3,0.279042057348527,"no",-0.067272473437854,0.247710051353809,-0.171244053769392,0.231415560762807,20,0,NA,NA,"AN_Act,THYM_Act","yes",0.00373134328358209,536
"AKR1B10",29,2,0.279423774395561,"no",0.00787418958491327,0.160799316746376,0.0489289310217121,0.0222187171256454,17,2,0.268135453385497,"no","","yes",0.00559701492537313,536
"DSTYK",31,2,0.280177121389843,"no",-0.0100705003855308,0.190984190265693,-0.362287504080362,0.126970047120476,20,0,NA,NA,"","yes",0.00186567164179104,536
"SH2B1",25,5,0.280328118162265,"no",-0.126944223218578,0.157300730190538,-0.222050384872962,0.202380126759169,18,3,0.426895758999735,"no","","yes",0.00559701492537313,536
"ABCA12",23,5,0.280852874260396,"no",0.0595461895092279,0.141638683161829,-0.00605465425112279,0.135469581884339,14,1,NA,NA,"","yes",0.0447761194029851,536
"AGTR1",31,2,0.281464601939865,"no",0.0343524509232664,0.123076516969809,0.230891501018384,0.0199328123086785,18,1,NA,NA,"","yes",0.00746268656716418,536
