"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_deleterious_mutation_frequency","tcga_nrSamplesInMutData"
"TGFBR1",10,2,0.664399293612127,"no",0.00815788043028615,0.10887599903069,-0.0124631449786832,0.0483167683821927,5,2,0.280728960265669,"no","","yes",0.00377358490566038,530
"TULP4",8,3,0.667797009636096,"no",-0.0606737116937942,0.054073128734827,0.0197909311477658,0.0668471060860835,5,1,NA,NA,"","yes",0.0132075471698113,530
"ADNP",6,3,0.669530884785493,"no",-0.114161802964825,0.217154909994509,0.0316548634661223,0.0665279104254219,3,2,0.517638260302562,"no","","yes",0.0358490566037736,530
"POLD1",7,4,0.673033233459394,"no",-0.661798136811423,0.383982758283332,-0.602400393753327,0.285976060676701,4,2,0.499337466162997,"no","BRCA_Act","yes",0.0113207547169811,530
"PRDM2",8,2,0.673493710440839,"no",-0.033674301360649,0.120905079940928,0.012467819574462,0.0338319500255737,5,1,NA,NA,"AN_ambiguous,HC_ambiguous,RPC_ambiguous","yes",0.0320754716981132,530
"ANXA13",7,3,0.673865992333813,"no",-0.276172652195384,0.124521164709462,-0.171765586853497,0.151908050890418,3,2,0.393448386491619,"no","","yes",0.0113207547169811,530
"RRH",7,2,0.676470988431175,"no",-0.00275060606302602,0.161284709532175,0.0298632223984769,0.104812642239167,6,1,NA,NA,"","yes",0.00566037735849057,530
"WDR87",7,2,0.682122465857401,"no",0.060186677133713,0.144002892375932,0.0421226067693301,0.0258512673911227,6,0,NA,NA,"","yes",0.0622641509433962,530
"GLI2",7,2,0.682433291792252,"no",0.0227028822761979,0.123320696199111,0.0700788769734606,0.0475219378056494,5,0,NA,NA,"","yes",0.0150943396226415,530
"RASAL2",7,2,0.6829899296702,"no",-0.0461237172649195,0.169538197734163,0.0366105753688526,0.00834324574322305,5,2,0.427335156944051,"no","","yes",0.0188679245283019,530
"STK4",9,2,0.683640145192245,"no",0.142305248841362,0.0955543972648577,0.209074234816225,0.134206118516064,5,2,0.752429850936617,"no","","yes",0.0169811320754717,530
"SMARCA2",9,2,0.683855836964002,"no",0.0119870139832289,0.0922689154071082,0.0396135147335399,0.0324338909655332,5,1,NA,NA,"","yes",0.0132075471698113,530
"ERBB3",6,2,0.688846167781088,"no",-0.0669639506375345,0.0712676762160141,-0.0912339100970467,0.0699248105923563,5,1,NA,NA,"BLCA_Act,BRCA_Act,CESC_Act,CH_Act,COREAD_Act,NB_Act,PRAD_Act,ST_Act,UCEC_Act,UCS_Act","yes",0.00943396226415094,530
"PAX6",9,2,0.691278948041012,"no",0.0225430567927277,0.16074417059585,0.00502877897583175,0.0905602554813612,4,2,0.457475170576694,"no","","yes",0.0264150943396226,530
"BACH2",8,3,0.69512931606259,"no",-0.0305861606175699,0.203192001661551,0.0448829783030658,0.109574325590762,5,2,0.513956751813951,"no","","yes",0.0113207547169811,530
"PDE6C",7,2,0.695387778651964,"no",0.088437961367322,0.0455748255695118,0.13995342356457,0.0216625357723065,3,2,0.339369402587696,"no","","yes",0.0264150943396226,530
"CNTRL",6,2,0.700117329154328,"no",-0.108015744919884,0.122696913632363,0.00963918621929765,0.0685773709053221,5,1,NA,NA,"","yes",0.0283018867924528,530
"DNAH5",7,2,0.701424595268877,"no",0.00582778525268068,0.260612463659551,-0.077709596267889,0.226356529946034,5,2,0.590766190403703,"no","","yes",0.0830188679245283,530
"MSH6",4,4,0.702048640163291,"no",-0.0502791655658673,0.144096580431803,0.0602019147277788,0.0608145141213148,2,3,0.892644078666192,"no","","yes",0.0509433962264151,530
"COL18A1",4,2,0.702763195137824,"no",0.178268173286315,0.102437169325648,-0.0251658975381858,0.0192413921420362,3,2,0.334724843695637,"no","","yes",0.0207547169811321,530
"NID1",8,2,0.704183843035773,"no",-0.0434323548245459,0.111601196122108,-0.106777476140391,0.00996894827980314,4,3,0.243379949337302,"no","","yes",0.00943396226415094,530
"PHF20L1",8,4,0.708651518941452,"no",0.0323173632952491,0.0707852255837262,0.0705489161016792,0.132038644119659,4,3,0.442715847133107,"no","","yes",0.0415094339622641,530
"HERC1",6,3,0.711367937851626,"no",-0.138586460958643,0.103207679294415,-0.112899095533253,0.0462470097231862,3,3,0.703400550559309,"no","","yes",0.0641509433962264,530
"PDE1B",7,2,0.714013943121262,"no",-0.0588615949157161,0.105418668935921,0.027605418761583,0.0073663927482939,4,2,0.731603280337712,"no","","yes",0.00754716981132075,530
"ATP11B",5,2,0.717587027013022,"no",-0.0360502050548466,0.13451013957117,-0.0676683744694321,0.0439656760136549,2,3,0.63497339755619,"no","","yes",0.0433962264150943,530
"RALGAPA1",8,2,0.718522289434964,"no",0.0587519577531719,0.0770289831185855,0.12943737409777,0.141887673026303,4,1,NA,NA,"","yes",0.0320754716981132,530
"PHF2",7,2,0.719842440121468,"no",0.00506397287953576,0.0826127874263973,0.0305329188744027,0.0872489678664773,3,1,NA,NA,"","yes",0.0415094339622641,530
"TENC1",8,2,0.723074286294209,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,NA,530
"ZMYM2",5,2,0.72382680730214,"no",-0.218181799747055,0.128146733621252,-0.141923114164853,0.166478129295684,4,2,0.522316427770494,"no","","yes",0.0584905660377358,530
"CSNK1G3",7,2,0.73113153562347,"no",0.0211392653714407,0.158267700694207,0.132581124571955,0.239646526115447,4,3,0.408426626748421,"no","","yes",0.0113207547169811,530
"PIK3R1",5,4,0.732997827683555,"no",-0.0442886863420478,0.0511554009242671,-0.0214601155190241,0.07252410403337,3,3,0.662032883699821,"no","ACY_LoF,BRCA_LoF,CH_LoF,GBM_LoF,HNSC_LoF,LGG_LoF,OS_LoF,ST_LoF,UCEC_LoF,UCS_LoF","yes",0.281132075471698,530
"HNRNPA2B1",8,2,0.735263383379233,"no",-0.618993067398417,0.246589199932178,-0.411853637940768,0.200722883963674,6,1,NA,NA,"HC_Act","yes",0.0132075471698113,530
"PBRM1",8,2,0.735516695081665,"no",-0.124555995128166,0.0891235656582232,-0.075214453513522,0.178832542532293,3,2,0.653113110791988,"no","CESC_LoF,CH_LoF,CM_LoF,ESCA_LoF,LUAD_LoF,RCCC_LoF,RPC_LoF,UCEC_LoF","yes",0.0415094339622641,530
"TNK2",4,3,0.735690779406294,"no",-0.117988185472072,0.211239692614618,-0.0329363147707499,0.0814287504875972,3,1,NA,NA,"","yes",0.0132075471698113,530
"GPR149",7,2,0.746155534882731,"no",-0.217249360948578,0.141569612171944,-0.164236738576629,0.186950952321804,5,2,0.453732602561171,"no","","no",0.0169811320754717,530
"SETD1A",8,2,0.750312458574029,"no",-0.176627652912779,0.213798731308246,-0.047310248366473,0.0126718563251169,4,2,0.542195322142095,"no","","yes",0.00377358490566038,530
"MBD6",4,7,0.757599199916548,"no",0.0979044710507748,0.047029695228802,0.0236331411397316,0.163850039424956,2,4,0.697752288877617,"no","","yes",0.0433962264150943,530
"CENPE",5,2,0.757824600657448,"no",-0.200087350466748,0.287545439222194,-0.16217893437142,0.0818544813161849,5,0,NA,NA,"","yes",0.0509433962264151,530
"TCF7L2",8,2,0.761569433610543,"no",-0.117494798337384,0.0329388637992115,-0.036071004704245,0.141988189730083,5,1,NA,NA,"COREAD_Act,UCEC_Act","yes",0.00754716981132075,530
"ZNF609",4,7,0.762763555091839,"no",-0.00289190501399245,0.0763226284041484,-0.0421610428179159,0.10111045006295,2,4,0.440055857975496,"no","","yes",0.0490566037735849,530
"TBCK",7,2,0.765658596221772,"no",0.0295508002460979,0.329605219455732,0.0268292598873997,0.0669207285118923,6,1,NA,NA,"","yes",0.0207547169811321,530
"UBR5",6,3,0.765768966849744,"no",-0.356900976808994,0.0375762265517565,-0.18002267098887,0.0379021367181715,3,2,0.682025192271017,"no","CM_ambiguous,DLBCL_ambiguous,MM_ambiguous,RCH_ambiguous","yes",0.0584905660377358,530
"RAVER1",5,4,0.771526582815003,"no",-0.336770537175346,0.379433803658377,-0.109550701407885,0.16577823761235,5,2,0.543084223852613,"no","","yes",0.0113207547169811,530
"WDR72",9,2,0.774909884418895,"no",0.0806900030314343,0.108683566881789,-0.0101938220157141,0.0623760921155798,4,2,0.361350151216694,"no","","yes",0.0226415094339623,530
"PRDM1",7,2,0.777132032312896,"no",-0.241314552642513,0.151919517598045,-0.230287985088276,0.224251784557498,5,1,NA,NA,"DLBCL_LoF,MM_LoF,NHLY_LoF,PRAD_LoF","yes",0.00377358490566038,530
