"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"COL3A1",8,4,0.718969338528362,"no",0.0649739626205131,0.0356815676280067,0.0557044596464435,0.0496963599370333,7,4,0.600738013739874,"no","","yes",0.016304347826087,184
"EBF1",12,2,0.724890271673155,"no",0.0358279537354683,0.055885704190673,0.0475983398778164,0.0053177755536082,12,2,0.481413337447146,"no","DLBCL_ambiguous,LUSC_ambiguous,NHLY_ambiguous","yes",0.0217391304347826,184
"KIDINS220",13,2,0.726503086071471,"no",-0.157991626045273,0.219151333104274,-0.14308416313896,0.031071121362223,12,2,0.131431962279347,"no","","yes",0.0108695652173913,184
"RUNX1T1",12,2,0.732740554264598,"no",0.0760804266260522,0.0695284028636496,0.0461198176438452,0.00413581679112456,11,3,0.578819302522627,"no","HC_ambiguous,LGG_ambiguous,PRAD_ambiguous,SBCC_ambiguous,SCLC_ambiguous","yes",0.0271739130434783,184
"CASC5",13,2,0.733177093738064,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.0108695652173913,184
"ARID4A",10,2,0.736953739482747,"no",-0.050942475995835,0.121334932463527,-0.0333933103690466,0.00591430255056355,10,2,0.756687452071681,"no","","yes",0.00543478260869565,184
"ATP8A2",10,2,0.737311687155735,"no",-0.0480072453410702,0.129792175672549,0.0542395218021567,0.137618174094486,9,2,0.513702256369984,"no","","yes",0.00543478260869565,184
"SIGLEC1",12,2,0.737812203170082,"no",0.00304484439994835,0.181033245260411,-0.0765692055060177,0.0976332954501564,11,2,0.381943477622977,"no","","yes",0.0326086956521739,184
"ACAP1",12,2,0.737945323486894,"no",-0.424625644056582,0.192588651033816,-0.606212227985186,0.0298910150098161,11,2,0.523320222890354,"no","","yes",NA,184
"GLIS3",10,2,0.740248609801145,"no",0.0566042688809904,0.0826710784701591,0.0537606611771929,0.0434571604933558,9,3,0.515728906595397,"no","","yes",0.00543478260869565,184
"FCGBP",11,3,0.74105233409592,"no",-0.021477549616903,0.1629855152231,-0.0529604342368017,0.167254526556409,0,0,NA,NA,"","yes",0.0434782608695652,184
"SIRPA",11,2,0.746004398206588,"no",0.139454380704925,0.102453882066358,0.164752159493538,0.0696219421471741,10,2,0.492624004248905,"no","AML_LoF,CESC_LoF,COREAD_LoF,HGG_LoF,MBL_LoF","yes",0.00543478260869565,184
"COL6A3",13,2,0.748011434506929,"no",-0.135171990342888,0.0735376430371976,-0.016218776394447,0.0652743801974721,12,2,0.630921938071251,"no","","yes",0.0543478260869565,184
"MARK1",11,2,0.748306853919135,"no",-0.00803220639132179,0.103413159464648,0.0412356199921502,0.0666355294977648,11,2,0.362261080168429,"no","","yes",0.0271739130434783,184
"MED13",13,2,0.749729735878489,"no",-0.0856026956191732,0.0830461478359043,-0.0287629826497874,0.0859985010112565,12,2,0.206388786622538,"no","","yes",0.0217391304347826,184
"PDE1C",12,2,0.751670194358727,"no",-0.125155201486035,0.15113601770241,-0.170424619589218,0.0138943283019775,11,2,0.431924685336943,"no","","yes",0.00543478260869565,184
"FRMPD1",12,3,0.753281245058443,"no",-0.129776144651782,0.219667108814031,-0.0192976919114968,0.0910724039699929,11,3,0.456246876148286,"no","","yes",0.016304347826087,184
"MSH4",12,3,0.754654498685438,"no",0.136345162298389,0.185635686362371,0.268526662660721,0.0208968174682045,11,3,0.402393170640043,"no","","yes",0.0108695652173913,184
"TBCK",13,2,0.757692818509333,"no",0.0562670500082057,0.127201172553843,0.052904905525861,0.056773813180265,12,2,0.47413850162769,"no","","yes",0.00543478260869565,184
"CHRNB3",12,2,0.759791191898923,"no",-0.00761645890775771,0.0835095826359689,0.0533432834789867,0.0327252241478275,11,2,0.701388384590038,"no","","yes",0.00543478260869565,184
"RASA1",13,2,0.764178243680885,"no",0.000138565625196364,0.0591895337599249,0.0531085269750467,0.0746835498977403,12,2,0.745898824138099,"no","HNSC_LoF,LUSC_LoF","yes",0.016304347826087,184
"SEMA6B",11,2,0.764421779741021,"no",-0.232335597904185,0.124739707368371,-0.292428971685923,0.227932134809401,10,2,0.560816152803963,"no","","yes",0,184
"RIPK3",11,2,0.765138155096992,"no",-0.105141792332221,0.112987254024921,-0.186443238091758,0.019904469259968,10,2,0.484425278652017,"no","","yes",0,184
"WDR52",10,4,0.7687853211031,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,NA,184
"KRT1",13,2,0.768912402974785,"no",-0.327055116193498,0.190834615563085,-0.253037343381456,0.128119008412494,12,2,0.38150280394577,"no","","yes",0.016304347826087,184
"DAPK1",12,2,0.769688622410359,"no",-0.14329280580141,0.0867580853312105,-0.137789568293041,0.0241154448982825,12,2,0.141178977774914,"no","","yes",0.0271739130434783,184
"RPAP1",13,2,0.77298047050294,"no",-0.223969609442611,0.218784182321004,-0.21047529252682,0.047469960476156,12,2,0.506863329029608,"no","","yes",0,184
"GRM7",12,2,0.774663653038016,"no",-0.0694182302444773,0.218001088063084,0.0275107772703918,0.009433956920557,11,2,0.808088542757505,"no","","yes",0.016304347826087,184
"DACH1",11,2,0.776698710161716,"no",-0.0466226054761993,0.0853038099154025,-0.108932227143912,0.0524832913151825,11,2,0.200996969500755,"no","","yes",0.016304347826087,184
"SIPA1L1",11,2,0.777474827451031,"no",-0.0520509377828346,0.142259322912186,0.0706794689263659,0.0366359498329141,10,2,0.146478059546066,"no","","yes",0.0326086956521739,184
"HECW2",10,3,0.778196883804082,"no",-0.290850003219527,0.105064212874201,-0.178037919608963,0.24015075021119,11,2,0.541502258397966,"no","","yes",0.0108695652173913,184
"CSRP2BP",11,3,0.780337985630972,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0,184
"DNAH5",6,6,0.780844542249345,"no",-0.0845363078582422,0.188929818762489,0.0550199382163969,0.100859196272321,5,6,0.826861054233015,"no","","yes",0.152173913043478,184
"GRM6",12,2,0.783668743741434,"no",0.0549417761857482,0.0943254585747284,0.069606373956,0.000324863071446385,11,2,0.68000608732208,"no","","yes",0.016304347826087,184
"IRX4",10,3,0.79057471618804,"no",-0.0370786399418625,0.0613737023563892,-0.054913834118291,0.0533073978335883,9,4,0.543269116398477,"no","","yes",0.0108695652173913,184
"MTRR",12,2,0.795119100392411,"no",-0.0111986709748589,0.0626695894755899,0.0505206069773416,0.031850920859886,11,2,0.565799990863183,"no","","yes",0,184
"SLTM",12,2,0.797889836296635,"no",-0.139919173898741,0.147126948578926,-0.0790885195950524,0.0212395778267216,12,1,NA,NA,"","yes",0.00543478260869565,184
"ANK1",11,3,0.800880096849335,"no",0.0848386592731288,0.132714552035325,0.131777492385663,0.0592444604956694,11,3,0.837273741139851,"no","","yes",0.0326086956521739,184
"ABCA13",7,6,0.80121681178786,"no",0.0492874749551248,0.0529270494069211,0.0395339700359602,0.140357627942357,6,6,0.650670089765458,"no","","yes",0.0489130434782609,184
