"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"OBP2B",5,0.743447362240696,"no",0.0689841771042318,0.0622378998798286,0,NA,NA,""
"NR3C1",5,0.743684412221647,"no",-0.154390688893307,0.16263836964833,5,0.79644135819255,"no",""
"PWWP2B",5,0.743684412221647,"no",0.0878497283911622,0.0846208789865646,5,0.996418710977798,"no",""
"INTS4",4,0.74377104347249,"no",-0.706873528806332,0.458991681798387,4,1.07761324705855e-05,"yes",""
"MLF2",5,0.743842385693331,"no",-0.136554095683171,0.071697705855985,5,0.303234591997288,"no",""
"ABCA6",5,0.743960834360088,"no",-0.0271402156279428,0.0922987817658938,5,0.990231736847779,"no",""
"RABEP1",5,0.744276565656689,"no",-0.0137028255725894,0.118284726002045,5,0.0145665597276262,"no","SSCC_LoF"
"RAB2A",5,0.744434359363157,"no",0.0444928025531695,0.0381467376151809,5,0.854472673460234,"no",""
"SOX17",5,0.744473800291967,"no",-0.00358569949515042,0.179254425916397,5,0.996555807426113,"no","UCEC_Act"
"KIF22",5,0.744592105077957,"no",-0.0304234219671634,0.0978950351647031,5,0.00514385189037616,"no",""
"SRSF4",5,0.744592105077957,"no",-0.0141458757705601,0.0321013868086994,5,0.0300575958372904,"no",""
"RASD2",3,0.744667365201604,"no",0.0899567305929928,0.3324769388926,3,0.21489124528326,"no",""
"RHOQ",5,0.744710382855808,"no",0.099991093079713,0.0412923423430997,5,4.99968573863763e-05,"yes",""
"SEPT9",4,0.744733939251206,"no",-0.234011310531797,0.14769271928382,4,0.108514172389858,"no","MM_Act"
"SORL1",5,0.744749802778289,"no",0.0371421200708287,0.0679451097549769,5,0.957697446100625,"no",""
"OR2L2",3,0.744870877472669,"no",-0.024411932096664,0.0306704775095082,3,0.372094730137157,"no",""
"ATAD2B",5,0.745340741137308,"no",-0.0212384095019862,0.0755956968962713,5,0.975328044991074,"no",""
"RHOJ",5,0.745419481814584,"no",-0.028838123060965,0.128060010800388,5,0.342615417014132,"no",""
"GNAQ",5,0.745616280855351,"no",-0.0275182377750101,0.101061899686377,5,0.00108383369843708,"no","CM_Act,UVM_Act"
"ARHGEF33",5,0.745734324161156,"no",-0.253227588665575,0.073390884909845,5,0.258695505405347,"no",""
"SACS",4,0.74586966002036,"no",-0.0062493499305597,0.152191564897956,4,0.322791868788585,"no",""
"CHST2",5,0.745970329461322,"no",0.120516515506172,0.244128576571055,5,0.69392415298635,"no",""
"ASPSCR1",5,0.746206226282795,"no",-0.0644963309926112,0.113540408329071,5,0.0440573752392641,"no",""
"HTR1E",5,0.74632413399027,"no",-0.117868306271217,0.0616368833078595,5,0.997028304774776,"no",""
"DUSP14",4,0.746349422768178,"no",0.0490334161625831,0.176087724585707,4,0.244196037692399,"no",""
"ACTR8",5,0.746520586502141,"no",-0.430919038293346,0.099088010858944,5,1.19375375231853e-05,"yes",""
"SFTA3",4,0.746741630496506,"no",0.0729065206028999,0.188921515873666,4,0.858846817262144,"no",""
"KLHL28",5,0.746795493243866,"no",0.0646322785276378,0.0875980396960869,5,0.980502842727747,"no",""
"SDF2",5,0.746991764589212,"no",-0.0397328992265133,0.0364832064970351,5,0.25538733478881,"no",""
"SGK1",5,0.74714872726411,"no",0.0814977771567567,0.0580152895123806,5,0.951816782679869,"no","DLBCL_ambiguous,LY_ambiguous,NHLY_ambiguous"
"PRKCQ",5,0.747187960374177,"no",-0.0110382684752788,0.0931228716377957,5,0.896488871278942,"no",""
"TBC1D21",5,0.747344862569358,"no",-0.01539422656407,0.0848050067306447,5,0.479097629717694,"no",""
"FBP1",5,0.747423295515016,"no",0.1643307993898,0.207652906752668,5,0.0532295698751436,"no",""
"NKIRAS1",5,0.747658521710849,"no",-0.0183768746500974,0.201312635359646,5,0.582471514350844,"no",""
"ARHGEF17",4,0.747742606255217,"no",-0.0475792293036355,0.162748778171676,4,0.79515314859164,"no",""
"SLAMF9",5,0.74781527861264,"no",-0.0466475906537852,0.0651933076175743,5,0.0652506850685614,"no",""
"RAB25",5,0.748011156568466,"no",-0.00230413884612239,0.11463583145793,5,0.178421523121639,"no",""
"NCR3",5,0.748246110073534,"no",0.0331985302509266,0.114852690579869,5,0.75116582316076,"no",""
"STOML3",5,0.748441821242074,"no",0.0895993761893144,0.0451918730066107,5,0.997931359280469,"no",""
"ESRRG",5,0.748559211522824,"no",0.091018288070451,0.0916028622362679,5,0.196066056452938,"no",""
"KLF6",5,0.748872118649203,"no",-0.015303711659094,0.102433340840221,5,0.999813642785657,"no",""
"CFL2",4,0.749001968700594,"no",-0.0465858075183618,0.128297819516044,4,0.981440811851877,"no",""
"SMARCD3",4,0.749262144389448,"no",-0.0064584871853931,0.217906302309916,4,0.996246771054081,"no",""
"DHX29",5,0.749497349228511,"no",-0.0697889162797771,0.0199067563938372,5,0.056483160544226,"no",""
"CELF4",5,0.749497349228511,"no",-0.0457168709488317,0.0619244496871917,5,0.744105077048079,"no",""
"WDR7",4,0.74952218888129,"no",-0.0998061469398958,0.0826090151100583,4,2.6030890953047e-05,"yes",""
"IGF2BP3",5,0.749848699008818,"no",0.0923548361092295,0.101185732512539,5,0.0034834388616438,"no",""
"EGFL7",5,0.750277791255829,"no",0.17021898467154,0.106544998018589,5,0.709546127275857,"no",""
"TAX1BP1",5,0.750862321944573,"no",0.0237823719298785,0.0571138725908343,5,0.138465854435199,"no",""
"TRIO",3,0.750942629653591,"no",0.00240973454916696,0.115084810902008,3,0.417490347783835,"no",""
"WDR47",4,0.751079695671345,"no",0.0906056470149133,0.358163686001032,4,0.748221706781277,"no",""
"KCNK4",5,0.751173790525357,"no",NA,NA,5,0.0502040590999384,"no",""
"ALPK1",4,0.751252459393378,"no",-0.194730599453118,0.183968232759568,4,0.634439325402175,"no",""
"BTAF1",5,0.751679509319625,"no",0.00402403821734002,0.165329010005032,5,0.00409590825825236,"no",""
"PHF2",5,0.751796140159256,"no",0.023933818254394,0.0894487856598342,5,0.0349937243385961,"no",""
"MCRS1",5,0.751990463597043,"no",-0.354611676063002,0.168020350636523,5,0.00602060292577795,"no",""
"RAB11B",5,0.752029319087344,"no",-0.028077254593494,0.0151783657053568,5,0.986598338142773,"no",""
"RUFY3",5,0.75214586715771,"no",-0.0377071088857153,0.144434544234855,5,0.527619632656685,"no",""
"NPAS3",4,0.75220161143015,"no",-0.0820697370327084,0.119084530409027,4,0.939116448184187,"no",""
"RAB7A",4,0.752632456851652,"no",-0.0169795930446674,0.122933889494723,4,0.00893014246227904,"no",""
"TIAM1",3,0.752650986245098,"no",0.0243161735699077,0.180320615199088,3,0.658914621607091,"no",""
"FBXW11",5,0.752689392970158,"no",-0.109082325654556,0.191435332158704,5,0.0382293501711902,"no",""
"DSC2",4,0.753019903404007,"no",-0.0767855976697303,0.0608938995721178,4,0.998272715270919,"no",""
"PPARG",5,0.753038484505187,"no",0.116171406790704,0.209554280924635,5,0.987549339367088,"no",""
"RABGGTA",5,0.753271073826314,"no",-0.111556417763316,0.344364478008061,5,4.41973132509442e-08,"yes",""
"GNAS",4,0.753321044650319,"no",0.0841214466904689,0.104885780987671,4,0.69468425433405,"no","ACC_Act,BCNET_Act,BRCA_Act,CH_Act,COREAD_Act,ESCA_Act,HC_Act,MBL_Act,PAAD_Act"
"DDX39A",5,0.753387326949354,"no",-0.239750217490718,0.227231007263785,5,0.00144533601402097,"no",""
