"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"KIF18B",13,0.547125775549275,"no",-0.113860667472697,0.0908818762540745,11,8.3635253519666e-07,"yes","",8.44534685462647e-28,"up","TP53 (enriched, 26% vs 8%)","RB1 (enriched, 8% vs 1%)",364
"PHKG1",13,0.547338035913835,"no",0.000391048138928089,0.171243631893498,11,0.000150921166240114,"yes","",1.01645240837179e-19,"up","CTNNB1 (depleted, 13% vs 33%), TP53 (enriched, 25% vs 9%)","",364
"ABCG5",11,0.547452043054288,"no",-0.0681589009033111,0.0973988272335688,9,0.96057757746777,"no","",0.066981628487273,"down","","",364
"CBFB",13,0.547823152738495,"no",0.00100053523739527,0.0972663194343756,11,0.009020208309258,"no","BRCA_Act",1.38739105057303e-06,"up","","",364
"BHMT2",13,0.547974737475066,"no",-0.164738555982275,0.238312765372918,11,0.0132975360632204,"no","",0.0749068318336888,"down","CTNNB1 (enriched, 32% vs 15%)","",364
"ATP5J2-PTCD1",13,0.548126315378779,"no",-0.00664523977576839,0.237201983426247,0,NA,NA,"",NA,NA,NA,NA,364
"RECQL",13,0.548429450602043,"no",-0.0588786749381042,0.157425315715133,11,0.999999447968359,"no","",1.47012389877416e-08,"up","","",364
"TNFRSF18",13,0.548581007878825,"no",0.102160790152358,0.178560839439525,11,0.117374984120723,"no","",5.54173425003352e-14,"up","","",364
"WRAP73",12,0.548929954041845,"no",-0.092115035808249,0.232771451886287,10,0.0582654626450134,"no","",5.9202734996579e-23,"up","TP53 (enriched, 27% vs 7%)","",364
"ALK",12,0.548961468430095,"no",0.0511710796932829,0.138998570805092,10,0.0704687867662132,"no","BRCA_Act,HC_Act,NB_Act,NSCLC_Act,PRAD_Act,SCLC_Act",0.609012469539869,"up","","",364
"TMEM97",12,0.549056009788361,"no",-0.0939589836618392,0.188811528983963,10,3.10745778672821e-05,"yes","",7.54138496197734e-08,"up","","BAP1 (depleted, 1% vs 8%)",364
"PPDPF",13,0.549096250742223,"no",0.0310307513418508,0.366880235067813,11,0.891160500029243,"no","",5.51001071688695e-11,"up","","APOB (enriched, 8% vs 2%), BAP1 (enriched, 8% vs 1%)",364
"IL1RL1",13,0.54970231528541,"no",0.022389884141983,0.253633233110436,11,0.999678170094498,"no","",3.43872536464413e-14,"down","","",364
"SERPINB2",12,0.549780736329036,"no",-0.0219803745027973,0.170709856963286,10,0.999997641972245,"no","",0.00200404613282303,"up","","",364
