"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"CYP21A2",9,0.220319979904708,"no",-0.0261531489711678,0.131075608799019,7,0.300695507551317,"no",""
"CARD11",8,0.220333045561368,"no",0.00526389086679452,0.0885445547438363,6,0.0862690508373438,"no","BLY_Act,COREAD_Act,DLBCL_Act,HC_Act,LY_Act,NHLY_Act"
"SIX3",9,0.220347365426874,"no",0.0528030678943876,0.189642901501808,7,0.726405070377576,"no",""
"CSNK1A1L",9,0.220566517477754,"no",-0.337041805627292,0.29892695343031,7,0.889626018530153,"no",""
"PTPN6",8,0.221059207911059,"no",-0.0186622119619128,0.169847290503194,6,0.895361153324419,"no","CM_LoF,DLBCL_LoF"
"MAP4K4",8,0.22108828178396,"no",0.0375477683584019,0.188994383448018,6,0.643934128730158,"no",""
"CCKBR",8,0.221233682720739,"no",-0.0202755548128788,0.132216722848828,6,0.354997421914501,"no",""
"ALPPL2",8,0.221291857826907,"no",0.132130376005136,0.177059376003278,0,NA,NA,""
"KCNF1",8,0.221582859585978,"no",0.0199239826015323,0.20450291080192,6,0.757782977712315,"no",""
"UBB",9,0.221664086111932,"no",-0.803146147704528,0.477593712424734,7,0.252470348138158,"no",""
"RBM44",9,0.221691563910301,"no",-0.146772015860438,0.427545610637295,7,0.464626982177712,"no",""
"SH3TC2",8,0.222573837808813,"no",-0.142266408439249,0.0807627980492396,6,0.971592233715209,"no",""
"LTC4S",8,0.222603020978611,"no",-0.0006907406507876,0.506422552199615,6,0.881213249232569,"no",""
"EPB41L5",7,0.222613537671493,"no",-0.0913780981766698,0.255998649833284,5,0.144915067937367,"no",""
"MYO7B",6,0.222639929461021,"no",-0.127900530796835,0.111827474867331,5,0.205513177315427,"no",""
"SLC16A6",8,0.222778164063745,"no",-0.0985356314468949,0.120983799507184,6,0.694884409739265,"no",""
"MFSD10",8,0.222865763929096,"no",0.0842974185401702,0.224295755244891,6,0.463451232119088,"no",""
"ACAP3",5,0.222973311824436,"no",0.0142405208458471,0.116902091563878,4,0.147239371435534,"no",""
"HOXA6",8,0.223245581441219,"no",-0.140524983976263,0.121024233601285,6,0.542131117555172,"no",""
"NBEAL1",7,0.223299654187387,"no",-0.208517060862717,0.302776758247009,5,5.52535108810227e-05,"yes",""
"DCAKD",8,0.223655011796303,"no",0.0356104768602068,0.132964915056114,6,0.00639968024148913,"no",""
"GPRC5B",9,0.224282859794853,"no",-0.12686154774383,0.118311458811628,7,0.999973764867377,"no",""
"GDPD3",9,0.22491942088528,"no",0.0539309831201468,0.340851325637767,7,0.683475302550318,"no",""
"DLL3",9,0.224947119885131,"no",-0.399435417481503,0.287911463190186,7,0.353426447150784,"no",""
"TCF7L1",8,0.22526745850851,"no",-0.182596010941114,0.1779215874194,6,0.485839018546884,"no",""
"CELF6",9,0.225390557904474,"no",-0.0074638105093123,0.197485931614977,7,0.872781116670222,"no",""
"TDP2",9,0.22550149209168,"no",-0.0517415603770958,0.183533583315258,7,0.00106977409958707,"no",""
"TNFRSF10B",9,0.225667949356437,"no",-0.0851323844690497,0.0707607619033204,7,0.999986775635196,"no",""
"TTC8",9,0.225973295421528,"no",-0.0397929336135356,0.314461477218199,7,0.999936162795361,"no",""
"LRRC4B",8,0.226090767066959,"no",-0.0552982078363345,0.375565513136658,6,0.887803589166951,"no",""
"SIM2",9,0.226251078516603,"no",-0.0270310332518768,0.103644515122232,7,0.332520853583215,"no",""
"HSD17B13",9,0.226362243932961,"no",-0.207699802101966,0.296388373916108,7,0.993242504242336,"no",""
"SLC6A19",9,0.226362243932961,"no",-0.0347515866007278,0.195094071243467,7,0.994727986629626,"no",""
"LIMK1",9,0.226417837818749,"no",-0.0261887665744524,0.301706897505889,7,0.963447278022033,"no",""
"PPP2R2B",9,0.22669591898908,"no",-0.0333443002036778,0.255290026147351,7,0.970747250509235,"no",""
"ATP10A",8,0.226915709126073,"no",-0.0936490775732776,0.130767246268859,6,0.796039167997927,"no",""
"MYOD1",8,0.226974695990134,"no",-0.2577748653343,0.295247648009247,6,0.98974845580593,"no",""
"TIAM2",9,0.227224785982381,"no",-0.0161371159761964,0.130648541757199,7,0.960479464983529,"no",""
"PDE4B",9,0.2274755362678,"no",0.121688776222459,0.10876397734172,7,0.943772940402224,"no",""
"ARL3",9,0.228005392244999,"no",0.0758976207119933,0.156534006013177,7,0.910733947550027,"no",""
"KLHL32",9,0.228005392244999,"no",-0.0320829885358616,0.276274201532677,7,0.990177389434341,"no",""
"PRDM7",7,0.228450471257537,"no",-0.0342657606814876,0.174674039478219,5,0.717223062662176,"no",""
