"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"ARHGEF2",7,2,0.749937032139919,"no",-0.117903346182193,0.081956193517496,-0.122219002911429,0.026116239338293,5,2,0.845495471331972,"no",""
"FMN2",3,5,0.750007119172571,"no",-0.00273379058888521,0.310997034891855,-0.011750852485701,0.0372918869900122,1,5,NA,NA,""
"WNT9A",6,3,0.75417617351454,"no",-0.157887116325792,0.169884610732768,0.16212810105171,0.141297198491447,4,3,0.302395643360325,"no",""
"LAX1",6,3,0.759237932902715,"no",-0.212832047153303,0.174370924684763,-0.210490556963652,0.036376491271103,4,3,0.574708523875728,"no",""
"OR2T35",4,4,0.759604649976681,"no",-0.104861106077103,0.262022920838341,-0.278957006611659,0.150021641860007,2,4,0.637900131358991,"no",""
"KLHL12",6,3,0.762401661072373,"no",-0.0052348165968302,0.220934391361945,-0.0230541164493374,0.132521187334339,4,3,0.426993174219249,"no",""
"RASAL2",7,2,0.762521108559487,"no",-0.0158285418434027,0.13179595604325,0.0873420321660494,0.159607388736368,5,2,0.51124827230152,"no",""
"TGFB2",6,3,0.764645321506204,"no",-0.18242657198879,0.352828184670031,-0.0313458531760005,0.195073023818862,4,3,0.386259270001494,"no",""
"MIR205HG",6,3,0.765124661675235,"no",-0.0319855344254937,0.147819393390045,0.000765047458832507,0.123443689859568,0,0,NA,NA,""
"UBQLN4",7,2,0.766012450484063,"no",-0.218359780093121,0.0723997471007505,-0.0305419904474881,0.000561852505917657,5,2,0.497618689498723,"no",""
"CFHR2",6,3,0.770442445078932,"no",-0.219113600652235,0.217848396357193,-0.106997312784251,0.035463445468929,4,3,0.31317980287016,"no",""
"LHX9",6,3,0.772665352954301,"no",0.134754730890656,0.19116896403745,-0.0355660750145278,0.31633710878552,4,3,0.464097021849563,"no",""
"KDM5B",5,3,0.773260594922827,"no",-0.0663191067693314,0.203705391354634,-0.0161119699758838,0.0676627642660892,3,3,0.605086524839751,"no",""
"MLLT11",6,3,0.77362568888221,"no",-0.434359544998282,0.258788406722665,-0.122994144805225,0.140111085435118,4,3,0.475691973495545,"no",""
"FCGR2A",7,2,0.773742674029687,"no",0.0703282845340021,0.149311639647191,0.187197580512296,0.0951571241064897,5,2,0.532537431304906,"no",""
"ITGA10",6,3,0.784083204875994,"no",0.432942084905226,0.447497792728053,0.327102058969184,0.696618202246042,4,3,0.570501983398776,"no",""
