"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"SEMA6A",9,0.0965715861102868,"no",-0.132404245439968,0.243439097372412,7,0.0548612134563486,"no",""
"STK24",8,0.0966092865510294,"no",-0.151778866474588,0.10942934555585,6,6.025038810753e-06,"yes",""
"C3orf80",9,0.0966682735391269,"no",0.120662580949091,0.171698986538661,7,0.0027609923750862,"no",""
"TDRKH",6,0.0968294494849374,"no",0.141554485201108,0.269731852542587,4,0.0751619068755464,"no",""
"RNF17",9,0.096910292290772,"no",-0.121884600941428,0.0929298903545704,7,0.89517614500738,"no",""
"HSD17B14",8,0.0970035235345174,"no",-0.0771402680557302,0.186387099310916,6,0.0200919880084331,"no",""
"ATP5B",9,0.0971203889136796,"no",-0.330443956547309,0.192629809645398,0,NA,NA,""
"ERP44",8,0.0981584147291503,"no",-0.0535120340165275,0.315918118458105,6,0.954183669378106,"no",""
"ESPNP",5,0.0981970637355611,"no",0.0756789881812504,0.158480706702002,0,NA,NA,""
"NBN",9,0.0983877457865022,"no",-0.127625476795055,0.264524256166469,7,0.888283739128642,"no",""
"ESRRA",9,0.098420395077875,"no",0.0149496512425452,0.3042463767351,7,0.999427488767946,"no","ACY_Act"
"DDI1",8,0.0984876748861687,"no",0.0585430703007834,0.0796854424465948,6,0.197902171942729,"no",""
"FGF10",9,0.0986328021281122,"no",0.0566435749543784,0.282300698659797,7,0.136200328582135,"no",""
"IL17RA",8,0.0992531525749424,"no",-0.140736347217741,0.202432733003025,6,0.104189621300387,"no",""
"MED13L",7,0.0994280477097695,"no",-0.00751468076823921,0.118061539559112,5,0.956392955137779,"no",""
"DDX17",8,0.0996199635646398,"no",-0.270855266035771,0.135493359759452,7,0.966577672891199,"no",""
"WNT7A",8,0.099777459212787,"no",0.156995769454344,0.348040521431806,6,0.997080285477352,"no",""
"CDH6",9,0.0998810488684777,"no",-0.121816448254706,0.154482945468702,7,0.0108571673773208,"no",""
"STAT5A",9,0.10002960166892,"no",0.0412860681059927,0.171966669188157,7,0.999997282325549,"no",""
"GZF1",9,0.100360276346843,"no",0.0794613925231629,0.309718368001006,7,0.010308539547624,"no",""
"DDX55",8,0.100391603176848,"no",-0.477833315816631,0.320522400237902,6,0.999999999044749,"no",""
"SDC1",7,0.100404112488939,"no",0.000740410116041661,0.286096647816657,5,0.999877556570798,"no",""
"DLX6",8,0.100690855848735,"no",0.012297338546082,0.313602258654649,6,0.0177869722280889,"no",""
"ATP2C2",8,0.100708478389751,"no",0.137618903809158,0.149122718057671,6,0.430939953037665,"no",""
"KCNQ5",9,0.100774701504476,"no",0.116674970654007,0.138756462304879,7,0.116122007355435,"no",""
"TRAT1",9,0.100774701504476,"no",0.176293047226346,0.163616526157743,7,0.000123430086737542,"yes",""
"BRAP",7,0.101159459071587,"no",0.0667167846240759,0.132455959352331,5,0.615042987747106,"no",""
"ARL10",8,0.101698791896154,"no",0.0167911071873186,0.146611030102648,6,0.966889412589186,"no",""
"KIF1C",9,0.101740803170259,"no",-0.0662928687344947,0.13639043110051,7,0.015639355170368,"no",""
"ANKH",9,0.10194149606688,"no",0.0793203162079848,0.245761373337875,7,0.689549263634175,"no",""
"PHF20L1",8,0.102107494411858,"no",0.0553001972498108,0.1242377500908,6,1.05826675156351e-06,"yes",""
"GABPA",9,0.102159227011108,"no",-0.293119379319964,0.323060114803226,7,0.999993933668323,"no",""
"PMP2",9,0.102528438281826,"no",-0.138691874304053,0.150265342750093,7,0.000750162915142738,"no",""
"LOC100271836",9,0.103016555130783,"no",NA,NA,0,NA,NA,""
"LOC440354",9,0.103016555130783,"no",NA,NA,0,NA,NA,""
"LOC595101",9,0.103016555130783,"no",NA,NA,0,NA,NA,""
"TWIST1",7,0.103141834262191,"no",-0.0394760914074782,0.176463855970685,5,0.181493495785011,"no",""
"CDH1",9,0.103320342452021,"no",-0.054472301830428,0.100660044002039,7,0.953850588507724,"no","BLCA_LoF,BRCA_LoF,DLBCL_LoF,SSCC_LoF,ST_LoF"
"GCLM",9,0.103354135309494,"no",-0.10528598667856,0.230297858717005,7,0.0380829757964357,"no",""
"LRP1",9,0.103506299010675,"no",-0.0797333750055554,0.339513442577861,7,0.983800544280073,"no",""
"GREB1",8,0.103520037985983,"no",0.173854758955951,0.130855287993475,6,0.00102881436989533,"no",""
"MSGN1",8,0.103555974511402,"no",NA,NA,6,0.0592925673385107,"no",""
"WNT8A",9,0.103726367982073,"no",-0.266961366984277,0.259078413123171,7,0.0102741659713348,"no",""
"LRRK1",8,0.104041969076302,"no",-0.0853552084481549,0.184725999057907,7,0.289091545001263,"no",""
"LMO7",9,0.104082555797861,"no",0.061290486633594,0.203965143966856,7,0.000650535807130814,"no",""
"CSK",9,0.104133509562231,"no",0.170453710345832,0.109479107152307,7,0.169311357958361,"no",""
"PKHD1",9,0.104184480779885,"no",0.178768738620473,0.435119205472376,7,0.419883627963597,"no",""
"RGR",9,0.104201475064598,"no",0.135249171609558,0.17927830886033,7,0.924115019456348,"no",""
"ANPEP",8,0.10427653222598,"no",-0.0919567101349758,0.162617330041149,6,0.713693346400653,"no",""
"ASF1A",9,0.104320489368283,"no",-0.105051337582203,0.11938466542919,7,0.999046450694475,"no",""
"PDE7B",9,0.10450770391575,"no",0.187550630352357,0.222734873885641,7,0.170854411934343,"no",""
"VWC2",8,0.104782995244827,"no",0.0614609292335443,0.167603085345424,6,0.0732029910877383,"no",""
"ZNF638",8,0.105509478619357,"no",-0.151515507134912,0.138695262837564,6,0.978229682594999,"no",""
"ABCG8",9,0.106254889871189,"no",0.0180673521081122,0.0786440619088619,7,0.158860251204607,"no",""
"ABI1",8,0.106294343597121,"no",-0.0815796362179202,0.153814244892208,6,0.0125791867852083,"no","ESCA_ambiguous"
"QPCT",7,0.106479179770486,"no",0.0262128298619091,0.116522614442257,5,0.883574003692478,"no",""
"ADCK1",9,0.106599849238786,"no",0.178007717684874,0.193107443485496,7,5.14933862216793e-07,"yes",""
"MMP7",8,0.107028079384641,"no",-0.0560956368915439,0.0801981435178008,6,0.468945686443362,"no",""
"PLEKHG4B",9,0.107032144791509,"no",-0.0533606553846075,0.301061975140322,7,0.00031776294743735,"no",""
"ANKRD50",7,0.107187005304024,"no",0.0572918153190478,0.112739344361653,6,0.160117575641669,"no",""
"WDR7",8,0.107396260469975,"no",-0.310991552904571,0.216394778289728,7,0.999999940339358,"no",""
"WNT4",8,0.107433126763043,"no",-0.052617021704514,0.081403484232232,7,0.215056507592965,"no",""
