"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"FFAR3",4,0.71580032614151,"no",0.0748755968511403,0.0827272716286397,3,0.00199170305995189,"no",""
"SOCS5",4,0.716167865212297,"no",-0.108943612516646,0.12431657962475,2,0.754302675988099,"no",""
"DNAJC27",5,0.716318447988829,"no",-0.0745524137397909,0.123527225929267,3,0.000728013239086445,"no",""
"PDGFA",5,0.716318447988829,"no",0.278293022654798,0.048451826019207,3,0.00601270549162303,"no",""
"CXCR6",4,0.71653519302712,"no",0.384888811437968,0.669170071968255,2,0.025120207006249,"no",""
"ELL2",4,0.716994055319252,"no",0.0213504906831569,0.0163585990811835,2,0.0530069876473501,"no",""
"C1QTNF2",4,0.717039923351622,"no",-0.185810951004948,0.0861349977989875,2,0.225184260427895,"no",""
"KIF22",5,0.717105220547301,"no",-0.0926024820064612,0.218486531902423,3,0.959591709191377,"no",""
"WISP2",5,0.717146602311205,"no",-0.0779992909207749,0.0971158903223052,3,0.371472542793409,"no",""
"LPAR6",5,0.717312102014569,"no",-0.0796646785593673,0.105118565338041,3,0.044182543544767,"no",""
"MAPK14",5,0.717808338311427,"no",-0.0478157385305431,0.127843413750174,3,0.632006875371112,"no",""
"SLC2A14",5,0.717932335728186,"no",0.158918750855803,0.196228368537662,3,0.660857493402228,"no",""
"SLC2A3",5,0.717932335728186,"no",-0.128926807280808,0.043235411448831,3,0.830645962020595,"no",""
"FAM91A1",4,0.718048181595961,"no",-0.279108590728174,0.087696472054605,2,0.846111201974894,"no",""
"MED17",4,0.718185546913093,"no",-0.119023806096185,0.0776842578301492,2,0.994855886962857,"no",""
"HOXC10",5,0.718221567013364,"no",-0.102710142243847,0.101940062830129,3,0.990714578385047,"no",""
"IPP",5,0.718262874788388,"no",-0.00137170640771587,0.0852100661043335,3,0.0748496331755648,"no",""
"NRG2",5,0.718386781634131,"no",-0.168671435959098,0.381068027297486,3,0.281353809948241,"no",""
"PRR5",5,0.719005944716238,"no",-0.232961804214402,0.216230074573354,3,0.00271553187014728,"no",""
"TAL1",4,0.7191462659213,"no",-0.0570757195713315,0.138106580219152,3,0.768315521573749,"no",""
"AK5",5,0.719253436534377,"no",-0.10673640303387,0.0496791317354394,3,0.0365088217112691,"no",""
"ARHGEF37",5,0.719459603918732,"no",0.0441140686116402,0.064901208552482,3,0.143303808258001,"no",""
"TMEM19",5,0.71987173174619,"no",0.218425759927222,0.158564753068866,3,0.20399473157413,"no",""
"TRIM32",5,0.720530561450256,"no",0.0598437997018623,0.075525098620858,3,0.818407940715618,"no",""
"HDAC2",4,0.720880969489261,"no",-0.0024367675758154,0.099235387820559,2,0.32016222288854,"no",""
"CCDC36",4,0.720972135805228,"no",0.239752253126388,0.192330807683023,2,0.805583099492025,"no",""
