"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"SLC39A11",5,0.441210225468829,"no",-0.148253040013876,0.218163122491153,3,0.701632385409677,"no",""
"GPR37L1",4,0.441282250081179,"no",0.0283777076020492,0.0403934647581678,2,0.293761071419149,"no",""
"NRG1",5,0.441305797619126,"no",-0.0949824293903298,0.238720503007893,3,0.999827907493964,"no","ST_Act"
"ARSG",5,0.442835379460574,"no",0.00347787486440932,0.181857028800641,3,0.999999927704,"no",""
"ZNF92",5,0.443313536819184,"no",0.210043304559403,0.224792754585724,3,0.31325904767537,"no",""
"ATP7B",5,0.443456998978392,"no",-0.261905069358586,0.113442214277514,3,0.921337130169695,"no",""
"GPR87",5,0.44355264423561,"no",-0.0691969579581125,0.083745848244567,3,0.0348391920936656,"no",""
"C11orf24",4,0.443833548772618,"no",-0.113391567783685,0.135993587016968,2,0.788294437729206,"no",""
"PTPN6",4,0.443939905015011,"no",-0.134973240459226,0.125728730321853,2,0.969761444711499,"no","CM_LoF,DLBCL_LoF"
"PTTG1IP",3,0.443986615604156,"no",-0.126566284804138,0.208853550196686,1,NA,NA,""
"CHST4",4,0.444631320374778,"no",-0.248828098394358,0.0662271725440112,3,0.0592100554619339,"no",""
"RAB11B",5,0.444987686010982,"no",-0.152680689470323,0.02294636769819,3,0.95757666597275,"no",""
"ARHGAP1",5,0.4450833794248,"no",-0.0162612366551583,0.0419126243374659,3,0.0183839143085057,"no",""
"HMGN2P46",5,0.445226925105573,"no",0.0366308020903635,0.146339427181638,0,NA,NA,""
"SLC22A3",5,0.445274775145946,"no",0.0173558411588362,0.0264822785455529,3,0.896277879882678,"no",""
"GNA14",5,0.445418329698431,"no",-0.0569950680279828,0.158534421617303,3,0.894249058905169,"no",""
"ANKRD33B",4,0.445908228615578,"no",0.158743485733621,0.121842276745304,3,0.842914620927539,"no",""
"CNTRL",4,0.446014663625146,"no",-0.091387867156966,0.122415831954754,3,0.575870360864613,"no",""
"TEP1",2,0.447307972688022,"no",-0.324784156861503,0.0141019401781645,1,NA,NA,""
"SLC39A4",2,0.447841730260267,"no",0.227537604637338,0.117147342292958,1,NA,NA,""
"WDR47",4,0.448250703188424,"no",-0.121499082427495,0.152561580805961,2,0.551325253291266,"no",""
"HNRNPA0",5,0.448290790762635,"no",-0.164379695208498,0.275506492336817,3,0.0591234023502485,"no",""
"ZMYND12",5,0.448626077690981,"no",0.0677510190163384,0.183503888967293,3,0.672442855070802,"no",""
"GOT1",5,0.449105117956987,"no",0.0643082457597095,0.0969287536245392,3,0.600797653826586,"no",""
"NCOR2",4,0.449369357187722,"no",-0.0743160872142231,0.0732773556290672,3,0.0739411101146225,"no","BRCA_Act,COREAD_Act,ESCA_Act,HC_Act,PRAD_Act"
"JAK2",5,0.449440487095059,"no",-0.00405350036854216,0.147187919168438,3,0.973212243024812,"no","ALL_ambiguous,AML_ambiguous,BRCA_ambiguous"
"WNK1",4,0.449475917254421,"no",-0.516465652934719,0.428732935692663,2,0.00118663511883216,"no",""
"C5AR1",5,0.449536313006545,"no",0.0487051975893125,0.0786540279247299,3,0.61528358012173,"no",""
"BPTF",5,0.449584226985364,"no",-0.326730498509331,0.0591980761498,3,0.00991690333352841,"no",""
"ADSL",5,0.449632141645376,"no",-0.587811245333311,0.144776417499314,3,0.000179252204028942,"yes",""
"ZBTB10",4,0.449795619768749,"no",-0.0846481298714603,0.112979297166797,2,0.87647055802953,"no",""
"MIEN1",5,0.450015483371251,"no",-0.0041765392662446,0.154042446745063,3,0.0121770668140797,"no",""
"TBC1D14",3,0.450110785369243,"no",-0.0482238309107825,0.0931845593359905,1,NA,NA,""
"SIRPG",5,0.450111325569626,"no",-0.219628412527626,0.230047807949582,3,0.740999512275613,"no",""
"NR4A1",5,0.450255093921461,"no",-0.154633515504923,0.137842100717634,3,0.318595934050578,"no",""
"NR0B2",5,0.450303018050637,"no",0.117957506112204,0.128142196424041,3,0.151422782727794,"no",""
"OR2T5",4,0.450861534300763,"no",0.21266342920766,0.425810955486093,2,0.0154744110792564,"no",""
"CD4",5,0.450974026078369,"no",-0.232360500918075,0.105268201287112,3,0.967481441909373,"no",""
"ARID3A",5,0.451788995948266,"no",-0.101378195630148,0.125503254447695,3,0.0227211109292967,"no",""
"AKR1C2",5,0.452556198489243,"no",-0.183816478955661,0.291234323399808,3,0.999952485232614,"no",""
"STARD10",5,0.452748024878672,"no",-0.101111445343601,0.129802475902175,3,0.917071379944514,"no",""
"BTBD9",4,0.452781089534778,"no",-0.193259039519318,0.068962361403056,3,0.0265077299621745,"no",""
"SOX7",3,0.453236447761072,"no",0.0875961727531197,0.158616860704062,2,0.797526040209262,"no",""
"ATP10A",2,0.453887630108802,"no",-0.298083640302905,0.088321929798327,1,NA,NA,""
"IFNGR2",5,0.454378957623792,"no",-0.241624718304279,0.14432391920288,3,0.975853768850967,"no",""
"FASLG",4,0.454595042696736,"no",-0.279839471559207,0.260441863364544,2,0.146687816643858,"no",""
"DND1",4,0.454808513608153,"no",-0.232367898260094,0.192132034608756,3,0.0683096128500801,"no",""
"ITGB1",3,0.454860262494586,"no",-0.119914127644835,0.0652822843498417,3,0.603703906610443,"no",""
"CELSR1",5,0.454906766210895,"no",-0.109231447192021,0.272238655322559,3,0.968715536270135,"no",""
"C1orf159",5,0.455098714941649,"no",-0.128609665443586,0.0868328707314541,3,0.183423440472766,"no",""
"SIRPB1",2,0.455347754372466,"no",0.102831499914009,0.0945559369562449,2,0.307971560667199,"no",""
"MDS2",5,0.455674619249663,"no",0.118071999928874,0.0431633376510964,0,NA,NA,""
"IP6K2",4,0.455715913766329,"no",-0.219742396164838,0.130776010517591,2,0.134770333679445,"no",""
"UBE2J2",5,0.455818608855549,"no",0.000253316843465978,0.0977898334626166,3,0.00722814052327659,"no",""
"KCNH4",3,0.45606345743585,"no",0.15206238367269,0.117606925961754,2,0.34669109006035,"no",""
"DUSP23",5,0.456106604179943,"no",-0.153080180053599,0.187153309001393,3,0.90062511081533,"no",""
"SDSL",5,0.456538637186516,"no",-0.0199062473316624,0.183392980737632,3,0.469818854854455,"no",""
"SLC25A11",4,0.456730347656059,"no",0.0102154531755308,0.0790253858129502,3,0.819864945919637,"no",""
"FZD2",5,0.456730667164842,"no",-0.0939225753894709,0.18477433701001,3,0.416852873047976,"no",""
"CABP2",5,0.45677867612388,"no",-0.136900527820051,0.156011647509163,3,0.162717263441502,"no",""
"SEMA3C",4,0.456783747006799,"no",-0.0358566967298364,0.0719773976587722,2,0.691078196447907,"no",""
"EPB41L4B",4,0.457371192637045,"no",-0.133809799599373,0.162043881371239,3,0.187771017887876,"no",""
"GJB6",5,0.457546898519786,"no",0.00771142155319908,0.0434441095116456,3,0.855756463089832,"no",""
"ING3",5,0.457594917327275,"no",-0.119788216775026,0.136282932080302,3,0.0247228720759177,"no",""
"PKN3",4,0.45838609654594,"no",-0.0922804740474016,0.0569905181845704,2,0.403847647762693,"no",""
"LMX1A",4,0.458546370251095,"no",-0.221687231335952,0.125001438659951,2,0.745994967078773,"no",""
