"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"PLAA",10,0.360647949824708,"no",-0.114140837671454,0.166155625402007,7,0.525156052200144,"no","","","",143
"SUV420H2",10,0.360811022759522,"no",NA,NA,0,NA,NA,"",NA,NA,143
"TULP4",10,0.361463559773447,"no",-0.225940043252751,0.205466314352516,6,0.867478716627774,"no","","","",143
"GDPD3",11,0.361748695911579,"no",0.100111247103266,0.239103072117463,7,0.96356151380208,"no","","","",143
"ADH1C",11,0.362185084505718,"no",0.0434851990792151,0.251914173792911,0,NA,NA,"","","",143
"BCAS3",10,0.3623451049207,"no",0.0852239535321898,0.236965711327789,6,0.0547260023129842,"no","","","",143
"PTAR1",10,0.36290051573147,"no",-0.183851742356205,0.180715862090364,7,3.1913061366742e-05,"yes","","","",143
"LRIG2",11,0.362964783110095,"no",-0.236576821587647,0.265853686363693,7,0.618911085860976,"no","","","",143
"PDE6A",11,0.363089586279371,"no",-0.0502225063568822,0.0878736794322275,7,0.980205853832298,"no","","","",143
"ORC3",10,0.363521600197728,"no",-0.0827392393781889,0.255952954835853,6,0.00716887050469001,"no","","","",143
"PCGF6",11,0.363526508682844,"no",0.0690459026786693,0.0821116644276989,7,0.102388313967896,"no","","","",143
"CDK6",11,0.364088519842075,"no",-0.247281215046798,1.15122926651416,7,0.000356684805037515,"no","","","",143
"SVEP1",11,0.364619569410328,"no",-0.0720241516174623,0.109339734887787,7,0.292451961827747,"no","","","NPM1 (depleted, 3% vs 28%)",143
"XPO4",10,0.364666613576407,"no",0.0797771419709215,0.0837942618394487,7,0.454695602781468,"no","","","",143
"OR51B2",11,0.364900815724111,"no",0.0739484877203893,0.239313248898039,0,NA,NA,"","","",143
"NPDC1",11,0.36530718523881,"no",-0.214950714903303,0.44553194397017,7,0.142242451859506,"no","","IDH2 (enriched, 23% vs 0%)","",143
"TBC1D3F",11,0.365807534321771,"no",0.0823804851930821,0.398305840991999,0,NA,NA,"","","",143
"TBC1D3G",11,0.365807534321771,"no",-0.0567666949851396,0.204156475487862,0,NA,NA,"","","",143
"TBC1D3H",11,0.365807534321771,"no",0.0166559778364412,0.361933739348384,0,NA,NA,"","","",143
"MERTK",11,0.365838813524,"no",-0.0953791442449887,0.131518272433231,7,0.188573765296106,"no","","","",143
"TBX3",11,0.366120365365795,"no",0.00781355348387137,0.0836314908055597,7,0.0604499960415948,"no","BRCA_LoF,COREAD_LoF,DLBCL_LoF,ESCA_LoF","","",143
"SMAD1",11,0.366182941972165,"no",-0.107059388736171,0.221605361727311,7,0.963351868696406,"no","","","",143
"MPZ",11,0.36621423157383,"no",-0.0409188338256174,0.208978509635426,7,0.774648053462157,"no","","","",143
"HS3ST2",10,0.366369938454856,"no",-0.326268645957537,0.51698608740666,7,0.981137098252688,"no","","","",143
"PAQR9",11,0.366558474267579,"no",-0.199365104555005,0.35243083392813,7,0.7857949254187,"no","","","",143
"SPAG4",10,0.366861758827944,"no",-0.0166768676701089,0.0787177892783354,6,0.00395891500138146,"no","","","",143
"SAFB",10,0.366992946780152,"no",-0.197438017132082,0.110043204258714,7,0.389484080562398,"no","","","",143
"RALGDS",10,0.367452223194824,"no",-0.026756776690747,0.12156096991009,7,0.781519021316327,"no","SSCC_Act","","",143
"GRAP2",11,0.367623156497209,"no",-0.141342596430354,0.206369198545847,7,0.0105658637220127,"no","","","",143
"ZCCHC3",10,0.367649112308225,"no",-0.231169808175885,0.294962684826318,6,0.981699946895259,"no","","","NPM1 (enriched, 26% vs 5%), RUNX1 (depleted, 0% vs 18%)",143
"ARHGAP8",11,0.36768581578647,"no",0.186467269982751,0.351255122419929,7,0.887193166650062,"no","","","",143
"PRR5-ARHGAP8",11,0.36768581578647,"no",-0.0561387907860703,0.205887671387621,0,NA,NA,"","","",143
"C1orf56",11,0.368845629083068,"no",-0.0643352505342508,0.139676667985203,7,0.112675582864363,"no","","","",143
"POU2F1",11,0.368908354914734,"no",-0.1705282252298,0.224288913875576,7,0.0317156034267378,"no","","","",143
"COPS8",11,0.369065184352416,"no",-1.00162012936004,0.384600295125205,7,6.64033489109581e-08,"yes","","","",143
"NR2E1",11,0.369190663173159,"no",NA,NA,7,0.468940423608681,"no","","","",143
"SETMAR",10,0.36925829923194,"no",0.0468483886969389,0.115992661906721,7,0.907723864676362,"no","","","",143
"FKBP2",11,0.369378906826968,"no",-0.124699146801083,0.133806656848207,7,0.928803613011265,"no","","","",143
"WDR67",10,0.369586979007103,"no",NA,NA,0,NA,NA,"",NA,NA,NA
"DHX36",11,0.369724099302794,"no",-0.326668689715558,0.0684489245467265,7,4.33296357478345e-06,"yes","","","",143
"GFRA1",11,0.369755485506771,"no",-0.139283112089205,0.227796874250576,7,0.761463904437151,"no","","","",143
"GPR33",11,0.369881038762288,"no",0.0777830029500375,0.0671386218284208,0,NA,NA,"","","",143
"HOXC13",11,0.369912429185124,"no",-0.0640798723720987,0.242771931367067,7,0.151094253003426,"no","BRCA_Act","","",143
"MTF2",11,0.369912429185124,"no",-0.193810998244586,0.240349298831923,7,0.535548995538451,"no","","","",143
"LRRN3",11,0.370257779446219,"no",-0.0367409362423932,0.0941939467212844,7,0.55494620830027,"no","","","",143
"C18orf8",10,0.370376187368305,"no",-0.0108043476580914,0.141288326814463,0,NA,NA,"",NA,NA,143
"MSR1",11,0.370634641251968,"no",0.0590728796634673,0.137946330028883,7,0.997942370489385,"no","","","",143
"SMN1",11,0.370666051859499,"no",NA,NA,0,NA,NA,"","","",143
"SMN2",11,0.370666051859499,"no",NA,NA,0,NA,NA,"","","",143
"KLF2",11,0.371043044511334,"no",-0.107881764734499,0.451013524120713,7,0.947995539342374,"no","","","",143
"ALS2",11,0.371483021471366,"no",0.0738235206643908,0.449027660173843,7,0.998818791360716,"no","","","",143
"TREML1",11,0.372835398763703,"no",-0.107346035836638,0.249456767627398,7,0.973399772274811,"no","","","",143
"RASGRP2",11,0.372961279137149,"no",-0.118623282946095,0.288549011440255,7,0.0811059925225206,"no","","","",143
"CNGA4",11,0.373370481427054,"no",0.185461506541652,0.227859730474003,7,0.880360816564928,"no","","","",143
"EVC",11,0.373464932475473,"no",-0.137291061262125,0.246597151923294,7,0.999064729607016,"no","","","",143
"AHCYL1",11,0.373527903950102,"no",-0.241625554407148,0.244023827673227,7,0.0041474810838947,"no","","","",143
"HOXA10",11,0.374409848870071,"no",0.0772901068344221,0.215694412105022,7,0.115587191123762,"no","","","NPM1 (enriched, 31% vs 0%)",143
"DLX4",10,0.374594170907931,"no",-0.121929930734507,0.241345678759156,6,0.7580089556583,"no","","","NPM1 (enriched, 31% vs 0%)",143
"DCAF11",11,0.375292433539182,"no",-0.0694273100308459,0.0824836789581733,7,0.992618479444982,"no","","","",143
"TINF2",11,0.375481641654555,"no",0.019613731645128,0.141953455824732,7,1.49258731146291e-11,"yes","","","",143
"CDK15",11,0.37567087891173,"no",-0.066393959029843,0.145339696796594,7,0.985203613138536,"no","","IDH2 (depleted, 0% vs 23%)","",143
"SSTR5",11,0.376712202882912,"no",0.018834535099172,0.153240637956402,7,0.996416059512715,"no","","","",143
"FAM210B",11,0.377027928348805,"no",-0.0162891095692046,0.12053669644555,7,0.995881409531358,"no","","","",143
"WHSC1L1",9,0.377140306776758,"no",NA,NA,0,NA,NA,"",NA,NA,143
"SIGLEC9",11,0.377217402044361,"no",-0.114071693626566,0.248507325845533,7,0.319778451137887,"no","","","",143
"RCOR3",11,0.377564845155337,"no",0.050988680863573,0.139289630851193,7,0.366548442273405,"no","","","",143
"INO80D",11,0.377691212022317,"no",-0.0863988301800054,0.0573733387850375,7,0.985533895328538,"no","","","",143
"PECAM1",10,0.377899658375021,"no",-0.0585055119402207,0.127496568151888,0,NA,NA,"","","",143
"CASP14",8,0.378069072836665,"no",-0.0763748246366986,0.175244979949093,5,0.897953116629656,"no","","","",143
"TAAR8",10,0.378429349098842,"no",0.01402290896943,0.180098435571627,6,0.999998221678534,"no","","","",143
"EML1",11,0.378860707720149,"no",-0.120454371818543,0.215365422637459,7,0.989718966888763,"no","","","",143
"LEPREL2",11,0.379082085448656,"no",NA,NA,0,NA,NA,"",NA,NA,143
"GNAQ",10,0.379091774178532,"no",-0.0547081854194421,0.163225231984779,7,0.0384781605432923,"no","CM_Act,UVM_Act","","",143
"RAB5B",11,0.379651519499056,"no",-0.085918865902142,0.209266155531211,7,0.918755037123979,"no","","","",143
"NEIL3",11,0.37971480565062,"no",0.0694408142269029,0.1274258660703,7,0.99999226771881,"no","","","RUNX1 (depleted, 0% vs 18%)",143
"NEUROD4",11,0.379967981587571,"no",-0.0129914527908202,0.0725665227322361,7,0.990203820735265,"no","","","",143
"WNT8B",11,0.379999632101194,"no",-0.0523844744862322,0.103476314268279,7,0.994194541565672,"no","","","",143
"YEATS4",11,0.380031283396727,"no",-0.0905657455821079,0.112638297010178,7,5.89151490013305e-07,"yes","","","",143
"RFWD3",10,0.380086057460853,"no",-0.0650449361694883,0.171582513585591,7,0.000268235389330001,"no","","","",143
"S100A14",11,0.380221207579169,"no",0.0227061034306804,0.189753428745549,7,0.982140796085538,"no","","","",143
"SDHC",11,0.380284521886469,"no",-0.0202162849527869,0.145353873314686,7,5.34195157282397e-07,"yes","","","",143
"PCGF5",11,0.380442821304184,"no",-0.0273568725478755,0.200840615346833,7,0.788337933688766,"no","","","RUNX1 (enriched, 18% vs 0%)",143
"UBTD1",11,0.380632806316674,"no",-0.0144772133420195,0.18860965274602,7,0.999402012718582,"no","","","",143
"CBLC",11,0.380949510225648,"no",0.0491047139771586,0.169611539494965,7,0.28129391497027,"no","","","",143
"MRGPRX4",11,0.38113956983552,"no",-0.114944172476116,0.0835335766972207,7,0.761671881358797,"no","","","",143
"UBE2R2",11,0.381361341302838,"no",-0.0160221113881217,0.181316478921901,7,0.155054426935643,"no","","","",143
