"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"ALKBH5",7,2,0.246305955588605,"no",-0.0664712343102769,0.15076746493283,-0.149460231260075,0.121522927192408,3,2,0.677202140807458,"no",""
"LY9",7,2,0.246903673138456,"no",0.0370005697056147,0.253387561621813,0.0899961271976245,0.218518928166966,4,1,NA,NA,""
"RNF112",7,2,0.248906311024882,"no",0.0134363280620152,0.136096466575717,-0.020346621227698,0.0736712006222247,3,2,0.747745851035875,"no",""
"TWIST1",8,2,0.252470847404553,"no",0.0480779228239972,0.209130422760467,-0.0187719167557283,0.0482257758580798,3,2,0.545738297400932,"no",""
"PEA15",8,2,0.254083925650621,"no",0.124617657797217,0.104342108103924,-0.0720986503146108,0.1075400971735,4,1,NA,NA,""
"OR2B11",8,2,0.255075955919806,"no",-0.0407695034325068,0.219351977307211,-0.161625777402878,0.068117982071436,3,2,0.159411630686879,"no",""
"OR13G1",8,2,0.262555534735755,"no",0.107810610939318,0.0991353859227996,0.0829738649516169,0.0509639658582441,3,2,0.546281047836879,"no",""
"NPR3",6,4,0.264000698909921,"no",0.145365670608048,0.14222657061305,0.174333810597637,0.153965359061403,3,2,0.219542907319404,"no",""
"OR11L1",8,2,0.264158076481375,"no",0.0368187692075091,0.0966601918996118,0.0486441502227922,0.0027678142886208,3,2,0.535035390580415,"no",""
"TDRD10",7,3,0.264443287170888,"no",0.0262307997482845,0.149270149401868,0.0306283787139858,0.132703578444439,3,2,0.303122024376128,"no",""
"MYCN",8,2,0.264753313026321,"no",0.0652967772465444,0.128658101899175,0.159513883680814,0.0316645734753205,4,1,NA,NA,"GBM_Act,MBL_Act,NB_Act,PIA_Act,SBCC_Act,UCEC_Act"
"ID2",8,2,0.268017681337421,"no",-0.0964273615257736,0.207366742590678,-0.139552195681725,0.0588839260999666,4,1,NA,NA,""
"VSIG8",8,2,0.268296381622684,"no",0.0480153876450592,0.252284627250275,-0.0818223989311176,0.0473734795890584,4,1,NA,NA,""
"VPREB1",8,2,0.268631003965053,"no",-0.0591773432073072,0.113150219122572,0.0471455486255208,0.0493777475181825,4,1,NA,NA,""
"PPAT",8,2,0.270474968799982,"no",-0.029987578877468,0.0690260952102627,-0.0366489829319115,0.0544100275224909,4,1,NA,NA,""
"DIDO1",8,2,0.271974083374156,"no",0.0900435046645184,0.356464211461702,-0.0345011955107689,0.0369382175991314,3,2,0.484670382291287,"no",""
"HECTD1",8,2,0.27256359056155,"no",-0.125536579604385,0.301916856365437,-0.0290020753712261,0.096863122182622,4,1,NA,NA,""
"MTMR11",7,3,0.275811472325032,"no",-0.040090342657739,0.293672528800172,-0.284190715171114,0.161847595262654,3,2,0.743354350061192,"no",""
"B9D1",7,2,0.281105918730834,"no",-0.0391664887287617,0.177509325240922,-0.156059610182239,0.0525231307928965,3,2,0.473049504931017,"no",""
"ARNT",5,4,0.286796267681467,"no",0.130784263215619,0.061872219854353,0.13216417650067,0.0367391024748889,3,2,0.255957050173566,"no",""
"UGT3A1",5,4,0.289363121406113,"no",0.0881241828380782,0.0124750013845674,0.0443013601144215,0.127145751942749,2,2,0.431677168393447,"no",""
"UBE2Q1",7,3,0.2910244586834,"no",-0.0841143054089287,0.805699516676217,-0.354226417757173,0.28261515900518,3,2,0.28932997737301,"no",""
"OR2T33",7,2,0.291550039163932,"no",-0.0674280080836853,0.260713627753073,-0.297334934040501,0.182845284967134,2,2,0.443166489186337,"no",""
