"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"RASGEF1B",10,0.497988062006189,"no",-0.0965079413220505,0.169096002740997,5,0.853428094739317,"no",""
"KIF21B",6,0.49827128186092,"no",-0.0906882072541594,0.0979030653335598,1,NA,NA,""
"INPP5J",10,0.498404322604672,"no",-0.121947716119877,0.251740029923739,5,0.995842526950405,"no",""
"TNFRSF19",9,0.498539909842114,"no",0.0500306839843491,0.145539246945217,5,0.919449331563712,"no",""
"MSH5",10,0.49864714209373,"no",NA,NA,5,0.556757960192603,"no",""
"MSH5-SAPCD1",10,0.49864714209373,"no",NA,NA,0,NA,NA,""
"CBX6",10,0.498924650671583,"no",-0.0710399186146854,0.294359979723602,5,0.379495787593554,"no",""
"PAMR1",9,0.499014437985311,"no",NA,NA,5,0.986258040354869,"no",""
"DLX1",10,0.499098093797386,"no",-0.105309643438,0.0967666983237057,5,0.267964382652407,"no",""
"CYP2C18",10,0.499202159754295,"no",0.167285453809733,0.181421160192092,5,0.203258876360904,"no",""
"PAK4",10,0.49927153708859,"no",-0.0483589728660559,0.257713618077037,5,0.239984134160657,"no",""
"CAMKK1",9,0.499452465175096,"no",-0.057312863275667,0.204181596782794,5,0.564950015723047,"no",""
"SMARCD2",10,0.499479669211581,"no",-0.138504932676273,0.222321532067837,5,0.305708613203578,"no",""
"PHF12",10,0.499791867636538,"no",-0.0647483616082871,0.329118487303409,5,4.60413813461937e-05,"yes",""
"CPA6",9,0.499926995334913,"no",0.0727866784896788,0.205231872181602,4,0.988444529508943,"no",""
"MAMDC4",9,0.500146009327811,"no",0.0318752529963788,0.380026989286923,4,0.961579302710666,"no",""
"PRDM15",10,0.500624396870526,"no",-0.0364286195651978,0.182128606370542,5,0.942616514081046,"no",""
"C9orf24",10,0.500693774236119,"no",-0.0578102913530718,0.11182944225852,5,0.0198829285893276,"no",""
"CAPN10",10,0.501179415111273,"no",0.0676396828855406,0.114980334479214,5,0.701415460429088,"no",""
"HES7",10,0.501248792257008,"no",-0.244316949968441,0.243721379510096,5,0.00570538306701889,"no",""
"FABP5",10,0.501387546436514,"no",-0.36347965765137,0.729325930312259,5,0.00527739572530311,"no",""
"CHN2",9,0.501861612437257,"no",0.00100838106614741,0.282173561572338,5,0.545046110348357,"no",""
"HMX2",10,0.50326070527882,"no",0.0651775018354363,0.140322524702229,5,0.999509351488552,"no",""
"HPGD",10,0.503676954738042,"no",-0.0489236882829669,0.171616780846602,5,0.999994391930012,"no",""
"PILRB",9,0.503723185679897,"no",0.126625805513714,0.106194280428486,5,0.658822103695525,"no",""
"BBC3",10,0.503781016513144,"no",-0.29297022479022,0.22768842884378,5,0.780044388953882,"no",""
"HSF1",9,0.503832687930063,"no",-0.0998899982770114,0.190230109029894,5,0.000902921143150637,"no",""
"SERPINA5",10,0.503850390891625,"no",-0.0412295584840427,0.351773917109666,5,0.37919853482146,"no",""
"RFX5",6,0.504255241739811,"no",-0.100001151586397,0.126143112351541,3,0.226806929348968,"no",""
"GNPNAT1",10,0.504440068341766,"no",-0.158027379068622,0.21844457713883,5,0.00117101651954207,"no",""
"MTMR4",9,0.504526195367854,"no",-0.143463378682427,0.179451002521725,5,0.215519732474206,"no",""
"FOXO1",10,0.504682874038965,"no",-0.0630426869644315,0.122282765973677,5,0.027725541442599,"no","BLY_Act,NHLY_Act"
"DROSHA",6,0.505451965028526,"no",-0.379267678809127,0.215076255640705,2,0.106785541281211,"no","LUSC_LoF,WT_LoF"
"ATP11A",8,0.506026612566448,"no",-0.0662282168830453,0.17392868775358,3,0.928887324586623,"no",""
"UBA5",9,0.506059161976235,"no",-0.23502611195775,0.214924660243096,4,0.000146013877228633,"yes",""
"DDX42",10,0.506417146301475,"no",-0.393701990337643,0.289986385875047,5,1.32202933797864e-06,"yes",""
"DCAF8",8,0.506451531507494,"no",-0.0765418747063821,0.0786079724772468,4,0.0804866551932959,"no",""
"QSOX2",10,0.506659935755065,"no",0.00251918837984405,0.222688364845902,5,0.114999145381218,"no",""
"ITGA4",9,0.50689860842857,"no",0.0456654488422492,0.260658213019032,4,0.012625544735828,"no",""
"PLXNA2",7,0.507042296119901,"no",-0.0591785039833108,0.410123535261243,2,0.320577266413816,"no",""
"MAP3K5",9,0.507227079633051,"no",0.117651247624281,0.133650832408988,4,0.438837553743615,"no",""
"TXNDC12",9,0.507446057817035,"no",0.0630566270394276,0.149026824026636,4,0.747102627730855,"no",""
"PIK3R3",10,0.507457655209473,"no",0.123013176006754,0.126196920109199,5,0.927940246379085,"no",""
"SLC38A1",10,0.50780448091101,"no",0.0312634688865276,0.128906499736861,5,0.4316780865655,"no",""
"SRCAP",7,0.508030568704934,"no",-0.185256117444753,0.294791317201459,4,0.000197285266910647,"no",""
"ERBB2",8,0.508267009123952,"no",-0.0538505658023633,0.110509081185597,4,0.0469681673500607,"no","BLCA_Act,BRCA_Act,CESC_Act,CH_Act,COREAD_Act,ESCA_Act,NSCLC_Act,OV_Act,RPC_Act,ST_Act"
"GSG2",9,0.508540914916745,"no",NA,NA,0,NA,NA,""
"CNGA1",10,0.509087684242292,"no",-0.27298083213045,0.256097111756356,5,0.772064169047331,"no",""
"LSG1",10,0.509087684242292,"no",-0.147181241098498,0.117850825247891,5,5.90660882338559e-06,"yes",""
"NR3C1",10,0.509157044100721,"no",-0.0783432626023098,0.321645775117899,5,0.959273989249288,"no",""
"DNMT1",9,0.50916130683499,"no",-0.374218927463947,0.227273752934168,5,0.0018974430544342,"no",""
"RASL11A",9,0.509453248646924,"no",0.0980681329087268,0.172958843263801,5,0.0769380369005394,"no",""
"DAPK1",8,0.509541609761667,"no",-0.0235856015555305,0.208928127853486,4,0.744200584290219,"no",""
"SERPINA4",9,0.509635709802451,"no",0.0452629794073519,0.164022602474336,4,0.665275903303468,"no",""
"TNFRSF25",9,0.51014659054817,"no",-0.209510830630254,0.329140764118403,5,0.795540569291405,"no",""
"GRK1",7,0.510501031192228,"no",-0.0626736791079494,0.248525316164096,0,NA,NA,""
"GLUD1",9,0.510693944893699,"no",0.0242342131915707,0.272065028132273,5,0.50103520849288,"no",""
"EXOC2",8,0.510700256507665,"no",-0.119457313233732,0.0623881292954524,4,0.00444002555335806,"no",""
"RHOT2",9,0.510839902804897,"no",-0.22171619476612,0.144549973338857,5,0.482717008806068,"no",""
"ANKRD36",9,0.511095325760659,"no",-0.0348516159570224,0.096699150128931,0,NA,NA,""
"COL5A1",9,0.51113181439753,"no",0.0908891843705022,0.180925665255221,4,0.703773875095726,"no",""
