"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"MDC1",5,0.914348571124127,"no",-0.0734612129622521,0.356806732313778,1,NA,NA,"","","",37
"POLD3",5,0.914374811937068,"no",-0.193495182223319,0.42227374977164,1,NA,NA,"","","",37
"CSNK2A2",5,0.914888156750484,"no",-0.0693681136520565,0.233829003405894,1,NA,NA,"","","",37
"SEMA4D",5,0.914890866090112,"no",-0.194484375817335,0.096292942244478,1,NA,NA,"","","",37
"LOC100630923",5,0.914957950197126,"no",-0.0952652362996019,0.110477191999805,0,NA,NA,"",NA,NA,37
"PRKRIP1",5,0.914957950197126,"no",0.194034835178379,0.119757338555596,1,NA,NA,"","","",37
"KCNE3",5,0.915196327093628,"no",-0.13393104743675,0.325382964658719,1,NA,NA,"","","",37
"DND1",5,0.915429032125127,"no",-0.18988173958105,0.323161226715485,1,NA,NA,"",NA,NA,37
"RAB5B",5,0.915476947454029,"no",-0.0300783398158642,0.379313762959418,1,NA,NA,"","","",37
"MDS2",5,0.915685293993532,"no",0.13919212103537,0.031298774024924,0,NA,NA,"","","",37
"DNAJC5",5,0.91607160529329,"no",-0.154269762215416,0.138526714790051,1,NA,NA,"","","",37
"INPP5B",5,0.916146041069128,"no",-0.0546990536986838,0.290889338300059,1,NA,NA,"","","",37
"EBPL",4,0.91651701365261,"no",-0.0762486319479079,0.214481086307842,1,NA,NA,"","","",37
"LPL",3,0.916518395535991,"no",NA,NA,1,NA,NA,"","","",37
"WNT11",5,0.91675843703919,"no",0.112009508809108,0.0447998322306095,1,NA,NA,"","","",37
"CCNB2",5,0.916872253377551,"no",-0.0139025225145898,0.115912307547579,1,NA,NA,"","","",37
"RHO",5,0.917138019261868,"no",-0.284794944063798,0.350031979037096,1,NA,NA,"","","",37
"ABCF3",4,0.917235224554442,"no",0.130994534272544,0.158071266350531,1,NA,NA,"","","",37
"RELA",5,0.917691817839551,"no",0.00177371245312724,0.458180029253633,1,NA,NA,"ST_Act","","",37
"BECN1",5,0.91838019300318,"no",-0.184425885285527,0.338532625074735,1,NA,NA,"","","",37
"PDHA2",4,0.918548190562364,"no",0.0988604045738403,0.20749119544199,1,NA,NA,"","","",37
"RNGTT",5,0.918732104166289,"no",-0.338225473652457,0.078083258339689,1,NA,NA,"","","",37
"CACNA1S",5,0.918811379012333,"no",0.129984635369139,0.0672826282417889,1,NA,NA,"","","",37
"RBBP5",5,0.918905728517168,"no",-0.13969268467866,0.198896590374899,1,NA,NA,"","","",37
"STX7",5,0.918925066511758,"no",-0.0139076232136315,0.253243372911384,1,NA,NA,"","","",37
"MAP1B",5,0.918925189584015,"no",0.0683901536969365,0.233489589059164,1,NA,NA,"","","",37
"TRIP12",4,0.919073831371607,"no",0.136398010919837,0.541962809495977,1,NA,NA,"","","",37
"CBX8",5,0.919555948506498,"no",0.08570641598594,0.210840654006828,1,NA,NA,"","","",37
"CSNK1A1L",5,0.919678935024242,"no",0.19853092597928,0.24675581819208,1,NA,NA,"","","",37
"NAT6",5,0.92020586331165,"no",0.056527330871734,0.0823878454149122,0,NA,NA,"",NA,NA,37
"GIT2",5,0.920966537707373,"no",0.0107928673720041,0.0380802422691671,1,NA,NA,"","","",37
"KIF3C",5,0.921213350944879,"no",0.191415354723729,0.260968107060464,1,NA,NA,"","","",37
"CASC5",4,0.921233211687005,"no",NA,NA,0,NA,NA,"",NA,NA,37
"SMURF2",5,0.921427661500858,"no",-0.070657203389733,0.188956921258484,1,NA,NA,"","","",37
"KIAA2026",5,0.921552434653021,"no",-0.164897736389258,0.213283320891417,0,NA,NA,"","","",37
"LRRC3B",4,0.921851551480137,"no",0.66059014576629,0.194516242573851,1,NA,NA,"","","",37
"CNGA1",5,0.921915444374405,"no",-0.0387838929394294,0.337701522080033,1,NA,NA,"","","",37
"CYP51A1",5,0.921990364642297,"no",0.0741498221129311,0.248661309638377,1,NA,NA,"","","",37
"MAST1",5,0.922061694709176,"no",-0.187526821255326,0.094490562586043,1,NA,NA,"","","",37
"KLF12",4,0.922275191320085,"no",0.108824610456038,0.0740016054189353,1,NA,NA,"","","",37
"GDF15",5,0.922307811893557,"no",0.00320328647482667,0.204959645389861,1,NA,NA,"","","",37
"SOD1",5,0.922502506145725,"no",-0.140322612609341,0.239526867030566,1,NA,NA,"","","",37
"HECW2",5,0.922735223268401,"no",-0.391812722029309,0.551374076013151,1,NA,NA,"","","",37
"MRGPRX3",5,0.9227913806508,"no",-0.128872894035633,0.145066715075701,1,NA,NA,"","","",37
"C1orf56",5,0.922850065131847,"no",-0.0368242527376185,0.430881298452127,1,NA,NA,"","","",37
"PAQR9",5,0.922853120453649,"no",-0.124856529352006,0.0981954497958527,1,NA,NA,"","","",37
"CYP19A1",5,0.92287302082656,"no",-0.255243305824731,0.417954043786567,1,NA,NA,"","","",37
"HIVEP3",4,0.922994677303726,"no",-0.178776003196078,0.146010086253761,1,NA,NA,"","","",37
"GTF3C2",5,0.923077780581151,"no",-0.311158884969539,0.378086403453034,1,NA,NA,"","","",37
"KCNH3",5,0.923235378987473,"no",0.0977174965435399,0.220696152294872,1,NA,NA,"","","",37
"GAB2",5,0.92332023398249,"no",-0.123745898838909,0.493346506840154,1,NA,NA,"","","",37
"SPRR2G",5,0.923433134591865,"no",-0.062864132758182,0.232607775040564,1,NA,NA,"","","",37
"ANKRD11",5,0.923482880198794,"no",0.0680567902038369,0.481441885694226,1,NA,NA,"","","",37
"GINS4",5,0.923618339712697,"no",-0.386191476091351,0.048725028127696,1,NA,NA,"","","",37
"PARD6A",5,0.923741860841284,"no",0.179483187278965,0.675192748760166,1,NA,NA,"","","",37
"PDE7B",5,0.923950538914604,"no",-0.0631709657946782,0.16526512289219,1,NA,NA,"","","",37
"ACAP2",3,0.924510692637208,"no",-0.132829418928458,0.13320721733995,0,NA,NA,"","","",37
"STK39",5,0.924565609928876,"no",0.486939731197302,0.13485055580081,1,NA,NA,"","","",37
"DICER1",5,0.92459388737225,"no",0.0239305013662369,0.220959360747382,1,NA,NA,"COREAD_LoF,UCEC_LoF","","",37
"HIVEP2",5,0.924688017312099,"no",0.0907562614145761,0.0823097336035713,1,NA,NA,"","","",37
"SLIT1",5,0.924959263308518,"no",-0.0840918656162783,0.116194072467729,1,NA,NA,"","","",37
"HIF1A",4,0.925185183076273,"no",0.167208784668099,0.506103252171233,1,NA,NA,"","","",37
"FGD3",5,0.925289853585497,"no",-0.351094772423145,0.078444573594329,1,NA,NA,"","","",37
"ASXL1",4,0.925305628561818,"no",-0.284755492350074,0.296950701846573,1,NA,NA,"ALL_LoF,AML_LoF,BRCA_LoF,CLL_LoF,ESCA_LoF,HGG_LoF,HNSC_LoF,MBL_LoF,PIA_LoF,PRAD_LoF,RCCC_LoF","","",37
"ECHDC1",5,0.925637860407038,"no",-0.189579275656019,0.131624756552606,1,NA,NA,"","","",37
"BRCA1",5,0.925646544046439,"no",-0.320906338528475,0.383378611643197,1,NA,NA,"BRCA_LoF,OV_LoF","","",37
"HSPA1A",5,0.925710979792888,"no",0.00351579425833839,0.360064160466376,1,NA,NA,"","","",37
"SIGLEC15",5,0.925909551655663,"no",-0.116053518744279,0.290140387595189,1,NA,NA,"","","",37
"ASH2L",5,0.926471455569077,"no",-0.699485566995911,0.952054607833581,1,NA,NA,"","","",37
"ZNF202",5,0.926482458567252,"no",-0.0786060309949485,0.313269862193484,1,NA,NA,"","","",37
"GPR27",5,0.926705316308675,"no",0.129232493568482,0.313684233337145,1,NA,NA,"","","",37
"RDH16",5,0.926718723996922,"no",0.16067324284914,0.148187670737145,1,NA,NA,"","","",37
"TBC1D3",5,0.926769478401236,"no",0.13694043598517,0.375804138006919,0,NA,NA,"","","",37
"TBC1D3F",5,0.926769478401236,"no",0.144667694835019,0.11644678246562,0,NA,NA,"","","",37
"ITGB7",5,0.926948482041541,"no",-0.298623070475838,0.350581911376022,1,NA,NA,"","","",37
"LMBR1L",5,0.927237452756027,"no",-0.00436519495455662,0.323493014040028,1,NA,NA,"","","",37
"CD83",5,0.927294345423129,"no",-0.145761252688453,0.260148877991627,1,NA,NA,"","","",37
"SLC7A14",4,0.927545328340779,"no",-0.711444574555794,0.415861771100456,1,NA,NA,"","","",37
"CR1",5,0.927645586080043,"no",-0.126494415290763,0.383023457627825,1,NA,NA,"AML_ambiguous,MM_ambiguous","","",37
"ACTB",4,0.927758221931433,"no",-0.465253090062937,0.608814043630147,1,NA,NA,"","","",37
"PKDCC",5,0.927921464498878,"no",-0.352978161476097,0.255772760481334,1,NA,NA,"","","",37
"ERN2",4,0.928292950868951,"no",NA,NA,1,NA,NA,"","","",37
"DCAF7",5,0.928318228449712,"no",-0.228928487891598,0.117265816986316,0,NA,NA,"","","",37
"RGL4",5,0.928427543234752,"no",-0.0665934975825811,0.440268676121017,1,NA,NA,"","","",37
"MASP1",4,0.928580589474792,"no",NA,NA,0,NA,NA,"","","",37
"PPP1R13B",5,0.928714695249346,"no",-0.017243402027987,0.155148783098861,1,NA,NA,"","","",37
"MED23",5,0.92901714002002,"no",-0.167367191699007,0.495999541029446,1,NA,NA,"","","",37
