"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"HPSE",14,0.00413629808816799,"no",-0.313915634475354,0.223706993817995,10,0.181759858862286,"no","",3.11157418091167e-08,"up","AHNAK2 (enriched, 24% vs 6%), ANK3 (enriched, 18% vs 2%), GRM1 (enriched, 14% vs 2%), HERC2 (enriched, 16% vs 4%), LRP1 (enriched, 13% vs 2%), NCOR2 (enriched, 10% vs 1%), NFATC2 (enriched, 10% vs 1%), PLEC (enriched, 20% vs 6%), SYNE2 (enriched, 16% vs 4%), TIAM1 (enriched, 14% vs 2%), VPS13B (enriched, 15% vs 4%), WDFY3 (enriched, 13% vs 2%), ZNF236 (enriched, 12% vs 2%)","ACVR2A (enriched, 15% vs 3%), ARID1A (enriched, 35% vs 9%), CNTLN (enriched, 8% vs 1%), CREBBP (enriched, 6% vs 0%), DNAH5 (enriched, 7% vs 1%), KMT2B (enriched, 11% vs 2%), KMT2C (enriched, 10% vs 2%), KMT2D (enriched, 15% vs 4%), LARP4B (enriched, 10% vs 2%), SLC3A2 (enriched, 9% vs 2%), SORBS2 (enriched, 6% vs 0%), SPECC1 (enriched, 9% vs 2%), TTN (enriched, 20% vs 7%), UBR5 (enriched, 10% vs 2%), XYLT2 (enriched, 12% vs 2%), ZCCHC11 (enriched, 7% vs 1%), ZFHX3 (enriched, 8% vs 1%)",437
"RRAS",14,0.00419917623012509,"no",-0.394141015242213,0.238452969206141,10,0.356448387632713,"no","",0.000237706166871304,"down","","",437
"LCN9",14,0.00423590673880009,"no",-0.0200529815798814,0.189856533076908,10,0.897758004546583,"no","",0.0330686797864532,"up","","",437
"ARL5B",13,0.00430596389463877,"no",-0.108926505831404,0.242792990466529,9,0.999998300318458,"no","",1.66063640773949e-10,"up","","TP53 (enriched, 30% vs 14%)",437
"DUSP19",14,0.00438564569704784,"no",-0.0779026489943718,0.21926410065147,10,0.110762208982805,"no","",0.000714485381493039,"down","","RNF43 (depleted, 3% vs 14%), ZBTB20 (depleted, 2% vs 12%)",437
"MFAP4",13,0.0044169081984175,"no",-0.073198902999277,0.119594728816793,9,0.627830685181685,"no","",4.05056149356243e-10,"down","","",437
"ADK",14,0.00463396655594509,"no",-0.113894098878599,0.175346585541806,10,0.376057396559446,"no","",6.39988355714601e-06,"up","","",437
"PSG4",8,0.0046659530686678,"no",0.0228266430238037,0.0894296808271069,7,0.580462792261631,"no","",0.707189092750962,"up","","",437
"EPN2",13,0.00471661257982757,"no",-0.202485647935201,0.203671953724678,9,0.960294696759105,"no","",0.168056304688813,"down","","",437
"RGPD3",14,0.00544510185554106,"no",-0.721585299401672,0.47913030802456,10,0.999999999960546,"no","CM_ambiguous,THCA_ambiguous",4.82574243463796e-06,"up","","",437
"RGPD5",14,0.00544510185554106,"no",NA,NA,0,NA,NA,"",0.00540214047204134,"up","","",437
"RGPD6",14,0.00544510185554106,"no",NA,NA,0,NA,NA,"",0.000418655215768293,"up","","",437
"ZBTB12",12,0.00549145044560233,"no",-0.6090908667381,0.299946195533929,10,0.000638587485558304,"no","",6.80872812147084e-07,"up","","",437
"SMARCD1",13,0.00553375411884988,"no",-0.0853727633434283,0.128756523978786,9,0.0174687620111984,"no","BRCA_ambiguous",4.10118901270818e-14,"up","","",437
"SOS1",12,0.00574325006460066,"no",-0.0737586869132487,0.377654164852277,8,0.000717845281518839,"no","UCEC_Act",0.00079590823271231,"up","","",437
"SART3",14,0.00589826458709345,"no",-0.745907374236899,0.259698902157334,10,1.60602734251129e-11,"yes","",1.72185635853026e-17,"up","","",437
"TNIK",12,0.00594477744647603,"no",-0.180707741419949,0.149960879126103,9,0.993599791796704,"no","",0.0666459204873212,"up","","",437
"CORO7",13,0.00615182768989802,"no",-0.192397096714375,0.143180581511042,9,0.25275829853623,"no","",4.27459481743256e-09,"up","","",437
"ID3",14,0.00624978384620539,"no",-0.100116456652587,0.116755299028004,10,0.949410050884038,"no","DLBCL_LoF",2.65524769896095e-05,"down","","",437
"RAB3GAP1",13,0.00629112739368674,"no",0.0166929961401266,0.149885347603625,10,0.870066158539753,"no","",0.51942744136554,"up","","",437
"TERF2",13,0.00638104639765663,"no",-0.153792074047743,0.154315697892169,9,1.8426611503849e-10,"yes","",0.000401721897078183,"up","","",437
"LRRC24",9,0.00640071229193818,"no",-0.0496314727852815,0.28306905143824,6,0.985630287788837,"no","",0.959708318890062,"down","","",437
"ACAN",10,0.00646623910742888,"no",0.0148858788907734,0.142370756105996,8,0.961208304538197,"no","",1.72145877457529e-18,"up","","",437
"SNRPF",14,0.00647099484848646,"no",-1.3125888375342,0.359156537592633,10,1.3471068855885e-22,"yes","",3.48659299029234e-12,"up","","",437
"ARHGAP35",14,0.00662219564274756,"no",0.000504520066429851,0.17763064685489,10,0.999999999956753,"no","LUSC_LoF,UCEC_LoF",0.243159682210993,"up","","",437
"LYNX1",10,0.00666447436389939,"no",-0.381117515048296,0.534324435071057,0,NA,NA,"",3.47116100389652e-05,"down","PCDH10 (depleted, 3% vs 18%)","",437
"ACACA",14,0.00671526292319594,"no",-0.138485246086438,0.204837372312577,10,0.000228341675344081,"no","",9.40918916363549e-08,"up","","",437
"ZBTB46",11,0.0067860074864767,"no",-0.14737819804559,0.162912451630584,9,0.997159606211733,"no","",7.04327609832445e-06,"up","","",437
"OR2T35",9,0.00681000518578445,"no",-0.152886948477212,0.375095819281028,6,0.673244846331458,"no","",NA,NA,"","MBD6 (enriched, 20% vs 2%)",437
"USP7",13,0.00699215104659905,"no",-0.516120476361755,0.817449069810061,10,4.25855568434529e-08,"yes","",9.69832800942673e-10,"up","","",437
"RREB1",12,0.00714148655578177,"no",-0.33401103043684,0.41223625076346,9,0.000384770872122379,"no","",0.000193912903811401,"up","","",437
"FCGR2A",13,0.00721496750883636,"no",0.0514021706052162,0.0967951247972441,9,0.865794726589246,"no","",9.14322558298172e-10,"up","","",437
"STX7",14,0.00728971529769585,"no",-0.0431068487908086,0.14822109037509,10,0.999998757392651,"no","",0.00354713202004718,"up","","",437
"KBTBD4",12,0.00738438182523539,"no",0.00124547891456905,0.0916388502532922,9,0.78173424266226,"no","",0.96441141182871,"down","","",437
"ATF3",14,0.0077937656126952,"no",-0.219350444475207,0.295337790274487,10,0.461597451585963,"no","",0.113649772440783,"down","","",437
"TOPBP1",13,0.00788650319648596,"no",-0.685005679242059,0.255665005824616,9,1.82519728056877e-09,"yes","",9.01862831549513e-17,"up","","",437
"SLC7A14",13,0.00797768766545821,"no",-0.149083425609552,0.115868897393058,10,0.999660617707382,"no","",0.00440119114169605,"down","","",437
"RRAGC",13,0.00811889197982672,"no",-0.109696093734536,0.154195132263397,9,0.000274912746473833,"no","NHLY_Act",0.00268245045385847,"up","","",437
"SF3B4",12,0.00822709404562622,"no",-1.05527500825007,0.442847707412439,8,6.42339448507795e-15,"yes","",1.28750435577766e-13,"up","","",437
"SDHA",11,0.00824762144823022,"no",-0.164975634082061,0.247831033514456,9,1.38112924247805e-06,"yes","",0.805236523833881,"down","","ACVR2A (enriched, 14% vs 3%), RNF43 (enriched, 14% vs 2%)",437
"ACTL6B",14,0.00828997807567352,"no",-0.170379866085448,0.124900377692781,10,0.931002619215477,"no","",0.00919889449040808,"up","","",437
"UBE2H",14,0.00829710577672074,"no",-0.158116520025534,0.10393972158727,10,1.88467017951491e-05,"yes","",0.0253253521202919,"up","","",437
"RAB17",13,0.00842277280738831,"no",-0.064667263439585,0.209867519641579,9,0.986950275844881,"no","",0.361800764611109,"down","","",437
"WDR26",14,0.00856454908916488,"no",-0.337303774862723,0.245687627683185,10,2.34818182012203e-06,"yes","",0.00214574081705925,"down","","",437
"GNMT",13,0.00862623477257083,"no",-0.127866855349375,0.188247846949996,10,0.450726404560596,"no","",0.0101737291354065,"down","","",437
"HIST3H3",13,0.0086936925836824,"no",-0.231621474605377,0.25010685656282,9,0.926518618139048,"no","",NA,NA,NA,NA,437
"IRF5",14,0.00876433871494007,"no",-0.00193813548741969,0.122189703395012,10,0.184513872877201,"no","",0.00895666914665028,"up","","",437
"JPH4",13,0.00885743198222935,"no",0.0257116915110505,0.174042696417638,9,0.00137102644113483,"no","",1.74602128843668e-05,"down","","",437
"NACC1",13,0.00889285940381434,"no",-0.107405452115063,0.132786278131925,9,0.0602689632112672,"no","",5.1611075199556e-06,"up","","",437
"PRKAR2A",14,0.00897763379755363,"no",-0.0320037284540376,0.0862363338821232,10,0.000169547524482777,"yes","",0.000201264545979983,"up","","",437
"ANKRD46",11,0.00904283779726442,"no",-0.134280684200046,0.190731437889235,8,0.990326990591656,"no","",0.010036633720168,"up","","ARID1A (depleted, 14% vs 31%)",437
"PXDN",12,0.0091020374687892,"no",-0.0366834354547718,0.0650474153618903,8,0.999998000683514,"no","",8.59535917583076e-07,"up","","",437
"SNRNP40",14,0.00919535172349805,"no",-0.505571702331823,0.171658030530219,10,3.50426569598003e-10,"yes","",2.55747857692402e-09,"up","","",437
"MCM4",11,0.00937321464710793,"no",-0.492283548824358,0.2073730671216,9,2.380096602059e-12,"yes","",2.84618991757367e-15,"up","","ACVR2A (enriched, 14% vs 3%), BCOR (enriched, 9% vs 2%), DOCK3 (enriched, 11% vs 2%), KIF21A (enriched, 8% vs 1%), KMT2D (enriched, 15% vs 5%), MACF1 (enriched, 7% vs 1%), NEB (enriched, 6% vs 1%), NF1 (enriched, 6% vs 1%), OPLAH (enriched, 6% vs 0%), PCLO (enriched, 10% vs 2%), REV3L (enriched, 8% vs 1%), RNF43 (enriched, 13% vs 3%), RP1 (enriched, 7% vs 1%), RPL22 (enriched, 10% vs 2%), SCAF4 (enriched, 7% vs 1%), SLC3A2 (enriched, 10% vs 1%), SMC2 (enriched, 6% vs 1%), SPECC1 (enriched, 9% vs 2%), SYNE2 (enriched, 9% vs 2%), TEX15 (enriched, 8% vs 1%), TTN (enriched, 20% vs 7%), UBR5 (enriched, 10% vs 2%), VPS13B (enriched, 8% vs 1%), XYLT2 (enriched, 12% vs 3%), ZC3H13 (enriched, 9% vs 1%), ZCCHC11 (enriched, 7% vs 1%), ZFHX4 (enriched, 12% vs 3%)",437
"RAD54B",12,0.00944397917331384,"no",0.030431295210345,0.106328699284578,8,0.983546223254586,"no","",1.11367052974939e-16,"up","","",437
"GRK6",14,0.00947732395416032,"no",-0.0667041705239401,0.264901555662997,10,0.175155188039602,"no","",0.0185034679108751,"up","","",437
"FLOT2",13,0.00950971013632157,"no",-0.00664305300767075,0.178870896126267,10,0.0526449574790092,"no","",0.0508152101578088,"up","","",437
"PLEKHF1",10,0.0096424113354413,"no",-0.144417458466818,0.098832804239057,8,0.413342250411416,"no","",0.234422599832413,"up","","",437
"NDUFS7",11,0.00964389851799698,"no",-0.108754581072274,0.11607103766752,9,0.000619271752949388,"no","",1.04343394761547e-07,"down","","ACVR2A (enriched, 14% vs 4%), CTCF (enriched, 7% vs 1%), KMT2B (enriched, 11% vs 2%), PLEKHA6 (enriched, 9% vs 2%), RNF43 (enriched, 13% vs 3%), RPL22 (enriched, 10% vs 2%), SIPA1L1 (enriched, 6% vs 0%), SLC3A2 (enriched, 10% vs 1%), TTN (enriched, 19% vs 8%)",437
"MAPK6",13,0.00968008768541832,"no",-0.0626898590119361,0.172796978857055,9,0.120656260381117,"no","",0.0011191817352045,"up","","",437
"RBPJL",12,0.0097632320432606,"no",-0.0209467231469304,0.168810230244699,9,0.227544753202925,"no","",0.493165372359383,"up","","",437
"RAET1L",14,0.00993176174630157,"no",NA,NA,10,0.690073957426491,"no","",9.25488603853261e-07,"down","","",437
"MSI1",13,0.00999810973070947,"no",-0.0674709362595991,0.217016600296254,10,0.507141189966512,"no","",0.821027574417182,"up","","ARID1A (depleted, 14% vs 31%), TTN (depleted, 4% vs 22%)",437
"TGFB1",14,0.0100655636197387,"no",-0.106845269188454,0.149464460984013,10,0.103439840742158,"no","",0.486496628380419,"up","","",437
"CTR9",13,0.010074603065101,"no",-0.571435923453393,0.102757672390873,10,1.43625179166818e-09,"yes","",4.65992009585884e-10,"up","","",437
"TNFRSF13C",13,0.0101361553864355,"no",-0.0767972806448264,0.241589785436937,9,0.998480858204098,"no","",0.50932837095913,"down","","",437
"DAZAP1",11,0.0102588538678759,"no",-0.252045784511139,0.353527472993147,8,0.00359077283123676,"no","DLBCL_LoF",6.19203491118819e-12,"up","PIK3CA (enriched, 24% vs 7%)","",437
"PKMYT1",12,0.0103141135560094,"no",-0.229407556651844,0.138512616510428,9,8.91984284038863e-11,"yes","",3.52221297614745e-15,"up","ABCA4 (enriched, 9% vs 1%), AHNAK2 (enriched, 23% vs 7%), CHD6 (enriched, 13% vs 2%), DIP2C (enriched, 9% vs 1%), FRAS1 (enriched, 14% vs 2%), HYDIN (enriched, 12% vs 1%), KALRN (enriched, 12% vs 2%), LAMB4 (enriched, 8% vs 0%), LINGO2 (enriched, 9% vs 0%), LRP12 (enriched, 10% vs 1%), LYST (enriched, 11% vs 1%), PCNT (enriched, 11% vs 2%), PIK3CA (enriched, 23% vs 8%), PLEC (enriched, 21% vs 5%), SGK223 (enriched, 9% vs 0%), TANC1 (enriched, 9% vs 1%), TG (enriched, 18% vs 5%), TUBGCP6 (enriched, 12% vs 1%), USH2A (enriched, 20% vs 7%)","",437
"CREBBP",13,0.0104577824271681,"no",-0.0947548607005231,0.400906976530922,10,0.0434122170675168,"no","ALL_LoF,BLCA_LoF,BRCA_LoF,CLL_LoF,DLBCL_LoF,ESCA_LoF,HC_LoF,HNSC_LoF,LUSC_LoF,LY_LoF,MBL_LoF,NHLY_LoF,PAIS_LoF,PIA_LoF,SBCC_LoF,SCLC_LoF,SG_LoF,VV_LoF",0.0214147325454478,"up","","",437
"RTEL1-TNFRSF6B",11,0.0104635990767561,"no",NA,NA,0,NA,NA,"",1.14403159694905e-14,"up","","",437
"TNFRSF6B",11,0.0104635990767561,"no",NA,NA,9,0.999582063106485,"no","",NA,NA,NA,NA,437
