"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"GUCY2C",8,2,0.179059963177151,"no",-0.0517924766702822,0.103583023774113,-0.157187390583804,0.246262251613727,8,2,0.468423921004319,"no","","yes",0.0177165354330709,508
"PKHD1L1",7,2,0.181766431267729,"no",0.0307937249366439,0.0884359392049278,0.0718553308013977,0.0481792703633402,7,2,0.146796175454594,"no","","yes",0.0826771653543307,508
"HERC1",8,2,0.185285859347845,"no",-0.0070216683666281,0.0869956234925948,0.0087103278441903,0.0477160197320223,8,2,0.61284217461527,"no","","yes",0.0433070866141732,508
"KIF15",8,2,0.195317326578689,"no",-0.141595938730819,0.109464936393423,-0.257693162602635,0.153133911845101,8,2,0.435591946418712,"no","","yes",0.0137795275590551,508
"BFSP1",8,2,0.21194887052537,"no",-0.0268463722750577,0.0505520378915965,-0.10132379310568,0.0506335269500686,8,2,0.222771165885922,"no","","yes",0.00984251968503937,508
"RANBP2",7,3,0.215271392401896,"no",-0.604096256607715,0.318652600370101,-0.641534929436077,0.0878592814558341,7,3,0.538837068353963,"no","HC_LoF,NB_LoF,NSPH_LoF,PCPG_LoF,PRAD_LoF,RCCC_LoF","yes",0.0196850393700787,508
"RNF123",8,2,0.233501277049849,"no",-0.106823268502469,0.0653916740439486,-0.119232498998234,0.0494299551438793,8,2,0.429648578197481,"no","","yes",0.00590551181102362,508
"SPEN",8,2,0.239776985466324,"no",-0.0672796144605913,0.121389395701702,-0.211140282225576,0.0473912968401365,8,2,0.735800234458809,"no","BRCA_ambiguous,CESC_ambiguous,CLL_ambiguous,DLBCL_ambiguous,NSPH_ambiguous,PAAD_ambiguous,PRAD_ambiguous,RCCC_ambiguous,SG_ambiguous","yes",0.0452755905511811,508
"NPAS3",8,2,0.28892245244717,"no",0.0436242078651967,0.119583942412676,0.0545640633975808,0.1439930070361,8,2,0.43320559027456,"no","","yes",0.0196850393700787,508
"ABL1",7,2,0.294660539903169,"no",-0.177753679354821,0.133370427262308,-0.310465557157324,0.103895519712719,7,2,0.559933875720581,"no","HC_Act,UCEC_Act","yes",0.0078740157480315,508
