"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"POMT1",8,2,0.696102361715365,"no",-0.226823906403034,0.094497796432102,-0.223630177150808,0.0489775018325585,8,2,0.255224644312352,"no","",0.0970387191966687,0.00773694390715667,517
"CHURC1-FNTB",8,2,0.696328356230289,"no",0.094213406143213,0.169423962543518,0.131606125701165,0.011374042119096,0,0,NA,NA,"",0.00186294682059302,0.00967117988394584,517
"FNTB",8,2,0.696328356230289,"no",-0.0842371676403095,0.221492922973073,-0.0716205805576944,0.0968802270316385,8,2,0.507369339960212,"no","",0.000366676326233298,0.00967117988394584,517
"SOX2",8,2,0.697504807258229,"no",-0.0642345462641461,0.0815602524850166,-0.0610102436955665,0.001905995128492,8,2,0.302533171943122,"no","",3.81425031122972e-14,0.156673114119923,517
"PPP1R14B",8,2,0.700345688574782,"no",0.0634968696169484,0.0490703433451604,0.0700125427987635,0.0446547044190505,8,2,0.669370616324411,"no","",1.59988968960863e-05,0.0154738878143133,517
"FRMPD2P1",7,3,0.70256689307643,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.00773694390715667,517
"BAIAP2",8,2,0.70297268336213,"no",0.0718035888446295,0.0907788383826814,0.0551523240994116,0.0699671013277614,8,2,0.704285108380104,"no","",0.304938098056675,0.00580270793036751,517
"PABPC1",8,2,0.704462669645541,"no",-0.236430980123891,0.135193055667393,-0.111907486892294,0.043615847565294,8,2,0.479850442979497,"no","DLBCL_ambiguous,LUSC_ambiguous,MM_ambiguous,THCA_ambiguous",1.36159718202021e-05,0.0406189555125725,517
"FLRT1",8,2,0.707750148809612,"no",0.0617255011254802,0.0712044270413068,-0.0111193179396229,0.019430910354549,8,2,0.585893118408339,"no","",0.73515710734025,0.0154738878143133,517
"GP5",8,2,0.71099973833275,"no",-0.237787586728447,0.0923776487947817,-0.0968933362085541,0.012873240649683,8,2,0.795924589143264,"no","",0.0368749844039022,0.131528046421663,517
"FGF10",7,3,0.713634280927765,"no",0.048412743977547,0.0386628676256841,0.0657913235548084,0.0959537619053464,7,3,0.275577701366884,"no","",0.891052606902349,0.0425531914893617,517
"MTMR2",8,2,0.713794280857699,"no",-0.00350776166314124,0.0893741837421294,0.0228613094312157,0.0533912648688806,8,2,0.180431713159868,"no","",7.29397031362663e-05,0.011605415860735,517
"RCOR2",7,2,0.717668352619172,"no",-0.0834654138836197,0.0966913631243117,-0.0519767798881408,0.0216244187406395,7,2,0.419387587003154,"no","",0.100220159428561,0.0154738878143133,517
"ATAD2",7,2,0.719987819890167,"no",NA,NA,NA,NA,7,2,0.152425747934321,"no","",0.00822566440507705,0.0696324951644101,517
"LEPREL1",8,2,0.721462360209532,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.158607350096712,517
"EED",8,2,0.722147736295967,"no",0.0160851848498215,0.0602185452492684,0.0425547911774328,0.0820631884790852,8,2,0.128467896496404,"no","",2.79056188257915e-06,0.0174081237911025,517
"NIM1",8,2,0.722798397448784,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,NA,NA
"PRDM9",8,2,0.724670122199881,"no",-0.0241104958267878,0.064516429836045,-0.0204344826258935,0.0977882235434805,8,2,0.601053052605368,"no","",0.24138388156802,0.0290135396518375,517
"CNBD1",8,2,0.725141070046659,"no",-0.0268362252233676,0.0625196088057034,-0.0233864365099474,0.0466454467075495,8,2,0.458137759208677,"no","",0.217316104408521,0.02321083172147,517
