"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"SMARCA2",10,0.309423943587542,"no",-0.000303130592876214,0.0820966147440162,10,6.01248835718771e-07,"yes","",8.81719274883595e-06,"down","","TP53 (depleted, 26% vs 40%)",508
"CHRND",10,0.309531839801501,"no",-0.0238435977981965,0.0641950917002776,10,0.998739788524602,"no","",0.143264333380898,"down","","",508
"PARP4",10,0.309541869679821,"no",-0.0963991831794183,0.168267649706678,10,0.0680799603474881,"no","COREAD_ambiguous,MM_ambiguous",0.0302275255393513,"down","","",508
"TRA2A",10,0.310058108955076,"no",-0.180810985410407,0.163464228582447,10,0.861817275055614,"no","",0.956684649150308,"up","","",508
"MDM4",10,0.310201823940049,"no",0.104442120381059,0.0819253187583644,10,0.267848790725244,"no","BRCA_Act",0.000526975489697651,"up","","",508
"CHKB",9,0.310542287720007,"no",NA,NA,9,0.638047067197342,"no","",4.74252765629493e-06,"up","","",508
"CHKB-CPT1B",9,0.310542287720007,"no",NA,NA,0,NA,NA,"",0.218585936653884,"up","","",508
"NAMPT",9,0.310784525979714,"no",-0.125154587814602,0.134432132497376,9,0.826894600051744,"no","",0.000204160669040034,"down","","",508
"HOXA11",10,0.312614392660725,"no",NA,NA,10,0.964288981898408,"no","UCEC_ambiguous",3.36489351424151e-22,"up","","KMT2D (enriched, 15% vs 6%)",508
"PROL1",9,0.312777431407851,"no",NA,NA,0,NA,NA,"",NA,NA,NA,NA,508
"JARID2",8,0.312804144317984,"no",-0.420493884748761,0.294057750126001,8,0.0134184266758959,"no","",3.33958834040851e-08,"up","","",508
"ULBP3",10,0.313204430390035,"no",-0.0854622385780174,0.128447910867801,10,0.842667294615151,"no","",2.62171443769611e-08,"up","","",508
"DGAT1",8,0.313335667803998,"no",0.0262824364368971,0.0762091930998006,8,0.105392093354909,"no","",0.00258503896303739,"up","","",508
"PEX10",10,0.314253349362053,"no",-0.145794438360806,0.19781817988416,10,0.99585677438686,"no","",0.0679612013581347,"up","","",508
"DNMT1",10,0.314279913542602,"no",-0.382189126037335,0.297945213310622,10,0.99999245998904,"no","",4.00481231042509e-17,"up","","",508
"SMO",10,0.314357019862692,"no",-0.0767160609216101,0.108691421838817,10,0.635931288623676,"no","GBM_Act,MBL_Act,MESO_Act,PIA_Act,SBCC_Act",0.919427889533139,"up","","",508
"GABRB2",10,0.314479514269083,"no",-0.10445509126979,0.213678208337661,10,0.231401216410473,"no","",5.68533950736185e-07,"down","","CASP8 (depleted, 2% vs 9%)",508
"ORM1",9,0.314679065575039,"no",-0.0281293118588143,0.116939506335123,9,0.714543507697647,"no","",0.00145470270713333,"down","","",508
"NLRP3",10,0.315758094309726,"no",-0.0358248824090822,0.0352412769267415,10,0.000210242670300675,"no","",0.0551176889071569,"up","","",508
"MAP4K2",7,0.316125501909504,"no",-0.228667920090524,0.107989508174585,7,0.999619651507503,"no","",1.02996665260962e-22,"up","","CASP8 (depleted, 2% vs 10%)",508
"CFHR4",9,0.31804578979472,"no",0.0343742982408432,0.0486594956853527,9,3.19433160206328e-05,"yes","",6.16621837404366e-07,"up","","NSD1 (enriched, 11% vs 3%)",508
"KCNK13",9,0.318121300605158,"no",-0.0642685044046609,0.190778186793951,9,0.0674119849810879,"no","",1.00816506669796e-05,"up","","",508
"HMX2",10,0.318228207024201,"no",-0.0823863956616721,0.0842083188065706,10,0.00318183896249324,"no","",1.84609240318236e-05,"up","","CASP8 (depleted, 2% vs 10%), CDKN2A (depleted, 12% vs 22%), EPHA2 (depleted, 1% vs 7%), FAT1 (depleted, 10% vs 28%), KMT2D (enriched, 14% vs 7%), NOTCH1 (depleted, 4% vs 11%), NSD1 (enriched, 14% vs 1%)",508
"C1orf186",10,0.318295119821108,"no",-0.0146089076195904,0.0910852049136927,0,NA,NA,"",NA,NA,NA,NA,508
"UBE2E3",10,0.318328831874921,"no",0.235462443445878,0.197016732774475,10,0.588769530861526,"no","",1.54442491831733e-13,"up","","",508
"LRP5",6,0.318430098937337,"no",-0.045115552717093,0.153624870514404,6,0.998435863741875,"no","",0.620734608530576,"down","CASP8 (depleted, 1% vs 9%)","",508
"ATAD3A",9,0.318434800469863,"no",-0.0681311895012201,0.0848477007718792,9,0.129285298237248,"no","",7.7039019535345e-11,"up","","",508
"GP1BB",9,0.320119774177614,"no",-0.0323904855446053,0.0372236443241116,9,0.999850329587833,"no","",NA,NA,NA,NA,508
"ABCC2",9,0.320806712686924,"no",-0.0483663436611223,0.106006754854834,9,0.399672089270459,"no","",2.21954987166025e-06,"up","","NSD1 (enriched, 11% vs 3%)",508
"CORO7",10,0.321624650426058,"no",-0.103754085064769,0.0540092152518888,10,0.89441410394808,"no","",1.59866565185806e-10,"up","","",508
"EVX1",10,0.321780149308752,"no",0.022982129841551,0.183671928550653,10,0.0258499383559514,"no","",0.00221118577587263,"up","","",508
"KIAA1239",10,0.322299428216575,"no",NA,NA,0,NA,NA,"",NA,NA,NA,NA,508
"GNB1L",9,0.324006958898217,"no",0.0262021877412955,0.0829124744198113,9,0.999999999696966,"no","",4.51567878120634e-15,"up","","",508
"PRKCI",7,0.324274208332927,"no",-0.0927445614497967,0.122504922734508,7,0.393743160202848,"no","",8.9823468162604e-07,"up","","CASP8 (depleted, 2% vs 9%)",508
"CA5A",10,0.324298849925157,"no",-0.0262790921580669,0.10241608441925,10,0.999906336778628,"no","",0.000499615649273497,"up","","",508
"IGSF3",9,0.324674331598756,"no",0.143849271346188,0.116728330923872,9,0.997995438155552,"no","",1.14206614001179e-12,"up","","",508
"TBCK",10,0.32514752220846,"no",0.00703412646071977,0.0611536522217218,10,0.160404320229496,"no","",0.529120056650901,"down","","",508
"FIGNL2",10,0.325271441930951,"no",-0.114834822238917,0.112392127790059,0,NA,NA,"",1.79027228854652e-05,"up","","",508
"WDR54",10,0.325677215205679,"no",0.0406803965766283,0.11412300352564,10,0.999991247812546,"no","",2.4896233428908e-20,"up","","",508
"AMZ2",10,0.32570200150054,"no",0.0029010352483941,0.171858375856394,10,5.06644634234998e-06,"yes","",8.97382352868169e-15,"up","","",508
"HECTD2",10,0.325837552814737,"no",0.0311349804203297,0.0362926248660397,10,0.180615613551854,"no","",0.748661080980929,"up","","",508
"SDR9C7",10,0.326029291159544,"no",-0.0415653188096912,0.0571893521821987,10,0.326814940166835,"no","",0.355048903066221,"down","","",508
"C11orf70",8,0.326126946932429,"no",-0.0556821046697728,0.0855102017035865,0,NA,NA,"",NA,NA,NA,NA,508
"VN1R5",10,0.326310491452116,"no",0.138161711597251,0.0703324133069052,0,NA,NA,"",0.048006598863337,"up","","",508
