"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"YME1L1",338,3,0.82977925862451,"no",-0.0896185301594058,0.281754267943653,-0.0906333812835241,0.073032665117807,260,3,0.390831986336102,"no","",0.00573807380738074,8888
"ROS1",310,3,0.829791323764539,"no",0.0293326669864918,0.186783580800099,0.022795921998115,0.150080234090616,236,1,NA,NA,"",0.00382538253825383,8888
"ANKRD44",332,5,0.829921954244652,"no",NA,NA,NA,NA,255,5,0.492742608039407,"no","",0.00618811881188119,8888
"ARHGAP27",324,10,0.830300344362536,"no",0.00970655933122894,0.159457110560618,-0.033207688057837,0.117680970169346,243,7,0.44568693696859,"no","",0.00438793879387939,8888
"RAB8B",346,6,0.83062452287376,"no",-0.0734968103651016,0.26375395910002,-0.00049219707447463,0.037575955121531,261,5,0.0919820628587558,"no","",0.0027002700270027,8888
"SETDB1",312,30,0.830716260134174,"no",-0.131713939756587,0.214725866349623,-0.0720381320617657,0.229521523067831,233,24,0.427697792249502,"no","CLL_Act,HC_Act,MESO_Act",0.0451170117011701,8888
"DHX36",315,24,0.830736685560092,"no",-0.214530680414526,0.245673311466078,-0.165429452772827,0.119168588905601,238,18,0.576535212775895,"no","",0.0297029702970297,8888
"EIF2AK2",340,7,0.830977305658005,"no",0.0100350197020669,0.130414155579407,0.0088665581245991,0.148278135659728,253,8,0.746520833652023,"no","",0.00337533753375338,8888
"TIAM2",324,3,0.831104414055984,"no",-0.05935849581285,0.22568304785499,-0.184572535077637,0.076805466629153,242,2,0.305353423371324,"no","",0.00405040504050405,8888
"IL10",342,10,0.831159810642682,"no",0.0506498900212086,0.145740777314664,0.0890048416435664,0.190626240841445,255,10,0.456224924387407,"no","",0.0230648064806481,8888
"ZMYND12",344,4,0.831285802657836,"no",-0.0793404921068685,0.162934437161636,-0.0100544014273823,0.0751707408224379,261,4,0.0831277537947322,"no","",0.0127137713771377,8888
"PABPC4",340,6,0.831536870293053,"no",NA,NA,NA,NA,253,5,0.013199529683748,"no","",0.0155265526552655,8888
"RAPGEF1",333,5,0.831565636882355,"no",-0.127816817769414,0.281190882217039,-0.0949012180892291,0.289024065048058,250,5,0.513315617783644,"no","",0.00517551755175518,8888
"LRRC8B",334,13,0.831672918153179,"no",0.0261731365294995,0.192605950000951,0.0610622466699418,0.157121908562219,253,11,0.174461078002385,"no","",0.00461296129612961,8888
"HMX1",337,2,0.831899878086286,"no",0.00730446705914297,0.145222602210933,0.0332294098298454,0.113604430964823,256,2,0.84612629108377,"no","",0.00461296129612961,8888
