"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","DeleteriousDnDs","intogen_gene_role","tcga_deleterious_mutation_frequency","tcga_nrSamplesInMutData"
"SPIB",354,2,0.872369840235614,"no",0.0618493812211368,0.126344132864199,0.0674619431263268,0.130732206887065,265,1,NA,NA,1.5,"",0.000961307378034126,8322
"ALB",339,3,0.87294891849288,"no",-0.128562671122148,0.229742213434601,-0.171774307983252,0.246114230537869,258,1,NA,NA,0.5,"HC_Act",0.0049267003124249,8322
"KPNA6",347,2,0.873599687444797,"no",0.0845898378060305,0.195909261581805,0.176629066887761,0.0959221842256167,263,1,NA,NA,1.5,"",0.00108147080028839,8322
"DEK",337,4,0.873834805937779,"no",-0.0087928813946521,0.175684792152195,0.0747138981236201,0.220190705670802,259,0,NA,NA,2.5,"",0.00264359528959385,8322
"PIP4K2B",330,4,0.873951885508889,"no",0.0481125803099855,0.127376355293056,0.0933978975870032,0.116988769888273,247,4,0.920930698818543,"no",1,"",0.000720980533525595,8322
"MLLT4",314,10,0.874260377108312,"no",NA,NA,NA,NA,0,0,NA,NA,1.27272727272727,"",0.00829127613554434,8322
"MAN1B1",336,2,0.875006611688378,"no",-0.0339484715966878,0.188919723757088,0.0638417993076729,0.030421216159158,258,1,NA,NA,0.6,"",0.00132179764479692,8322
"HOXA10",326,2,0.875024471894331,"no",0.0627119111483116,0.146294607849274,0.232871535996272,0.102796758993398,239,2,0.232837456807927,"no",0.428571428571429,"",0.000600817111271329,8322
"STX7",346,2,0.876085614928941,"no",0.000593973110290764,0.17438498767093,0.102447276282431,0.0193724183232666,263,1,NA,NA,3,"",0.00180245133381399,8322
"SYK",337,3,0.876330272045798,"no",0.0827659758869921,0.189854085433893,0.182365045175265,0.161491142346834,252,3,0.619973003108591,"no",1,"",0.00240326844508532,8322
"BCAN",314,4,0.87659661188062,"no",-0.048894432033806,0.189539252675786,-0.0734967378428582,0.112720113238734,240,2,0.426265930295244,"no",0.875,"",0.00156212448930546,8322
"CLEC12A",329,2,0.877430722628897,"no",-0.0564103021186977,0.197192930765158,-0.0348422898903582,0.0536915838265406,248,1,NA,NA,1.5,"",0.00144196106705119,8322
"MMP8",328,3,0.877456075417363,"no",-0.0377839055295233,0.204927734945491,-0.0141197380472214,0.199938436584076,239,2,0.574887537774578,"no",1.25,"",0.00120163422254266,8322
"WDR26",338,2,0.877494486525891,"no",-0.271702662728581,0.268950898869316,-0.135581978008748,0.081735165644192,251,0,NA,NA,1.5,"",0.000480653689017063,8322
"EIF4G3",338,4,0.87768503292403,"no",-0.119803640731231,0.192674041847903,-0.0390185093964465,0.526989907479771,262,1,NA,NA,0.384615384615385,"",0.00745013217976448,8322
"EPHB2",329,7,0.87770547431825,"no",-0.0318457028929177,0.158151503933832,0.0601094860464618,0.0895797269422111,251,5,0.516847882988841,"no",0.666666666666667,"",0.00276375871184811,8322
"ANKRD28",344,3,0.87774734941161,"no",-0.109538095761048,0.179040205989341,0.108412602026833,0.258350003214166,261,2,0.770251090736646,"no",0.8,"",0.00264359528959385,8322
"ANKRD44",332,4,0.878397946349924,"no",NA,NA,NA,NA,255,1,NA,NA,0.625,"",0.00288392213410238,8322
"AGAP7",337,4,0.878422552735148,"no",NA,NA,NA,NA,0,0,NA,NA,0.75,"",0,8322
"TAAR2",340,2,0.87878241525279,"no",0.00343996472362205,0.149937585803783,0.0919314300376718,0.0118738310675452,259,2,0.878016332075347,"no",0.375,"",0.00216294160057678,8322
"CSNK1G3",337,4,0.879305446916168,"no",-0.0001835043632511,0.181491300541717,-0.019049963308827,0.15851997972866,257,5,0.38049322917411,"no",3.5,"",0.00252343186733958,8322
"BRPF1",335,3,0.879330488839939,"no",-0.0597667944117457,0.179863239660373,0.0512594313133258,0.0427153770441441,252,2,0.780048619267182,"no",0.363636363636364,"",0.00216294160057678,8322
"ANO1",292,6,0.881180999652938,"no",-0.0450436878006341,0.208837349080881,-0.0541451247800369,0.0684300468120973,212,5,0.408868315494836,"no",0.363636363636364,"",0.00264359528959385,8322
"GNPNAT1",350,3,0.881217504190471,"no",-0.125938620357684,0.219157003530344,-0.0244789983627301,0.0770915942595445,263,2,0.402964113633474,"no",2,"",0.00144196106705119,8322
"ZMYND8",307,6,0.881697280593278,"no",-0.0511459636300196,0.157870694665115,0.0494727263149306,0.0383267872506662,237,4,0.768998316286137,"no",0.615384615384615,"",0.00600817111271329,8322
"CNOT7",329,3,0.881930569896322,"no",0.0168829856548798,0.171606657244896,0.064419154367572,0.126286627941191,251,3,0.583250544523016,"no",1.33333333333333,"",0.00120163422254266,8322
"TIA1",352,2,0.882437201145696,"no",-0.0284255551863679,0.184780446246183,0.159402933458063,0.0717683522630523,264,2,0.749397094354927,"no",1,"",0.00156212448930546,8322
"PTPN6",331,5,0.883127391764013,"no",-0.0249033443858133,0.182343194838057,0.0860470164742703,0.0954188541421512,249,4,0.600787649602518,"no",0.75,"CM_LoF,DLBCL_LoF",0.00120163422254266,8322
"ADNP",317,10,0.884270332230574,"no",-0.0491186736820032,0.231587844667624,-0.0627565452925849,0.119366224064138,241,7,0.302910802365739,"no",1.85714285714286,"",0.00576784426820476,8322
"ARID2",322,13,0.884301524466943,"no",-0.0566344814110588,0.222589779768101,-0.0255298288241653,0.133798109591249,245,7,0.496558954037689,"no",2,"BLCA_LoF,CH_LoF,CM_LoF,ESCA_LoF,HC_LoF,HNSC_LoF,LGG_LoF,LUAD_LoF,MBL_LoF,NSCLC_LoF,PAAD_LoF,PIA_LoF,SSCC_LoF,ST_LoF,THCA_LoF",0.0217495794280221,8322
"ABCA8",298,17,0.884303504015107,"no",0.0962436763969322,0.170269061014139,0.095725960085988,0.0917663165779224,227,10,0.412191251603402,"no",1.05555555555556,"",0.00588800769045902,8322
"MMP3",333,3,0.884337579636375,"no",0.135440592846078,0.263192518401105,0.0899052991068392,0.101995090791005,245,3,0.80750152071941,"no",0.571428571428571,"",0.00240326844508532,8322
"BRD2",348,3,0.884758805174043,"no",-0.0634721486456183,0.208694782441455,-0.0567414868748003,0.0780292331275739,263,2,0.491547494067818,"no",0.666666666666667,"",0.00276375871184811,8322
"HERC6",331,4,0.88516635851553,"no",-0.0817480964189971,0.17242589492335,-0.0636138499876,0.157860989371715,244,3,0.541131505921995,"no",0.714285714285714,"",0.00360490266762797,8322
"SHPK",334,2,0.885566993045233,"no",0.0273733796005187,0.154385983999103,0.251962447903785,0.112901652026145,255,2,0.583920505605036,"no",0.272727272727273,"",0.000600817111271329,8322
"LDHB",332,2,0.886102733601112,"no",-0.114981502895052,0.201555139337801,0.392288870684852,0.50853391890688,253,1,NA,NA,1.5,"",0.00108147080028839,8322
"SEMA4C",328,2,0.886430780048461,"no",-0.00386084176839766,0.193293977896022,0.290764346630809,0.181842070925255,250,1,NA,NA,0.1875,"",0.00120163422254266,8322
"SETD4",349,2,0.886572965251202,"no",-0.0623068578886892,0.167489709010699,0.00374589369205185,0.0216746242101765,261,0,NA,NA,2,"",0.00108147080028839,8322
"KCNIP4",342,3,0.886594219338189,"no",0.0653621773276827,0.174354333800514,0.019041783510406,0.153637744976229,259,3,0.817391772551797,"no",2,"",0.000961307378034126,8322
"CHST4",341,4,0.886601910356302,"no",-0.0731169310825825,0.223866379773314,-0.138604852111433,0.16865063348719,260,2,0.414065971319076,"no",2,"",0.00204277817832252,8322
"CCBE1",322,2,0.886980933219949,"no",0.0371891408331958,0.20544357469282,0.0837915644463793,0.0623596285090028,244,1,NA,NA,0.6,"",0.00156212448930546,8322
"GRK4",339,4,0.887653340875905,"no",-0.107473008918312,0.182445950251718,-0.0429856303678595,0.0322967578828923,255,1,NA,NA,1,"",0.00336457582311944,8322
"EPB41",338,4,0.888772516319531,"no",0.000639389629047309,0.173292006300791,0.0907675700385359,0.0327765936203409,258,1,NA,NA,1,"",0.00360490266762797,8322
"PPP3R1",338,16,0.889087836111786,"no",0.059387247187586,0.203906506152383,0.0994181371791002,0.125741230288961,255,13,0.0784592493237188,"no",18,"",0.000240326844508532,8322
"UBQLN1",339,2,0.889229059743941,"no",0.0133217166309246,0.115115158122526,0.0747552263720594,0.02116730118317,260,1,NA,NA,1,"",0.00228310502283105,8322
"KCNK18",342,5,0.889694127233121,"no",-0.0756520774093008,0.196742720044454,0.0112784146063298,0.0729983633223931,261,2,0.393415789510754,"no",1,"",0.00108147080028839,8322
"RUNX2",339,4,0.889746100128882,"no",0.00478937090722192,0.146083852822593,0.0569853078296615,0.123834325410803,251,3,0.217840130117013,"no",0.428571428571429,"",0.00300408555635664,8322
"KCNH2",312,6,0.889848447651545,"no",0.0893324256345174,0.132771852183238,0.00427285044021996,0.0908873469276844,238,5,0.117268420555421,"no",0.470588235294118,"",0.00228310502283105,8322
"USP44",339,4,0.889985732841325,"no",-0.0107541918182487,0.164691168271029,-0.0154239808988064,0.122829243793098,259,2,0.31408758145713,"no",0.714285714285714,"SBCC_LoF,UCEC_LoF",0.00312424897861091,8322
"MARK2",338,5,0.889995908913193,"no",-0.125746577674992,0.253735169191685,0.0520865293856207,0.300420929292916,253,1,NA,NA,1.16666666666667,"PAAD_ambiguous",0.00444604662340783,8322
"ZBTB41",309,15,0.890375823544958,"no",-0.0275398123567427,0.153964010998672,-0.0214798635653225,0.0862780007385872,229,12,0.804494703229634,"no",2.57142857142857,"",0.00648882480173035,8322
"POTEF",327,3,0.890803271928509,"no",0.0922631922981671,0.306717461994328,0.065980252513989,0.189425099365723,244,3,0.753629066097879,"no",0.363636363636364,"",0.0045662100456621,8322
"IRF7",337,4,0.891223449761984,"no",0.0628982676365976,0.153446481348268,0.0599552792998134,0.105824003580344,252,3,0.785838455028044,"no",1,"",0.000720980533525595,8322
"SERPINE3",339,4,0.891226743633419,"no",0.0341981118521563,0.124670124268915,0.0681012929891131,0.169619482424293,257,2,0.739411113270766,"no",1.66666666666667,"",0.000961307378034126,8322
"SLC46A3",341,3,0.891238892438392,"no",-0.00013196845657662,0.160690965496866,-0.0663433640268356,0.0589281162313034,258,1,NA,NA,2,"",0.00240326844508532,8322
"EPHA6",317,6,0.891258750263732,"no",NA,NA,NA,NA,235,6,0.547839747400465,"no",0.388888888888889,"",0.0042057197788993,8322
"NCOR2",308,16,0.891503898940229,"no",-0.0164524225945081,0.162423904545937,0.017583952564243,0.124445967033539,234,11,0.960852501752357,"no",0.5625,"BRCA_Act,COREAD_Act,ESCA_Act,HC_Act,PRAD_Act",0.0104542177361211,8322
"DHX57",333,4,0.891643429305132,"no",0.0232514793732621,0.154425975967677,0.0514794309394118,0.0297998041380269,249,4,0.2736461500112,"no",2,"",0.00480653689017063,8322
"SGK3",321,5,0.891732327121095,"no",0.0971255748213006,0.188514672098408,0.094631444800105,0.0166441003853572,241,4,0.523154632767039,"no",3.5,"",0.00276375871184811,8322
"SIRT6",345,3,0.893149815004959,"no",-0.123415733248141,0.274148241736154,0.0904862836214039,0.227954678999817,264,2,0.305159743833406,"no",1,"",0.000600817111271329,8322
"SCYL2",345,2,0.894229619059228,"no",-0.0314244721134923,0.134036748294135,0.131180529065861,0.080132401624263,260,1,NA,NA,0.5,"",0.00252343186733958,8322
"SEMA4G",334,4,0.894352243945557,"no",-0.0438210939657017,0.215914366788169,-0.0476310778600996,0.137700398746247,253,3,0.600301221892678,"no",0.625,"",0.000961307378034126,8322
"BFSP1",327,3,0.894368713493273,"no",-0.0382918631369852,0.221393324815295,-0.155243625322514,0.154545294387979,249,2,0.508266557680914,"no",0.4,"",0.00144196106705119,8322
"MYO3B",318,8,0.894489703416716,"no",-0.0222803186424537,0.177040212166782,0.0384666952433733,0.0979925628938413,240,5,0.28371187566608,"no",1,"",0.00396539293439077,8322
"FOXI1",337,4,0.894577408495723,"no",0.0410453532794156,0.147296509087997,0.0946221168658223,0.0658837671024573,255,4,0.622812457538864,"no",0.545454545454545,"",0.00144196106705119,8322
"GTF2H1",336,4,0.894905153452241,"no",-0.0966723992887723,0.284615945884008,-0.0376781517248026,0.0704775111653662,256,2,0.506730567574115,"no",1.66666666666667,"",0.00204277817832252,8322
"GRM8",303,7,0.89510404573737,"no",-0.0591621363179684,0.145670083553844,-0.0188028518106996,0.115223492504801,228,6,0.226820800122085,"no",0.75,"",0.00745013217976448,8322
"HKDC1",331,3,0.895281692492342,"no",-0.0838715957480343,0.228337160132322,0.037519503339929,0.209673095867153,250,4,0.616752080625362,"no",0.555555555555556,"",0.00264359528959385,8322
