"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","MissenseDnDs","intogen_gene_role","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"E2F3",327,5,0.0678187366209206,"no",-0.0625074735696833,0.174882104917596,-0.147287153731966,0.107611164076441,246,3,0.30860729423083,"no",1.4,"",0.00540735400144196,8322
"NPY5R",331,12,0.0681242959356358,"no",0.0452530196578994,0.185866552552942,0.00875727199183097,0.190329657762552,249,8,0.84482883929601,"no",1.75,"",0.0150204277817832,8322
"MRGPRE",333,8,0.0681858645809636,"no",-0.0867625294866674,0.304616120690766,-0.14265705795169,0.19040500141413,250,6,0.606837581161477,"no",2.5,"",0.00384522951213651,8322
"P2RY11",338,8,0.0682660227058571,"no",0.0860081113399441,0.245973702392537,-0.0093034469311538,0.299163931654426,257,4,0.0388886203268918,"no",2.75,"",0,8322
"PMP2",327,7,0.0683431573314973,"no",-0.133828815951162,0.183909156162988,-0.127568958261882,0.0950054837880314,243,5,0.537637507215708,"no",4.5,"",0.00336457582311944,8322
"SMARCA4",288,39,0.0683599172286963,"no",-0.13392756729389,0.382795323818274,-0.158738443987862,0.491555304007409,220,23,0.379012379114588,"no",4.5,"BLCA_LoF,BLY_LoF,COREAD_LoF,ESCA_LoF,HC_LoF,HNSC_LoF,LGG_LoF,LUAD_LoF,MBL_LoF,NHLY_LoF,NSCLC_LoF,PAAD_LoF,PIA_LoF,RPC_LoF,THYM_LoF",0.0337659216534487,8322
"WDR88",342,7,0.068824701418878,"no",0.0189996554431761,0.193575044189029,-0.0538365782323072,0.173062862346055,258,6,0.407991690567418,"no",1.33333333333333,"",0.00937274693583273,8322
"IKZF3",324,12,0.0691557995218757,"no",-0.0533197125321951,0.151078789881135,-0.0783265156364252,0.180236888118981,242,9,0.702240781064345,"no",3,"CLL_ambiguous",0.0114155251141553,8322
"RAVER2",339,8,0.0692032636258381,"no",-0.0311426712171355,0.165699820916809,-0.0239780688747173,0.104794240176078,256,6,0.690026213577905,"no",1.5,"",0.00865176640230714,8322
"RBM11",329,5,0.0693030822716677,"no",-0.0619808775775865,0.205700471220946,-0.269706520846365,0.216490471126542,250,0,NA,NA,2.33333333333333,"",0.00516702715693343,8322
"HFM1",317,19,0.0694670063606537,"no",-0.0036141824937684,0.166555718226568,-0.0773924890236181,0.116821727265825,239,12,0.705869607766313,"no",1.66666666666667,"",0.0228310502283105,8322
"EZH1",339,12,0.0696864621447628,"no",-0.0369075237210284,0.174351602509797,-0.099339813104977,0.267016146312066,259,5,0.503393395506904,"no",3,"",0.00781062244652728,8322
"CSNK1G1",341,8,0.0698275380402163,"no",-0.0603854116445275,0.220285016201082,-0.00314640003580257,0.108047058876182,258,4,0.386359226444388,"no",4.5,"",0.0045662100456621,8322
"STIL",332,19,0.0699514518751293,"no",-0.229360488339364,0.293159398004035,-0.332801379873156,0.229206773478494,254,12,0.401468800347045,"no",3.83333333333333,"CESC_ambiguous",0.0151405912040375,8322
"HIST1H2BB",347,3,0.0700425339092237,"no",0.0298081627388477,0.183765262457474,-0.0464351209030378,0.0392429816243475,264,2,0.694599529767964,"no",1,"",0.00372506608988224,8322
"ERAL1",343,6,0.0701008590821218,"no",-0.0882519961063039,0.19012410978493,-0.140006459194259,0.105648119821345,261,2,0.434169009700162,"no",2.33333333333333,"",0.0049267003124249,8322
"CD22",328,13,0.0701310297812896,"no",-0.0493718694466186,0.168206444934009,-0.0796607004063293,0.0641468170423206,253,7,0.225723485052911,"no",2.28571428571429,"",0.0182648401826484,8322
"DUSP13",344,6,0.070245168652339,"no",-0.0788535940088987,0.161122410064638,0.0261961146212938,0.140395208857681,264,3,0.639131952100609,"no",1.75,"",0.00276375871184811,8322
"F13A1",322,19,0.0702832798458706,"no",-0.0141263781133995,0.144521249306566,0.0247794819253352,0.204971689676722,247,13,0.569427629628387,"no",2.6,"",0.0186253304494112,8322
"PTPN12",309,15,0.0704073130272667,"no",0.037856277542748,0.195653877467596,0.0050008258711355,0.120515175399862,236,9,0.317566356767715,"no",4.5,"",0.0109348714251382,8322
"TAS1R2",333,17,0.0705535187976261,"no",0.00479339936816852,0.108104451675507,0.0126548646979923,0.0604205116933119,258,9,0.308117789838137,"no",1.5,"",0.0193463109829368,8322
"OR51B2",327,12,0.0708316735935248,"no",0.032691848289664,0.24675917795228,-0.034590640394811,0.211717413623682,0,0,NA,NA,1.4,"",0.0105743811583754,8322
"SCARA3",317,20,0.0713608843809119,"no",0.0588564100868579,0.129041690974294,0.0741958585210817,0.134730838532196,242,16,0.372267906697446,"no",5.25,"",0.00805094929103581,8322
"WNT10A",349,5,0.07160070912354,"no",-0.00158728306142758,0.16366613864876,-0.00136816744210136,0.0297330991393664,261,5,0.488663232812641,"no",3,"",0.0045662100456621,8322
"PBX1",333,12,0.0718166647858329,"no",-0.0584891781891462,0.175090046566679,-0.103996561089306,0.128728408468299,243,11,0.607169946812124,"no",2.16666666666667,"",0.00889209324681567,8322
"SNRNP40",355,3,0.0719201979826102,"no",-0.339598449214055,0.299718899546632,-0.689672667647327,0.246429261113455,268,0,NA,NA,0.8,"",0.00408555635664504,8322
"RNF2",341,5,0.0719296821334416,"no",-0.00892851275040359,0.168979790975688,0.02337854127908,0.242677096631861,254,2,0.281931850634833,"no",3.5,"",0.0042057197788993,8322
"ANKRD17",306,39,0.0720042572924337,"no",-0.145579232068128,0.225058711909242,-0.171974362727869,0.255313756956305,233,27,0.835934411173881,"no",2.72222222222222,"",0.0291997116077866,8322
"GNB5",347,5,0.072008845575256,"no",0.014269218247299,0.129303344812901,-0.0244589660494512,0.145479565303925,258,3,0.0876087144259962,"no",0.75,"",0.00624849795722182,8322
"SH2D4A",324,6,0.0720669986648211,"no",0.00423964081250216,0.202576058327113,-0.0626491755112098,0.168969206807341,249,4,0.28427050278262,"no",3.5,"",0.00612833453496756,8322
"MARK3",327,11,0.0721189920040079,"no",-0.0603104111707668,0.149533447310849,-0.0662857685348708,0.0561600392599853,242,6,0.601465046355596,"no",1.71428571428571,"",0.0098534006248498,8322
"TPH1",345,5,0.072566391840024,"no",0.067008224983455,0.126419733443536,0.0642603503787774,0.130188157624137,258,3,0.645579730398539,"no",1.2,"",0.00829127613554434,8322
"CLCNKA",338,10,0.0727868655063968,"no",0.027650831960127,0.157552118185916,-0.0390874621043076,0.0868922244818965,258,8,0.669875960096989,"no",1.57142857142857,"",0.00793078586878154,8322
"ARHGAP24",329,12,0.0728881702698596,"no",0.0144646479334044,0.141003996955433,-0.0981885554161819,0.187832702364941,253,7,0.430054094193653,"no",1.4,"",0.0115356885364095,8322
"HCN4",333,16,0.0733011495011202,"no",-0.0592470947356271,0.153720591822951,-0.060263127375543,0.230791696234604,254,9,0.636081986484189,"no",1.64285714285714,"",0.0175438596491228,8322
"NLRP3",292,41,0.0733442683668055,"no",-0.0121965108007507,0.131412670443273,-0.0255132169950029,0.118310069418047,222,29,0.106925885490006,"no",2.38095238095238,"",0.0337659216534487,8322
"BTBD1",339,6,0.0734373880069737,"no",0.0833134250288163,0.172645930271726,0.0227957553451401,0.262813338295214,257,3,0.650365618329122,"no",2.33333333333333,"",0.00468637346791637,8322
"PPME1",342,3,0.0734457049887257,"no",-0.0294918740237334,0.162333438298344,-0.115008581875223,0.0336257002879649,254,2,0.852841786093048,"no",2,"",0.00312424897861091,8322
"GPR68",329,12,0.0736244209968064,"no",0.0435471091734891,0.12802896267681,0.0577250318804792,0.116436423929789,243,11,0.819633751840406,"no",1.75,"",0.0045662100456621,8322
"VRK1",340,3,0.0739610064475923,"no",-0.0643676931946283,0.212244198554764,-0.198020377373119,0.0877133894863881,251,1,NA,NA,1.25,"",0.00576784426820476,8322
"BIRC7",315,7,0.074080929305343,"no",-0.192928171454585,0.30169666715632,-0.212312061434635,0.142501388250233,238,2,0.518601571940094,"no",1.6,"",0.00528719057918769,8322
"UPF3A",318,9,0.0742737834499487,"no",-0.0600444037791424,0.219401768887704,-0.11117414859766,0.0868770429747584,237,4,0.647894806967777,"no",1.42857142857143,"",0.00360490266762797,8322
"MFI2",306,14,0.0742995298795523,"no",NA,NA,NA,NA,0,0,NA,NA,2.42857142857143,"",0.0108147080028839,8322
"PHF23",337,9,0.0747433187210827,"no",-0.0337044290570233,0.181464170752276,-0.0969308869577823,0.142269068122356,258,5,0.715530654757332,"no",4,"",0.00528719057918769,8322
"GSK3B",342,5,0.0750533189081698,"no",0.0807372628530397,0.176610034576273,-0.0279706354927936,0.112771712090732,261,3,0.180667392277006,"no",3,"",0.00588800769045902,8322
"ITLN1",330,8,0.0751803525136442,"no",-0.108394893465977,0.214853266459329,-0.150191381821114,0.124461221865624,248,4,0.521078791576906,"no",3,"",0.00829127613554434,8322
"LIMK2",342,10,0.0751819684598642,"no",0.079033260149718,0.138819089547845,0.0565465282761655,0.072284704179925,260,7,0.616029706668593,"no",2.125,"",0.00937274693583273,8322
"PPIL1",350,2,0.0753399652354919,"no",-0.196788212971993,0.230337953566354,-0.193784689603133,0.078961740435732,265,1,NA,NA,3,"",0.00264359528959385,8322
"PPIG",340,8,0.0754338404609524,"no",-0.0678150716403991,0.181690178979465,-0.135826649015716,0.143899967739221,256,5,0.206320430460945,"no",2.4,"",0.011776015380918,8322
"MRPL38",337,3,0.0754942191439027,"no",-0.199633441299107,0.264796570210011,-0.146882069057764,0.255780518363763,258,1,NA,NA,2,"",0.00348473924537371,8322
"FCGBP",279,66,0.0755426498355468,"no",-0.0439772760177234,0.228068522080686,-0.124014498224764,0.262096178430923,0,0,NA,NA,2.27906976744186,"",0.0576784426820476,8322
"POU2F1",333,14,0.0756884712954325,"no",0.0812147538782127,0.212654310577181,0.0256803433245097,0.143933997825699,247,8,0.207214965847067,"no",1.66666666666667,"",0.00925258351357847,8322
"HOXB5",338,8,0.076300080729305,"no",-0.0270276845699476,0.15480318678277,-0.0248714197916676,0.131069442454317,257,3,0.318960641093102,"no",4.5,"",0.00444604662340783,8322
"IGSF9",310,22,0.0763172722959539,"no",-0.0553424218479856,0.235952791262871,-0.0677548917933972,0.110457708119891,233,20,0.720164317625811,"no",1.55555555555556,"",0.0161018985820716,8322
"LANCL2",305,6,0.0763181101264348,"no",-0.139844303313907,0.161253151217562,-0.184659468573622,0.210699670276655,227,5,0.34804737585009,"no",1.14285714285714,"",0.00829127613554434,8322
"TMEM97",342,6,0.0766458399543372,"no",0.0105643836839108,0.182871933937225,-0.0536222749365671,0.117554438717265,257,5,0.395653065533003,"no",2.33333333333333,"",0.00228310502283105,8322
"ALDH2",339,7,0.0767275027043734,"no",-0.0435387436031182,0.174826032611541,0.00853026316132179,0.104441677792656,256,5,0.718383809191044,"no",1.6,"",0.00588800769045902,8322
"LIN7C",345,2,0.0771690512281743,"no",-0.0467086761893629,0.163993766423514,-0.134466926446586,0.116501445405508,257,4,0.588749962460749,"no",1.25,"",0.00288392213410238,8322
"OSBPL1A",337,8,0.0773424658527614,"no",-0.0358171295066473,0.203179817062271,-0.0983667985893941,0.129735527039401,255,5,0.645575731203966,"no",0.909090909090909,"",0.0106945445806297,8322
"RCOR2",340,12,0.0775767920991672,"no",-0.0564081183736447,0.167169582430643,-0.0411359647452603,0.131962696452629,253,9,0.545851509268953,"no",6.5,"",0.00540735400144196,8322
"GPR63",335,14,0.0776140664428237,"no",-0.0633230819732795,0.187742287092403,-0.0516333621645768,0.107738079145368,253,12,0.704084975494549,"no",3,"",0.0102138908916126,8322
"TDRD7",343,9,0.0776238220002733,"no",0.0169867292123723,0.143900830976925,-0.0386605367694367,0.147354762967926,256,6,0.63274151696105,"no",2.5,"",0.0121365056476808,8322
"PRKCD",337,9,0.0776494084695638,"no",-0.213846876214018,0.258115938811022,-0.278124432305551,0.120241926567711,256,6,0.878845879322902,"no",1.44444444444444,"DLBCL_LoF,NHLY_LoF",0.00973323720259553,8322
"ALKBH2",351,2,0.0778714900351622,"no",0.0497286010176997,0.190998680684063,-0.0449902421073106,0.00723263623197675,262,1,NA,NA,2,"",0.00324441240086518,8322
"CCND3",348,3,0.0780080862672197,"no",0.112155519747201,0.179705812320009,0.107721823939481,0.547239228887006,260,2,0.283133481952577,"no",1.33333333333333,"BLY_Act,DLBCL_Act,LY_Act,NHLY_Act",0.00300408555635664,8322
"MAP2K6",332,5,0.0783935688993027,"no",-0.0442476555318771,0.135737056690738,-0.00842439058449697,0.10465821750986,252,2,0.630997052801904,"no",6,"",0.00564768084595049,8322
"PDE10A",321,15,0.0784450493978016,"no",-0.0839622411003985,0.162506358869667,-0.0816891198141781,0.16471424167286,241,11,0.587535381433441,"no",1.8,"",0.0206681086277337,8322
"MAT2A",346,3,0.0784739488729169,"no",-0.353828224104591,0.433871453568573,-0.607339314998909,0.0962081635001285,260,3,0.453789487354608,"no",1.33333333333333,"",0.00384522951213651,8322
"COL15A1",321,26,0.0785935054678259,"no",0.0439055703694041,0.189083658824859,0.0155552720680308,0.0951676814654783,243,18,0.288061219164855,"no",2,"",0.0261956260514299,8322
"ORC1",336,15,0.0791051606788381,"no",-0.279738286336428,0.262007445291621,-0.344569621689001,0.267689159429268,250,13,0.517400467472488,"no",1.53846153846154,"",0.0122566690699351,8322
"HOXB3",332,10,0.0792433451130032,"no",-0.0768398879711772,0.169426676395485,-0.042773493914632,0.176508682489658,248,8,0.953229688211681,"no",1.3,"",0.00793078586878154,8322
"BTN3A3",334,8,0.0792644280457634,"no",0.0734085733573182,0.253871122228003,0.099988640277862,0.0440792729105828,257,6,0.49816366391194,"no",1.11111111111111,"",0.00889209324681567,8322
"OR51A4",291,9,0.0793234871953491,"no",0.069044033681356,0.132952417303024,0.0293706601871807,0.111455915650174,222,5,0.425992160148694,"no",3.5,"",0.011295361691901,8322
"PIK3R2",337,10,0.0796321102673394,"no",-0.0245356046128478,0.133314667352577,-0.0751908517886755,0.193454921640941,256,6,0.231518717994561,"no",2,"",0.0103340543138669,8322
"GPR89A",307,8,0.0796354363765099,"no",NA,NA,NA,NA,0,0,NA,NA,5,"",0.00360490266762797,8322
"GPAA1",292,13,0.0798193840769531,"no",-0.0618163680573355,0.241444852762946,-0.0646405385666316,0.424212034342392,221,8,0.817400655967816,"no",1.27272727272727,"",0.00672915164623888,8322
"SH2D3A",345,7,0.0800014680366255,"no",0.039340798306645,0.167186890568225,-0.159710795113335,0.312406282889948,260,4,0.640308072776113,"no",1.14285714285714,"",0.00745013217976448,8322
"KCNMB1",342,5,0.0800124028269134,"no",-0.0477423487624428,0.174631588243321,-0.0452152615418054,0.0933741578533114,257,4,0.465713652447718,"no",3,"",0.00540735400144196,8322
"PARP10",289,17,0.080856489339542,"no",0.0454068715255401,0.205750618287877,-0.0375459708007588,0.0982618942491736,215,11,0.4563433041807,"no",2.11111111111111,"",0.0106945445806297,8322
"KCNK10",329,15,0.0812900441879906,"no",0.0226456338216903,0.145881735832622,0.0177724023549252,0.220668608502075,250,8,0.51792900017998,"no",1.8,"",0.0140591204037491,8322
"TBXA2R",336,14,0.0814094960170867,"no",0.0353601088898397,0.162688575505679,0.0287132551749187,0.0847996998069431,256,9,0.558931729851182,"no",8,"",0.0045662100456621,8322
"PIK3CD",328,15,0.0817941892907225,"no",-0.230143499403156,0.287314034274513,-0.201028739859283,0.343276706702331,253,9,0.191184388886793,"no",5,"",0.0132179764479692,8322
"TGFB2",333,5,0.0818226847220151,"no",0.0234822032152849,0.151709157874033,-0.0679458985709655,0.0830199802722939,248,2,0.597745092833866,"no",0.857142857142857,"",0.00696947849074742,8322
"PPP1R16B",336,12,0.0821105043940199,"no",-0.00992692697243215,0.196464157776523,-0.0200137056039559,0.112706899301025,254,9,0.809108322952192,"no",1.75,"",0.0145397740927662,8322
"GABRR1",330,18,0.0821362160887819,"no",0.0127303497112988,0.183512150393818,0.0563850619635246,0.165615418324177,252,12,0.30575524079602,"no",2.375,"",0.00961307378034126,8322
"CLEC1A",337,3,0.0823012277243734,"no",0.0433959896718285,0.140425467403322,-0.0638367134811881,0.0446427641301589,251,3,0.438642258227538,"no",2,"",0.00648882480173035,8322
"LY6E",312,6,0.0823677652171946,"no",0.0550392571607769,0.145270882844179,-0.00678889670562741,0.070661395700934,236,3,0.51643828116854,"no",3.5,"",0.00144196106705119,8322
"HNF4G",321,9,0.0824344817969675,"no",-0.088986691544794,0.186079084079614,-0.129337144063466,0.187237894423261,237,6,0.116436470912828,"no",1.44444444444444,"",0.011776015380918,8322
"LYPD6B",347,4,0.0824809174156552,"no",0.0209778211097612,0.184853205078438,0.0383249907427399,0.134469234633818,261,4,0.46411586620975,"no",1.66666666666667,"",0.00432588320115357,8322
"RBPJ",347,2,0.0824859706702023,"no",-0.022451216788267,0.15661250196131,-0.0870259107949261,0.0671132929262419,260,2,0.537776176551821,"no",1,"",0.00600817111271329,8322
"DMRT3",317,12,0.0825033850231468,"no",-0.0512775582367958,0.171156108440241,-0.0424196816048618,0.0977466572642614,235,8,0.665598664302727,"no",1.875,"",0.0091324200913242,8322
"CUX1",302,27,0.0825476541001406,"no",0.0624909824831023,0.152657553847124,0.0202489352636174,0.123294265997692,229,19,0.560443090844155,"no",3.5,"BRCA_ambiguous,CM_ambiguous,GBM_ambiguous,LUAD_ambiguous,NSCLC_ambiguous,THCA_ambiguous,UCEC_ambiguous",0.0233117039173276,8322
"RAD51D",346,4,0.082574964284352,"no",-0.0754415974752993,0.193598531573535,-0.0640907709341681,0.180825910400697,257,3,0.474926944608822,"no",1.4,"",0.00432588320115357,8322
"SRD5A3",340,3,0.0826236683993701,"no",0.00904460119045865,0.10783114606723,-0.0436783270262959,0.194567595077235,255,3,0.537162624182246,"no",2,"",0.00372506608988224,8322
"ARID3B",341,11,0.0826850282391019,"no",-0.225810236926625,0.268855495452526,-0.472520765040458,0.453752338682043,260,4,0.383875391246494,"no",2.6,"",0.00781062244652728,8322
"OTUB1",342,5,0.0828494359865857,"no",-0.0148525081854856,0.155899116592258,0.00673505863652654,0.0469167944710709,255,4,0.427984011126454,"no",2,"",0.00312424897861091,8322
"PARD6A",345,7,0.0830194824744342,"no",-0.0619291330897905,0.203051041711845,0.0118114957790887,0.162241132635449,260,6,0.108600737359248,"no",3.33333333333333,"",0.00216294160057678,8322
"ARHGAP8",334,9,0.0830267657274937,"no",0.0390289324973514,0.331689549988565,0.104729393633619,0.159048758367214,256,2,0.63078050847217,"no",2.2,"",0,8322
"POU3F3",349,6,0.0832409198312877,"no",0.021374685777198,0.14019486758858,-0.0011527471584993,0.0930578400703138,261,4,0.304558347252455,"no",1.5,"",0.0049267003124249,8322
"KCNG2",312,9,0.0833171482498316,"no",0.033982378783244,0.139163336012361,0.00921012622927347,0.0613881987426983,238,5,0.749586366712358,"no",1.25,"",0.00636866137947609,8322
"FCN1",335,13,0.0836507432484016,"no",-0.101659483499785,0.253083854387139,-0.165928029222544,0.303540528188892,254,7,0.405415436574304,"no",2.28571428571429,"",0.0118961788031723,8322
"MEP1A",341,11,0.0837038155535614,"no",-0.0348596438606998,0.189782486556876,-0.0735872851038451,0.21422305313045,259,8,0.348735324995104,"no",1.16666666666667,"",0.0151405912040375,8322
"PLK1",336,14,0.0837670414894659,"no",-0.890369912182111,0.485097596461752,-1.11086752764757,0.594705361604279,258,8,0.489708292641155,"no",5.66666666666667,"",0.0100937274693583,8322
"EPB41",338,13,0.0838163136440152,"no",0.000639389629047309,0.173292006300791,-0.0357849131276031,0.188300881680384,258,9,0.748676156406103,"no",2.33333333333333,"",0.00925258351357847,8322
"SCAF4",321,15,0.0838945297827957,"no",-0.0529184171257036,0.156482301566588,-0.0788154135633372,0.113408951568021,243,10,0.265541840567241,"no",1.9,"",0.0179043499158856,8322
"KCTD17",347,4,0.0840193880083065,"no",0.033784731207485,0.177914832874514,-0.100325878350765,0.162647916968539,262,4,0.565841832485923,"no",2.5,"",0.00216294160057678,8322
"IFT80",325,11,0.0840454973715283,"no",0.0625949693148234,0.135450268047417,0.0507675453912321,0.11731060542119,245,5,0.424164237785882,"no",2.4,"",0.0122566690699351,8322
"NDNL2",343,5,0.0845757998202688,"no",NA,NA,NA,NA,0,0,NA,NA,4,"",0.00312424897861091,8322
"ACAN",299,45,0.084758295080298,"no",0.0712424118292768,0.136958877904168,0.0398798342589739,0.147460131807953,227,32,0.241342784345964,"no",2.66666666666667,"",0.037971641432348,8322
"POLG",331,16,0.0851522638460894,"no",-0.191618764587308,0.291423424866528,-0.261069573595377,0.294552668231036,249,13,0.391943161847729,"no",1.64285714285714,"",0.0120163422254266,8322
"PCDH8",326,22,0.0852497229055406,"no",0.02517782466537,0.217049763066597,-0.0612360547652094,0.204740871011081,247,14,0.638508358338909,"no",1.84210526315789,"",0.0168228791155972,8322
"PBK",342,3,0.0855654090665934,"no",-0.0151393832543432,0.209848884645331,0.0670655124761249,0.25264864289825,258,2,0.332726542985189,"no",1.33333333333333,"",0.00312424897861091,8322
"TSPAN9",340,3,0.0857689711619003,"no",-0.119095638555012,0.200542548839144,-0.0927332895660397,0.111902104587823,251,2,0.672805710754929,"no",1.33333333333333,"",0.00264359528959385,8322
"UBE3B",336,9,0.0860533519397138,"no",-0.0451246753904927,0.195463989362756,-0.0108633898629477,0.110772589885525,250,6,0.616751585201288,"no",1.375,"",0.014900264359529,8322
"MRGPRD",310,9,0.086241884703965,"no",0.0216330729917833,0.125924281889865,-0.0433323785370153,0.116731131830432,230,6,0.167845063553069,"no",1.09090909090909,"",0.00636866137947609,8322
"BCAN",314,23,0.0864496267355055,"no",-0.048894432033806,0.189539252675786,-0.0221964335595371,0.148730715862921,240,14,0.365438715445156,"no",3.125,"",0.0187454938716655,8322
"GABRP",339,8,0.0869439525899414,"no",-0.189432385704802,0.233014312854365,-0.175971800270347,0.14380222025506,257,4,0.488267989188671,"no",2.2,"",0.00925258351357847,8322
"ID1",331,3,0.0873153997089037,"no",0.0629269798082086,0.152092171053597,0.0644750495323311,0.264953735901636,246,2,0.77185963585782,"no",4,"",0.00192261475606825,8322
"SSRP1",338,13,0.0875193406961971,"no",-0.934631621911894,0.352284604862375,-0.886291621236923,0.303119611847486,252,8,0.524216613950982,"no",2.33333333333333,"",0.0103340543138669,8322
"BCLAF1",309,34,0.0875570637509935,"no",-0.286754065276518,0.290247255185389,-0.359606074573684,0.276507709242512,237,23,0.391486651919641,"no",3.06666666666667,"AML_Act,CM_Act,ST_Act",0.0163422254265801,8322
"HK3",332,16,0.0876941316546697,"no",0.0109810659178684,0.1577997358187,0.0491612885327584,0.110641636669767,247,11,0.386111345921019,"no",1.41666666666667,"",0.0182648401826484,8322
"CD48",333,2,0.0877364757138507,"no",-0.0492502890870388,0.196665452638588,-0.233506837128715,0.0429338341730145,250,2,0.32088044281811,"no",3,"",0.00384522951213651,8322
"FXYD5",342,4,0.0878094242980644,"no",-0.00869209089883417,0.144640432466654,-0.073565445384673,0.16676670627803,261,2,0.725669527076127,"no",5,"",0.00360490266762797,8322
"FCHO2",343,6,0.0878122079883798,"no",-0.0310031778190313,0.20942082544442,-0.168385370771538,0.290451167622053,259,6,0.320121419267409,"no",1.8,"",0.00829127613554434,8322
"F2RL3",346,7,0.0878826202345646,"no",-0.030716462403607,0.188665840835917,0.00557994759098935,0.217170584644401,263,4,0.715797606808733,"no",1.11111111111111,"",0.00348473924537371,8322
"PLEKHF1",335,8,0.0881805649544172,"no",-0.0410205711928208,0.166216452553957,-0.0027022001539438,0.187404951906124,252,5,0.924118321979647,"no",1,"",0.00348473924537371,8322
"PWWP2A",332,6,0.0885691425426153,"no",-0.0882552987816604,0.189722672771392,-0.197698054364413,0.18173231055013,246,5,0.697973372653196,"no",0.583333333333333,"",0.00540735400144196,8322
"SUSD5",345,8,0.0887426809921825,"no",-0.0201177652950639,0.172056738172547,-0.0458344363421955,0.170421461736322,262,6,0.148404008324013,"no",9,"",0.00889209324681567,8322
"TNIP1",348,6,0.0892625030017273,"no",-0.0637582541548075,0.18610905801358,-0.0840659021289848,0.174336268490633,259,5,0.675460928233106,"no",2.33333333333333,"",0.00817111271329007,8322
"SIRPB1",218,5,0.089374282122155,"no",0.0317603198074051,0.135284619627751,0.0863590646929761,0.135991429011882,171,5,0.808051387382258,"no",4.5,"",0.0138187935592406,8322
"WDR33",331,19,0.089625251823344,"no",-0.0608335229081835,0.193565842850561,-0.0394477112219065,0.245749704364136,248,11,0.495422310838053,"no",2.88888888888889,"",0.0200672915164624,8322
"KCNV1",300,20,0.0898336944433613,"no",-0.20208886519814,0.277711128783154,-0.243589982925825,0.296439430558603,222,15,0.519056698566038,"no",4.6,"",0.01718336938236,8322
"BTBD17",329,12,0.0899982434154263,"no",0.0685845195686617,0.181475898827146,0.0385474475324766,0.285984753238967,252,8,0.776885386354128,"no",3.4,"",0.00336457582311944,8322
"HOXD9",348,6,0.0900534160509462,"no",-0.222577417573177,0.260194337096694,-0.37517856538077,0.28040946923678,259,4,0.406654750276461,"no",1.16666666666667,"",0.00528719057918769,8322
"NPY1R",332,12,0.0901721469047161,"no",-0.0606481550298604,0.139482361216599,-0.063264282212201,0.147547425508012,250,8,0.716817188511921,"no",5,"",0.011776015380918,8322
"ACACA",314,25,0.090292741441871,"no",-0.0383575495576152,0.192008050778434,-0.117566412269414,0.253707914417564,241,14,0.229500004158858,"no",2.53846153846154,"",0.0291997116077866,8322
"KPNA4",329,5,0.0903194260067884,"no",-0.101886264535751,0.185284324955338,-0.14404368161016,0.0904875482082962,251,2,0.899049776826165,"no",1.75,"",0.00660898822398462,8322
"STK25",340,7,0.0904029042350544,"no",0.00225253459432733,0.161667247000925,-0.0208826149059189,0.190610843075646,255,4,0.634649381422925,"no",2.66666666666667,"",0.0045662100456621,8322
"RAB3GAP2",332,7,0.0904923503982606,"no",-0.0901372413652805,0.17917742460919,-0.08232352183221,0.110521238306565,246,5,0.677427560130475,"no",1,"",0.0164623888488344,8322
"HES7",348,2,0.0907776947670657,"no",-0.203267771322714,0.299732746779766,-0.543605560463924,0.15923157573589,263,2,0.453203887909311,"no",1.5,"",0.00108147080028839,8322
"EFNB3",340,5,0.0907931850376274,"no",-0.0335423736759276,0.183110506861203,-0.0796992533429133,0.0753419475938757,260,5,0.599722617741303,"no",1.2,"",0.00432588320115357,8322
"PDE4B",337,12,0.0909481339212109,"no",-0.0183552515988046,0.174923011750577,-0.0468444923389626,0.167714873764197,253,9,0.630127982433495,"no",3,"",0.0121365056476808,8322
"ISG20",345,3,0.0909599454106027,"no",-0.135695576927013,0.276111186429487,-0.413438346082815,0.363057103084231,258,3,0.50655217021634,"no",2.5,"",0.00264359528959385,8322
"SLC7A11",341,10,0.0910368781599835,"no",-0.0867467361479756,0.23823456782577,-0.174372548849452,0.166831832651937,261,5,0.358263195057176,"no",7,"",0.00745013217976448,8322
"SLK",346,7,0.0910629446084258,"no",-0.0966768630495072,0.189021784603494,-0.121019978945675,0.0910087071715177,263,4,0.0811098154911701,"no",0.888888888888889,"",0.0127373227589522,8322
"TTC34",323,12,0.0912871962604955,"no",-0.0532276716104557,0.175506263750077,-0.0783079915240426,0.158320727695135,249,8,0.656697210484818,"no",1.875,"",0,8322
"ZNF239",345,12,0.0918078875817337,"no",-0.0474698030713759,0.194738952490447,-0.040860981668199,0.0969063358726666,259,8,0.338529743448367,"no",2.6,"",0.00937274693583273,8322
"PLRG1",342,7,0.0918655201362282,"no",-0.870304937652394,0.384797330338568,-0.937335624730707,0.353146109194772,260,4,0.491543864509975,"no",2.25,"",0.00853160298005287,8322
