"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","MissenseDnDs","intogen_gene_role","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"RNF213",284,51,0.615736645629831,"no",0.0103801892988417,0.149728924688132,0.014692486709209,0.168334072031459,223,31,0.651950159379936,"no",2,"BLCA_Act,ESCA_Act,LUSC_Act,MBL_Act,PRAD_Act,SBCC_Act,UCEC_Act",0.0487863494352319,8322
"AMIGO1",332,5,0.6158672639383,"no",0.0306972605709471,0.161683635399127,0.00727254507388347,0.0936620525208303,250,1,NA,NA,2,"",0.00612833453496756,8322
"PRDM13",331,9,0.615916238880477,"no",0.0367920993149973,0.187769558649375,0.0326574775867439,0.151510491780083,246,7,0.473096751577334,"no",1.22222222222222,"",0.0087719298245614,8322
"PIK3R5",336,16,0.615933996982364,"no",-0.0148542003268253,0.236137005493916,-0.0969097680632414,0.304053230818251,258,8,0.517892530203055,"no",1.8,"",0.0127373227589522,8322
"CHRNA7",337,10,0.616882177590263,"no",0.03861431825231,0.18851508182138,0.12175778027018,0.178709832542459,256,3,0.771428689862521,"no",3.66666666666667,"",0.00708964191300168,8322
"EML1",324,19,0.617186362123902,"no",0.0956118599691014,0.157770509464067,0.103772578031114,0.0941971301611209,239,13,0.254133898416379,"no",5.5,"",0.0163422254265801,8322
"STK11IP",332,21,0.617191755349493,"no",-0.0885183599318649,0.202016232420675,-0.0263057044589237,0.109775898862883,249,17,0.66806598274691,"no",1.64705882352941,"",0.0102138908916126,8322
"PHLPP1",316,14,0.617563332802349,"no",0.00127916240180526,0.135689059677001,0.0128457608816253,0.0823043835530513,240,9,0.469460203206301,"no",2.1,"",0.0132179764479692,8322
"PHC3",313,13,0.617770964394068,"no",-0.231855695051133,0.272658705348894,-0.301392875719791,0.202541875062998,239,6,0.5248657791798,"no",1.875,"",0.0103340543138669,8322
"SNAP29",326,3,0.617786560089035,"no",0.00539851057308275,0.148564288253774,0.0182558756059242,0.0654111373458803,242,4,0.327345516657287,"no",2.5,"",0.00288392213410238,8322
"INO80C",336,3,0.617999227871937,"no",-0.0409137028610185,0.159394496232645,-0.0584120769351745,0.070962553815399,251,2,0.294678993635788,"no",4,"",0.00300408555635664,8322
"FRMD1",330,10,0.618719028397761,"no",-0.00875292546496146,0.164522866913185,0.00598205923075423,0.131680836189181,250,4,0.715033091566309,"no",5.5,"",0.00841143955779861,8322
"GAMT",338,6,0.619436662917831,"no",-0.167028764354432,0.230152730917324,-0.124386554979361,0.15553407915927,258,4,0.299549431945059,"no",7,"",0.00228310502283105,8322
"STON1-GTF2A1L",346,7,0.619484474116611,"no",-0.00067945692356021,0.208530161631384,0.0376908804416694,0.303871898601618,0,0,NA,NA,8,"",0.0142994472482576,8322
"SPSB1",342,4,0.61953957125989,"no",-0.0104736055242663,0.190538424831473,-0.0498397965076237,0.0720227780696333,262,4,0.585486877838987,"no",1.2,"",0.00372506608988224,8322
"CAND1",327,18,0.619648356553316,"no",-0.218853421770148,0.286148793208995,-0.132078196080175,0.269815218043262,249,13,0.388330156734506,"no",3.14285714285714,"",0.01718336938236,8322
"HCAR2",342,10,0.619679162783578,"no",0.070241284590528,0.1501215199,0.0919774798862364,0.123472749963092,260,7,0.623421567566217,"no",2.2,"",0.00853160298005287,8322
"DAXX",342,12,0.619780726777217,"no",-0.0196278864625759,0.148858898356496,-0.00538442307015863,0.12471428424265,259,9,0.345840447076931,"no",1.15384615384615,"ACC_LoF,PAIS_LoF",0.0120163422254266,8322
