"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"SLIT2",7,2,0.0945824016805913,"no",0.0323249210714974,0.272787406346003,-0.091305106502066,0.036333990130868,3,2,0.400326907737442,"no","","yes",0.0203562340966921,393
"LRP1B",5,4,0.105794230159737,"no",0.184259635630154,0.087239484254868,0.233359577859422,0.274868019983126,2,3,0.606307919269938,"no","AML_LoF,AN_LoF,BRCA_LoF,CH_LoF,CLL_LoF,CM_LoF,COREAD_LoF,ESCA_LoF,GBM_LoF,HC_LoF,HNSC_LoF,LUAD_LoF,LUSC_LoF,MBL_LoF,MGCT_LoF,MM_LoF,NB_LoF,NSCLC_LoF,OS_LoF,OV_LoF,PAAD_LoF,PRAD_LoF,RCCC_LoF,RHBDS_LoF,SBCC_LoF,SCLC_LoF,ST_LoF,THCA_LoF,UCS_LoF,UVM_LoF","yes",0.0305343511450382,393
"SORL1",7,3,0.108702286119853,"no",0.0373638348994081,0.178973559351513,0.0228503177305539,0.036660343569404,3,2,0.560818966745666,"no","","yes",0.0229007633587786,393
"FGD5",8,2,0.131890465535806,"no",0.110062003036174,0.182909146761688,0.0582756114613636,0.0393069428089585,4,1,NA,NA,"AML_Act","yes",0.0203562340966921,393
"FUK",6,2,0.148154590225832,"no",-0.153315040959934,0.306633398088273,-0.266390324844989,0.00708774356850805,5,0,NA,NA,"",NA,0.0101781170483461,393
"ATP8B4",6,2,0.160772348242655,"no",-0.0320609058390348,0.269853250020607,-0.13186468377618,0.0813799887516068,3,1,NA,NA,"","yes",0.0229007633587786,393
"TTN",4,5,0.16478619127601,"no",0.204417601167906,0.300981670523034,0.123001059483067,0.180299195128562,3,2,0.828276843633208,"no","","yes",0.239185750636132,393
"WDR49",6,2,0.180235035898051,"no",-0.137740550531024,0.182326973845778,-0.185157777098516,0.11257890104492,0,0,NA,NA,"","yes",0.00254452926208651,393
"GATM",6,2,0.230067155101203,"no",0.109927436233032,0.132483778660817,-0.055322074452172,0.056499384607977,2,2,0.17276630452392,"no","","yes",0.0101781170483461,393
"CBX6",8,2,0.248133791515257,"no",-0.0174740997286745,0.213863880401218,-0.108378148316887,0.118206800971029,5,0,NA,NA,"","yes",NA,393
