"","#wt","#mut","pvalue","is_significant","tcga_pvalue","tcga_tumor_vs_normal"
"GTF3C1",8,4,0.914783895850111,"no",1.45481481707764e-07,"up"
"MYLK2",11,1,0.914951768431604,"no",3.926636911169e-07,"up"
"CEACAM19",11,1,0.915165284824134,"no",0.987016165382321,"down"
"ETV5",10,2,0.915290122179501,"no",0.000554445931783334,"up"
"DPCR1",8,4,0.915626297028011,"no",0.00463391697618354,"up"
"RXRG",11,1,0.915766046429267,"no",0.482275180790826,"down"
"CHD5",7,5,0.915944164280896,"no",0.148852663133119,"down"
"LRRC8B",9,3,0.916235711743259,"no",3.91842452329635e-20,"up"
"WNT3",12,0,0.916282513318024,"no",0.0814830753858605,"up"
"MED15",9,3,0.916290835887188,"no",4.52602867040582e-08,"up"
"BRCC3",11,1,0.916376117902009,"no",2.30437592409738e-17,"up"
"STRN4",12,0,0.916389435127444,"no",1.31624257983175e-17,"up"
"GJD2",11,1,0.916425776880397,"no",0.0783618344366989,"up"
"BMPR2",4,8,0.916595117613457,"no",2.40237739673379e-07,"down"
"CBL",9,3,0.916772050841203,"no",0.0038267157406322,"down"
"C7",8,4,0.916783890650592,"no",0.000123654446216771,"down"
"BRAP",12,0,0.917087893000978,"no",3.48083194933648e-08,"up"
"NUDT1",11,1,0.917709364564269,"no",5.91783018505325e-26,"up"
"HLTF",11,1,0.917782975104914,"no",0.00581439366211203,"up"
"EEPD1",10,2,0.917931753297662,"no",9.04266870535165e-11,"up"
"BRAF",8,4,0.918203902684082,"no",3.07095728299843e-07,"down"
"ADRM1",7,5,0.91820447305702,"no",1.14606186163936e-29,"up"
"MAPK10",11,1,0.918211409838434,"no",1.13677746188817e-08,"down"
"GJD3",12,0,0.918483622474969,"no",0.251935517979633,"up"
"SPAG1",8,4,0.918491533133097,"no",0.000884213308852111,"up"
"GTF2H2",7,5,0.918712722608027,"no",0.243339715235428,"up"
"DUSP14",11,1,0.918735531546694,"no",0.000436611653732444,"up"
"RTN4IP1",11,1,0.91888135773421,"no",5.66619982481967e-20,"up"
"TMEM230",12,0,0.918948877713031,"no",0.00139927097765887,"down"
"ALPK2",8,4,0.918950217411345,"no",6.83062597641119e-05,"up"
"CNOT6L",10,2,0.918956103247939,"no",2.99855343377093e-09,"down"
"RHEB",12,0,0.918995295655201,"no",0.873753407081174,"down"
"NT5C1B-RDH14",12,0,0.919620026367882,"no",0.431966497666352,"up"
"HTR2A",11,1,0.919788427299173,"no",0.000951190705803147,"down"
"ALDH1A3",8,4,0.919890340967076,"no",0.00638649486581612,"down"
"ECHDC3",11,1,0.919908804908907,"no",0.153458595165207,"down"
"GEMIN5",11,1,0.919944892305961,"no",0.00461457171305834,"down"
"GEM",6,6,0.92008792139398,"no",2.41760706972795e-05,"down"
"OR2T29",10,2,0.92052532741074,"no",0.0177862801703376,"up"
"KLHL14",10,2,0.920901609782632,"no",2.51431834563571e-11,"up"
"FRY",6,6,0.920907511765199,"no",1.21578465822426e-09,"down"
"PHKG1",10,2,0.92107676037566,"no",0.0602982385853772,"down"
"WDR88",9,3,0.921131769565961,"no",0.980555252234627,"up"
"PDE1C",10,2,0.921139245150581,"no",0.000248173261989909,"down"
"G2E3",11,1,0.921295502178163,"no",0.137447687093479,"up"
"SLC22A7",11,1,0.921639397939586,"no",0.186035352187346,"up"
"NFYB",12,0,0.921778664351242,"no",3.9020310536353e-09,"down"
"C11orf24",11,1,0.921793198288196,"no",0.00129180237370203,"up"
"HOXA2",12,0,0.92197070759477,"no",0.463041710645405,"up"
"ERCC8",11,1,0.922041174975806,"no",0.18227875339505,"up"
"WDR65",11,1,0.922217945994714,"no",NA,NA
"PIP4K2A",12,0,0.922454908584127,"no",0.0360448527730959,"up"
"CRKL",11,1,0.922605801589146,"no",3.81688504850104e-05,"down"
"PSKH1",11,1,0.922769914559461,"no",4.61001546083104e-07,"down"
"TBX21",9,3,0.922898172051441,"no",0.227829724447686,"up"
"DND1",10,2,0.922960114171312,"no",NA,NA
"FOXK1",8,4,0.92333846113034,"no",1.51060153918568e-07,"down"
"SLC12A7",9,3,0.923596550403696,"no",2.87553570135307e-19,"up"
"KCNMB3",9,3,0.923648096798692,"no",5.72532590636796e-06,"up"
"UNG",11,1,0.923818798386477,"no",1.63195541623331e-25,"up"
"HTR1E",11,1,0.923853578856553,"no",0.0628913928151728,"down"
"ABCA9",7,5,0.923949312798692,"no",5.69857364524495e-06,"down"
"MIR205",12,0,0.924027048458829,"no",NA,NA
"ITGA6",8,4,0.924091280157141,"no",0.00406840785580792,"down"
"TSSK1B",11,1,0.924166074874448,"no",0.0166654948940002,"up"
"COL1A2",5,7,0.92416782926381,"no",0.00827016774025053,"down"
"MOG",10,2,0.924278041151485,"no",0.966557442435466,"up"
"AIRE",9,3,0.924724681832338,"no",0.584423252781563,"down"
"NFIX",11,1,0.924822671172837,"no",9.98425205808015e-06,"down"
"CD8A",9,3,0.925093755028576,"no",0.451000435565992,"up"
"TMEM171",9,3,0.925131858871927,"no",6.20850795294723e-10,"up"
"SPRYD4",11,1,0.925497861083515,"no",0.00123644469097104,"up"
"ADAP2",10,2,0.925555315581589,"no",1.54595246264602e-07,"up"
"NRBP1",11,1,0.925668800336881,"no",0.114911970147584,"up"
"TEAD3",11,1,0.925771224146486,"no",4.69605758041116e-07,"down"
"ERMAP",11,1,0.925975757584879,"no",6.95382391921853e-08,"down"
"POTEI",12,0,0.92597782594006,"no",0.951461993594681,"up"
"FARP1",9,3,0.926092404147671,"no",4.33657977695298e-08,"up"
"ZNF350",10,2,0.926140340620601,"no",0.00235720282551497,"down"
"LEPRE1",10,2,0.926306864002132,"no",NA,NA
"WWP2",9,3,0.926556736332062,"no",2.19573209851663e-05,"down"
"VAV2",10,2,0.927394252441637,"no",1.73272784008187e-05,"up"
"VEGFB",10,2,0.927394252441646,"no",0.563961178662285,"down"
"NR1D1",11,1,0.9273957949745,"no",6.54061323368589e-06,"down"
"C8orf86",12,0,0.927912371149328,"no",0.109388619268475,"up"
"ZBTB12",9,3,0.927924470311759,"no",0.00100821187618723,"up"
"NR1H3",11,1,0.92800925849821,"no",0.433567374821566,"up"
"RALGPS1",11,1,0.928320080303601,"no",0.261510449243357,"up"
"EDNRA",12,0,0.928337096828011,"no",4.42090878770046e-08,"down"
"ID2",12,0,0.928368875723414,"no",0.027179421433354,"down"
"CDC42",11,1,0.928386554674933,"no",0.804478914957188,"down"
"OTX2",10,2,0.928597484069869,"no",0.000576136020944204,"up"
"TADA2B",11,1,0.928629900993431,"no",0.0363821514328251,"down"
"PTGIR",9,3,0.928650266106148,"no",0.059217961236066,"down"
"CNOT6",9,3,0.928674774162064,"no",2.46871652450309e-15,"up"
"DTL",11,1,0.928883648756968,"no",1.49959800576579e-35,"up"
"KCNK12",12,0,0.929159930258767,"no",0.000923215756450339,"up"
"CDX1",11,1,0.929378164538541,"no",0.261721703892642,"up"
"CDH17",10,2,0.929406714274562,"no",0.00294775656602734,"up"
"ARHGAP10",12,0,0.929432631189383,"no",5.44604341606595e-07,"down"
"CCR10",11,1,0.929498654772717,"no",6.25213516140843e-08,"down"
"GPT2",10,2,0.92957922913514,"no",1.07976426894764e-25,"up"
"POTEF",10,2,0.929613694410896,"no",2.33343410271888e-08,"up"
"KCNF1",11,1,0.929761009645474,"no",0.244119903504423,"down"
"RNF182",11,1,0.929924610663604,"no",0.00246216963090787,"up"
"CYP21A1P",11,1,0.930077047884471,"no",0.0589278273750886,"down"
"CCDC6",11,1,0.930109680732096,"no",4.31119955383067e-14,"up"
"FAM132A",10,2,0.930152012039347,"no",NA,NA
"LOC341056",12,0,0.930194090724837,"no",NA,NA
"ZGPAT",5,7,0.930322133531125,"no",0.0086314114631452,"up"
"MORF4L1",11,1,0.930543698209323,"no",2.55866265150863e-13,"down"
"UBA7",10,2,0.93078939902564,"no",0.0813277579487746,"up"
"OR2M4",12,0,0.93090814908386,"no",0.194127367882633,"up"
"RGPD3",9,3,0.930938841323414,"no",4.48801422039147e-06,"up"
"TMEM55A",12,0,0.931000881515615,"no",3.17244162465442e-12,"down"
"SMYD5",12,0,0.931021476030302,"no",0.257429720238582,"up"
"LATS1",9,3,0.931022542613946,"no",8.79817540557142e-09,"down"
"CYP46A1",10,2,0.931219433695331,"no",4.29009827014845e-08,"down"
"SEZ6L",9,3,0.931273193951923,"no",5.06609220135035e-06,"up"
"PHLDA2",12,0,0.931442647464257,"no",9.08131729249673e-44,"up"
"ANKRD31",9,3,0.931523167197391,"no",0.0172218903570345,"down"
"IQCG",6,6,0.93213714266495,"no",0.751764636582603,"down"
"SOX10",10,2,0.932330415425812,"no",NA,NA
"YAP1",11,1,0.932365801466461,"no",4.26631894623518e-10,"down"
"CACNG4",9,3,0.932375082904091,"no",0.000566531198707577,"up"
"CDK5",11,1,0.932577785528325,"no",6.98947966165431e-24,"up"
"IPP",12,0,0.932593437093239,"no",0.157441349257922,"down"
"TGFB1",10,2,0.932819853650807,"no",0.00106867835457221,"down"
"DDRGK1",9,3,0.932938622553004,"no",7.78554458572402e-19,"up"
"CTSD",12,0,0.933017437371384,"no",5.69200073902946e-12,"up"
"ILK",11,1,0.933042394230027,"no",1.92450184970298e-08,"down"
"CLEC5A",11,1,0.93307398427829,"no",8.91766762620823e-20,"up"
"B3GNT2",11,1,0.93325278306654,"no",0.407063573356312,"down"
"NPTX1",11,1,0.933315802728328,"no",0.149367822707982,"down"
"TBX2",9,3,0.93375416159242,"no",2.90360538562419e-05,"down"
"NUP43",11,1,0.933912260664571,"no",7.4122795615193e-15,"up"
"EAF2",9,3,0.93398580627746,"no",4.10584437113257e-37,"up"
"SOHLH1",12,0,0.9340387856989,"no",1.44235986504339e-05,"up"
"EPB41L4A",12,0,0.934108444895795,"no",0.782303271503717,"down"
"PRKCZ",9,3,0.934112952561843,"no",7.56410764743324e-13,"up"
"PKIA",11,1,0.934120589926914,"no",8.36398490261381e-05,"down"
"NCOA7",8,4,0.934168405214619,"no",0.808994118778608,"up"
"CCDC91",12,0,0.93451533437729,"no",9.67543785038026e-08,"down"
"PRMT8",11,1,0.934938659922602,"no",0.253424289763997,"down"
"RND3",12,0,0.934999124572172,"no",0.00139925847374995,"down"
"GRPR",12,0,0.935038498060397,"no",1.32077917214777e-06,"up"
"UBL4A",12,0,0.935107358281411,"no",1.11239308745544e-10,"up"
"PTGDR",9,3,0.935134958234308,"no",3.50524729246822e-07,"down"
"C1QTNF6",10,2,0.935162578442815,"no",0.0491445013094505,"up"
"CYP4Z2P",12,0,0.935235095130565,"no",0.389587788929056,"down"
"CYP4Z1",12,0,0.935235095130565,"no",0.974449250434101,"down"
"KCNK7",10,2,0.935302888769592,"no",0.200357301179848,"up"
"PHKG2",11,1,0.935339682971714,"no",2.5086856402968e-18,"up"
"MAGEA3",12,0,0.935343031578503,"no",1.17251217490504e-06,"up"
"MAGEA6",12,0,0.935343031578503,"no",3.19789187700272e-07,"up"
"TRPM1",8,4,0.935496648988307,"no",0.0816943887087026,"up"
"ATP5J2",11,1,0.935952996719976,"no",1.35744864565072e-37,"up"
"KCNQ5",10,2,0.936225350640122,"no",0.000751646740315568,"down"
"DSG1",7,5,0.936277489210005,"no",0.0404122663756612,"up"
"CORO7",8,4,0.936279152618509,"no",1.2921692790577e-06,"up"
"SYK",12,0,0.936327734141974,"no",7.46738200900896e-07,"up"
"GATA4",10,2,0.936353274656362,"no",0.192901612717283,"down"
"CDC37",10,2,0.936374576519647,"no",4.26573006668103e-09,"up"
"NLGN3",10,2,0.936406519243658,"no",1.71455083404128e-06,"down"
"RFX5",11,1,0.93656190729017,"no",8.7473419959233e-07,"up"
"SETDB1",7,5,0.936713660145195,"no",1.51601908825901e-20,"up"
"RAB27A",12,0,0.936733853346122,"no",2.50768235328487e-05,"down"
"LRG1",10,2,0.936746490286016,"no",3.25612392429372e-09,"up"
"PPRC1",6,6,0.93692033101747,"no",0.0553566263043182,"up"
"GPHN",11,1,0.936955345897666,"no",0.398306634004354,"down"
"FZD7",9,3,0.936964701636174,"no",2.42631020920793e-05,"down"
"ALCAM",10,2,0.937116762918317,"no",0.962567177115742,"down"
"ARHGEF37",9,3,0.937254716486043,"no",2.60867076471481e-07,"down"
"SMARCAL1",11,1,0.937497056141068,"no",0.517439432846879,"down"
"CHST5",10,2,0.937537927001021,"no",0.506219249387488,"up"
"C1QL4",12,0,0.937587945682032,"no",1.87947417096866e-13,"up"
"MTCP1",12,0,0.937702431159015,"no",0.803808175733325,"up"
"IRAK2",8,4,0.937881678167166,"no",0.944824940897625,"up"
"GABRB1",10,2,0.937915150978404,"no",0.144683968706058,"down"
"SIK2",10,2,0.938019629393013,"no",6.59813305736579e-05,"down"
"ZMYND12",10,2,0.938082252650866,"no",0.463501680948456,"down"
"ACACA",7,5,0.938097033054266,"no",2.1525546798068e-28,"up"
"FABP9",11,1,0.938104740508478,"no",0.000411107376505883,"up"
"ANK3",5,7,0.938171841133326,"no",0.555795024376896,"down"
"RSPO3",11,1,0.938322802996495,"no",9.93012433406008e-07,"down"
"STAR",12,0,0.938357629984415,"no",0.162300683312668,"down"
"TTC9",12,0,0.938395451234877,"no",3.96546625205477e-05,"up"
"SETD8",11,1,0.938481027634399,"no",NA,NA
"MAP2K1",11,1,0.938569893591177,"no",0.3284928681414,"up"
"IDI2",12,0,0.938678548423141,"no",0.775608177163455,"down"
"SLC22A17",11,1,0.938816232512058,"no",1.04598418605039e-11,"down"
"OR51T1",8,4,0.938851843584772,"no",0.622962112192545,"up"
