"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_pvalue_tumor_vs_normal","tcga_expression_direction_tumor_vs_normal","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"ALDOC",5,0.0331200898965643,"no",-0.165658104325404,0.116953639391661,2,0.249467530343252,"no","",1.92627589591416e-06,"down","BRAF (enriched, 65% vs 45%), NRAS (depleted, 2% vs 16%)","",492
"HMGA2",5,0.0332100709956942,"no",-0.0359181545863633,0.180710129276134,2,0.588662098048064,"no","",1.66127676145404e-27,"up","BRAF (enriched, 68% vs 42%), NRAS (depleted, 3% vs 15%)","",492
"CDC42",5,0.0332801856979762,"no",-0.545407005644249,0.250415311014895,2,0.00290299024079221,"no","",0.982148073051395,"up","BRAF (enriched, 64% vs 46%), HRAS (depleted, 2% vs 7%), NRAS (depleted, 5% vs 14%)","",492
"CCNT1",5,0.0333203021262507,"no",-0.216605849617288,0.180414447364602,2,0.154752971834765,"no","",8.32733800644254e-13,"down","","",492
"ATRNL1",4,0.0333246851777151,"no",-0.246134283008146,0.0203131447954738,1,NA,NA,"",2.58576346441548e-14,"up","BRAF (depleted, 37% vs 73%), HRAS (enriched, 9% vs 0%), NRAS (enriched, 18% vs 1%)","",492
"BRD9",5,0.033491210337992,"no",0.0207384938748743,0.151236228758466,2,0.0853775383035752,"no","",0.0367471915314081,"up","BRAF (enriched, 63% vs 47%), HRAS (depleted, 2% vs 7%)","",492
"P4HTM",5,0.0336425684487665,"no",0.0350582535225579,0.110650466105628,2,0.15427257655451,"no","",6.06058280527304e-10,"up","BRAF (depleted, 47% vs 63%), HRAS (enriched, 8% vs 1%), NRAS (enriched, 16% vs 3%)","TG (enriched, 6% vs 1%)",492
"ZNF202",4,0.0337469989482868,"no",0.00354206624736745,0.100749970003471,2,0.954161029108837,"no","",0.0400630743770531,"down","","",492
"CSNK2A1P",5,0.033784307935669,"no",NA,NA,0,NA,NA,"",NA,NA,NA,NA,NA
"STEAP1B",4,0.0339308588870432,"no",-0.0908373261512326,0.449367390756773,1,NA,NA,"",0.00191125890436376,"up","BRAF (enriched, 72% vs 38%), HRAS (depleted, 1% vs 8%), NRAS (depleted, 5% vs 14%)","",492
"MCF2L2",5,0.0340079641657651,"no",-0.141908715267019,0.040291683047589,2,0.115669210511366,"no","",1.80725289852305e-11,"up","BRAF (enriched, 66% vs 44%)","",492
"ACOX3",5,0.0341202161217473,"no",-0.18105081901983,0.083576404635294,2,0.588505319223421,"no","",8.74607680802739e-06,"up","NRAS (enriched, 14% vs 5%)","",492
"STXBP5",5,0.0341202161217473,"no",0.0274729464568245,0.0646199771203699,2,0.930323431617316,"no","",0.198007233845323,"down","","",492
"CD274",5,0.0344689686344749,"no",-0.0508491681451359,0.206692307290749,2,0.975762909106504,"no","",0.157637586755962,"up","BRAF (enriched, 73% vs 37%), HRAS (depleted, 1% vs 8%), NRAS (depleted, 2% vs 16%)","",492
"ALG10B",5,0.0348308173250245,"no",-0.00686890442054253,0.077908770960422,2,0.800812131070185,"no","",1.32935713604606e-06,"down","","",492
"SMARCC2",5,0.0348411983103959,"no",0.0481679818287397,0.121659326513678,2,0.220568609989104,"no","",0.0692672023070548,"down","BRAF (enriched, 69% vs 41%), HRAS (depleted, 2% vs 7%), NRAS (depleted, 4% vs 15%)","",492
"EPB41L4B",5,0.0350180367634868,"no",-0.0555282232531909,0.391285551429113,2,0.750166087510919,"no","",7.23695939538232e-22,"down","","",492
"BAZ1B",5,0.0350388862451171,"no",-0.197550189883304,0.260481431176617,2,0.0817739782248297,"no","",0.672580029980808,"down","","",492
"TRIM27",5,0.0350493145384257,"no",-0.334304919047713,0.048172464515334,2,0.892894725614515,"no","",0.00320571164973912,"up","","",492
"DCAF7",5,0.0352060233677319,"no",-0.122893985391099,0.179592879283804,0,NA,NA,"",0.847006189374654,"up","","",492
"ASB13",5,0.0355210442505955,"no",-0.170900369539052,0.087319224730902,2,0.984464717955769,"no","",0.000242478114313557,"down","BRAF (enriched, 64% vs 46%), HRAS (depleted, 2% vs 7%), NRAS (depleted, 3% vs 15%)","",492
"GCLC",5,0.0355315818373754,"no",-0.181720074654877,0.174256835598855,2,0.848594112362006,"no","",8.02527679382138e-13,"down","BRAF (depleted, 45% vs 64%)","",492
"TET3",5,0.0356265274118879,"no",-0.072154505754405,0.0787441323950916,2,0.556060689568638,"no","",5.93360077229209e-12,"up","BRAF (enriched, 62% vs 47%), NRAS (depleted, 5% vs 14%)","",492
"PLEKHG1",5,0.0356582188790059,"no",0.027475291238,0.0881876844953922,2,0.879967664841927,"no","",5.67763668597584e-13,"up","","",492
"ID3",5,0.0356687874755074,"no",-0.207897240329479,0.084897074728505,2,0.252774648162121,"no","DLBCL_LoF",1.07362558460229e-17,"down","BRAF (depleted, 37% vs 73%), NRAS (enriched, 14% vs 5%)","",492
"WRNIP1",4,0.0356793519024566,"no",0.0291387633397844,0.215472100558813,2,0.675675243725687,"no","",0.412520586721522,"down","","",492
"TAF5L",5,0.0356793584596049,"no",-0.132220398407066,0.23260298715875,2,0.483715473160874,"no","",7.80878157608766e-08,"down","BRAF (enriched, 68% vs 42%), HRAS (depleted, 2% vs 7%)","",492
"KHK",5,0.0358912800276856,"no",-0.079159593384689,0.212992988522835,2,0.525757528336355,"no","",0.00453450386543425,"down","","",492
"LRRC7",4,0.0359311099450531,"no",-0.10879477704243,0.129286112869378,1,NA,NA,"",1.44602781837816e-25,"down","BRAF (depleted, 43% vs 67%)","",492
"ADAM17",5,0.0359337791856199,"no",-0.136893727181443,0.241264103121716,2,0.865409069117112,"no","",0.523522262578915,"down","","",492
"CCDC79",4,0.0359912481905174,"no",NA,NA,0,NA,NA,"",NA,NA,NA,NA,492
"OR2T1",5,0.0363930700325177,"no",-0.177259244009156,0.260708603351434,2,0.757563014359323,"no","",NA,NA,"","",492
"CD247",5,0.0364682592600548,"no",-0.206862984098795,0.211131183255585,2,0.987797720700911,"no","",0.00412078729133566,"down","BRAF (enriched, 64% vs 46%), HRAS (depleted, 2% vs 7%), NRAS (depleted, 3% vs 15%)","",492
"PVRL3",5,0.0366297770656861,"no",NA,NA,0,NA,NA,"",NA,NA,NA,NA,492
"GADD45A",5,0.0367593826886787,"no",-0.0352209184238258,0.106447799611149,2,0.953951463694803,"no","",0.225797289013869,"down","BRAF (enriched, 76% vs 34%), NRAS (depleted, 5% vs 14%)","",492
"OPN4",5,0.0368134878519514,"no",-0.209139763839364,0.297521810004083,2,0.0659846901842811,"no","",4.68426133028202e-05,"up","","",492
"GNA13",5,0.0370196399413055,"no",-0.0147618533121545,0.114412693079105,2,0.430685403298562,"no","BLCA_LoF,DLBCL_LoF",2.38122207560123e-08,"down","","",492
"SUV39H2",5,0.0370958115121447,"no",-0.130367674853319,0.0885398611399752,2,0.453435305282063,"no","",1.07720355419912e-22,"down","","",492
"DCAF4",5,0.0371611961908684,"no",0.0166222747400172,0.0359928031834065,2,0.0470504990393012,"no","",2.43230237820563e-06,"down","BRAF (depleted, 45% vs 65%), HRAS (enriched, 7% vs 2%), NRAS (enriched, 14% vs 5%)","",492
"RHOBTB3",5,0.0371721021466759,"no",-0.0192621126604232,0.0718497019072084,2,0.955563094249459,"no","",3.20762655069707e-21,"up","BRAF (enriched, 62% vs 48%)","",492
"SUDS3",5,0.0374016895185787,"no",-0.481440407098106,0.397434216396645,2,0.0148722732548489,"no","",0.0215156658487362,"down","","",492
"IGSF9B",5,0.037456511586618,"no",-0.106783138085228,0.100130513600811,2,0.964215102286389,"no","",5.07570723678674e-21,"down","","",492
"PDE7A",4,0.0376810672775706,"no",-0.0338405262130555,0.185733459739444,2,0.601261978153473,"no","",5.99600231535064e-10,"down","","",492
"GNB1",5,0.0382750324743459,"no",-0.165992182830364,0.123057652068552,2,0.0471035326393772,"no","",8.15702289264681e-07,"up","BRAF (enriched, 71% vs 39%), HRAS (depleted, 0% vs 9%), NRAS (depleted, 5% vs 14%)","",492
"MAMDC4",5,0.0385097673818462,"no",-0.0802361464689029,0.160094301627409,2,0.915050442651987,"no","",0.069137934264201,"down","BRAF (depleted, 47% vs 63%), HRAS (enriched, 7% vs 2%)","",492
"ATP8B1",5,0.0386556252131859,"no",-0.108473617826571,0.01975052255606,2,0.967378557516173,"no","",9.69167742322409e-07,"down","","",492
"SYK",5,0.0387568486323535,"no",-0.0416616240366205,0.284632235998828,2,0.598788646352815,"no","",5.77927487006899e-20,"down","","",492
"CIITA",5,0.0387681080606984,"no",0.0124984511019099,0.374369120806776,2,0.855085469281594,"no","DLBCL_Act,HNSC_Act",0.406765818761125,"down","BRAF (enriched, 72% vs 38%), HRAS (depleted, 0% vs 9%), NRAS (depleted, 2% vs 16%)","",492
"HLX",5,0.0388131705522792,"no",-0.0292904339760723,0.145344510371332,2,0.158720382366018,"no","",4.3044385421871e-08,"up","BRAF (depleted, 42% vs 68%)","",492
"PKN2",4,0.0389422495193347,"no",-0.248355196494989,0.152590113929416,2,0.0801742643026476,"no","",9.61961043379232e-15,"down","BRAF (depleted, 48% vs 62%)","",492
"C15orf55",5,0.0390617237206237,"no",NA,NA,0,NA,NA,"",NA,NA,NA,NA,NA
"COPS7A",5,0.0390843790689899,"no",0.041014609965255,0.175426391224733,2,0.264458199290626,"no","",0.831167297436621,"down","","",492
"CDK13",3,0.0392283353280388,"no",-0.0605921913895047,0.194893733818884,0,NA,NA,"",8.23743306024054e-11,"down","","",492
"UBR7",5,0.0394368102571875,"no",-0.0350325380660426,0.0906280127876433,2,0.949769407678235,"no","",5.02650718915541e-07,"down","","",492
"ATP6V1G2",5,0.0394482188911604,"no",0.0248028016367226,0.215236573989927,2,0.273074664503185,"no","",4.31927943354149e-13,"down","BRAF (depleted, 40% vs 70%), HRAS (enriched, 7% vs 2%), NRAS (enriched, 15% vs 4%)","",492
"KCTD10",5,0.0395853173010327,"no",-0.292639491878657,0.319131901321633,2,0.0191347585054001,"no","",3.40702179050246e-13,"down","BRAF (depleted, 38% vs 72%)","",492
"PDE1A",5,0.0396082020224053,"no",-0.157602715565941,0.165095978472368,2,0.91159648409866,"no","",0.368289695420825,"up","BRAF (enriched, 64% vs 46%)","",492
