"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"MAST2",10,2,0.236403155257582,"no",-0.0893914000418433,0.166731817017072,-0.44116267263787,0.152496581819607,8,2,0.65433133526361,"no","","yes",0.00892857142857143,336
"IRF6",9,2,0.250787770026113,"no",-0.0568204561128005,0.0991070105942197,0.00488493770438915,0.0537323650274288,7,2,0.717343880904156,"no","","yes",NA,336
"SRGAP3",10,2,0.25405830630223,"no",0.0395684269532904,0.0936730783813265,-0.231746648315693,0.145182065057046,9,2,0.422312043456432,"no","CM_Act,MESO_Act","yes",0.00595238095238095,336
"ACSL6",12,2,0.260630334695915,"no",-0.0682599321967176,0.186204298197564,0.0100111783665093,0.0135102702892997,9,2,0.563142189049797,"no","","yes",0.00595238095238095,336
"TEX14",10,3,0.275715970435538,"no",0.130575709558908,0.0897203907605034,0.23099769428101,0.126629728237823,9,1,NA,NA,"","yes",0.00297619047619048,336
"REV3L",10,2,0.276312635745187,"no",-5.92295530640503e-05,0.0982302324808796,-0.0926208218840848,0.0603913914845712,9,2,0.469261057662043,"no","","yes",0.00892857142857143,336
"ITGAX",12,2,0.288570718406854,"no",0.0478700668417107,0.151524461277219,0.0206585644396722,0.0338561488341777,10,1,NA,NA,"","yes",0.00892857142857143,336
"LRRC69",9,2,0.292374897932468,"no",-0.0547296896732546,0.132304571329963,-0.00776122551767575,0.0742319976336711,0,0,NA,NA,"","yes",NA,336
"MYO3B",12,2,0.297141321298702,"no",-0.0107921879042193,0.176025709323791,0.13417919444206,0.0764085238005945,9,2,0.371074345208043,"no","","yes",0.00595238095238095,336
"VHL",4,2,0.297930197052429,"no",-0.0295849128879696,0.188214707032733,-0.126413858305832,0.108436440325706,2,1,NA,NA,"RCCC_LoF,THYM_LoF","yes",0.172619047619048,336
"PREX2",8,2,0.299239171338932,"no",0.194929887520661,0.231384381242486,-0.0399530317327488,0.0496190582137291,8,1,NA,NA,"BLCA_Act,BRCA_Act,CM_Act,DLBCL_Act,ESCA_Act,PRAD_Act","yes",0.00297619047619048,336
"RIPK4",12,2,0.3140154059289,"no",0.146686871425031,0.16679291901189,0.163502447235665,0.143762822206238,9,2,0.70629781301569,"no","","yes",0.00297619047619048,336
"ANK1",11,2,0.319102589809981,"no",0.0699261082006819,0.136621732268614,0.156187525719865,0.0723594707612721,9,2,0.565656059884965,"no","","yes",0.00297619047619048,336
"DDX10",9,2,0.350251887687528,"no",-0.667941588801992,0.475247964032679,-0.843750817639753,0.300228888952167,8,2,0.490066322844126,"no","","yes",0.00297619047619048,336
"ZFHX3",11,2,0.358110603904177,"no",-0.318982857330513,0.305663291650737,-0.14215644789225,0.270517404515175,8,3,0.657835893898501,"no","BLCA_LoF,BRCA_LoF,DLBCL_LoF,MM_LoF,PAAD_LoF,PRAD_LoF,THYM_LoF,UCEC_LoF,VV_LoF","yes",0.00892857142857143,336
"STK10",8,2,0.374268493961624,"no",-0.0219200078961777,0.11342567394448,-0.030128340642859,0.0335301757162368,7,2,0.0750573883323982,"no","","yes",0.00297619047619048,336
"KDM3A",10,2,0.374471687476274,"no",NA,NA,NA,NA,8,2,0.852774403035958,"no","","yes",0.00297619047619048,336
"EPB41L2",10,2,0.385786891606509,"no",0.0444364584492136,0.161267397380256,-0.0204209898302139,0.0747041873694323,9,2,0.496801086329496,"no","","yes",0.00297619047619048,336
"RICTOR",8,3,0.388810090567156,"no",NA,NA,NA,NA,7,3,0.643121516537286,"no","","yes",0.0119047619047619,336
"ALPK3",10,2,0.390383917216721,"no",0.0390081531266428,0.0995254127877829,0.0246564382671576,0.0779448609726265,9,2,0.424922954605936,"no","","yes",0.00595238095238095,336
"PIK3C3",12,2,0.427423605664892,"no",-0.345759780866855,0.148246956270848,-0.386354431114227,0.262847189269419,10,1,NA,NA,"","yes",0.00892857142857143,336
"SORL1",10,2,0.430996772537818,"no",-0.0277495333346875,0.227450573365812,0.172907355324967,0.00594803233564203,8,2,0.426807202845314,"no","","yes",0.0119047619047619,336
"KLHL38",10,2,0.433956455027552,"no",0.0964774851130775,0.0924878154707396,0.236384248090461,0.000168954735481536,7,2,0.773015836476287,"no","","yes",0.00595238095238095,336
"FER1L6",10,2,0.435721306373088,"no",0.0581418441479179,0.285503254613404,0.11717272148397,0.121408972457963,8,2,0.719729837229778,"no","","yes",0,336
