"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"WDR49",19,2,0.560959510241268,"no",-0.0786087731400968,0.149843905573031,-0.092652451080478,0.103935799072262,0,0,NA,NA,"",0.567405235832988,0.0218579234972678,183
"CASC1",15,7,0.561669002042117,"no",0.0631279622592621,0.111689499036326,0.0314037973194166,0.0903845084031714,11,7,0.0109683944931592,"no","",0.0520114847880149,0.0437158469945355,183
"KPNA2",19,2,0.56214470021353,"no",-0.113122458261935,0.110005702567458,-0.048753911745405,0.068894763043595,16,2,0.401636324801433,"no","",0.00801558674931953,0.0163934426229508,183
"PHRF1",18,2,0.562480477425279,"no",0.0801914649273303,0.117913019623012,-0.054761979938629,0.0124499565389578,16,1,NA,NA,"",NA,0.00546448087431694,183
"RARRES1",17,3,0.562495171264739,"no",-0.123715375803688,0.170454222177897,-0.11495244805759,0.0146027641915213,14,3,0.349735079395437,"no","",0.490043396333232,0.0218579234972678,183
"KLHL24",18,2,0.562841528855072,"no",0.121000064385941,0.0891848492063199,0.0479893610869871,0.068448905590104,16,2,0.460735689305085,"no","",0.0544061755956585,0.0163934426229508,183
"CBX1",19,2,0.563418967522263,"no",0.0695077105288008,0.0945524022455266,0.0903922594780188,0.0126551346308252,17,1,NA,NA,"",0.0190691488200602,0.0273224043715847,183
"RBP1",19,3,0.56453618904723,"no",-0.0837513911474438,0.142803730465514,-0.143879422339961,0.13674309601198,15,3,0.874335269040373,"no","",NA,0.00546448087431694,183
"MRAS",18,2,0.564705059207728,"no",0.0183364793496233,0.162058607166891,-0.0318027910368549,0.0199298349455757,16,2,0.908979220812765,"no","",NA,0.00546448087431694,183
"GAPDHS",20,2,0.56662911196459,"no",0.0706192773669644,0.111402249606469,-0.0476852007392521,0.0462555733015403,17,1,NA,NA,"",0.0236110938141487,0.0327868852459016,183
"EIF3H",19,2,0.567602318770781,"no",-0.32944849578758,0.358357056581571,-0.302305591809996,0.190377952698846,16,2,0.545771721271775,"no","",3.92157539286364e-06,0.0765027322404372,183
"IFT80",19,2,0.568131742965405,"no",0.0824614473688038,0.0698745265129964,0.0167628414084523,0.0530574857055979,16,2,0.496847148670899,"no","",0.0717799977958289,0.0218579234972678,183
"CPN2",19,3,0.569141349186242,"no",0.0306278754301839,0.126133843248681,0.0649632303507234,0.0827219290460796,15,3,0.217502170187075,"no","",0.679610420076796,0.0163934426229508,183
"SIRT2",18,3,0.569336824937165,"no",-0.0595236272272991,0.126295281539788,-0.0485694151306054,0.133467613071042,15,2,0.116272348717379,"no","",5.32869833316039e-07,0.0765027322404372,183
"FCGR2C",20,2,0.574486655895554,"no",0.0131103089431462,0.0878789232998891,-0.0868898422519839,0.122561191764403,0,0,NA,NA,"",0.99297354847724,0.0327868852459016,183
"NGFR",18,3,0.576711340298529,"no",-0.0318894757660287,0.101135881015535,-0.20577381996993,0.145040455891027,15,3,0.628795819695695,"no","",0.666788703727787,0.0163934426229508,183
