"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"SLX4",29,0.121713559894863,"no",-0.145149702958473,0.237502842612723,22,3.6021525456e-06,"yes","","","",467
"SFTPA2",31,0.121954954392886,"no",-0.0369764799973106,0.21024536646289,22,0.99923944651259,"no","","","",467
"RRAS2",35,0.122034501510131,"no",0.0734193888954796,0.114270399628099,26,0.954508569634968,"no","UCEC_Act","","DNAH5 (enriched, 16% vs 6%), MUC16 (enriched, 12% vs 3%)",467
"ANKRD32",32,0.122838338329705,"no",NA,NA,0,NA,NA,"",NA,NA,467
"PTPRA",33,0.123167254619468,"no",-0.0695804028456661,0.130632375135681,24,0.999996905033368,"no","","","DNAH5 (depleted, 6% vs 16%)",467
"L3MBTL3",31,0.123198964018645,"no",0.121618554985556,0.144736120144196,21,0.999999906358548,"no","","","",467
"KCTD13",35,0.12338135083666,"no",0.0165995730761466,0.222880213583183,26,0.99999964835244,"no","","","",467
"RBBP5",33,0.123571517346058,"no",-0.224794732884541,0.151524374957433,24,5.22057655955609e-16,"yes","","","",467
"ASAP2",35,0.123649192848705,"no",0.0312461170053696,0.223803877987617,26,0.999999966909029,"no","","","",467
"ATP6V1A",35,0.124334913438497,"no",-0.57854518820398,0.37203481086131,26,3.14391854247614e-18,"yes","","","",467
"BCL11B",32,0.125128206355582,"no",-0.0296127902904365,0.121690931931997,24,0.999991214087088,"no","DLBCL_Act,GBM_Act,PAAD_Act,VV_Act","","",467
"AKT2",34,0.125352024069353,"no",0.117627008559231,0.130090100528086,25,0.597882208737596,"no","","","",467
"PRDM8",33,0.125509340477101,"no",-0.0116065202967515,0.151818310621546,24,0.829832667447139,"no","","","",467
"FHOD3",34,0.125773941956904,"no",0.0253338132936154,0.262808844138855,25,0.961730247452089,"no","","","",467
"CNBD1",32,0.125942390349067,"no",0.0098225613740404,0.232650961739545,23,0.999999999999707,"no","","","",467
"VPREB3",33,0.126464085594575,"no",-0.0255407766487101,0.194860477684614,25,0.99252172184999,"no","","","",467
