"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"RNF43",33,3,0.561159282841086,"no",-0.51460703906069,0.25800942714149,-0.272703673302752,0.109695490531294,24,2,0.712072344145861,"no","ALL_LoF,CH_LoF,COREAD_LoF,ESCA_LoF,PAAD_LoF,PRAD_LoF,ST_LoF,UCEC_LoF","yes",0.0171306209850107,467
"SLAMF7",31,2,0.56177689202147,"no",-0.141066501839154,0.177805840489163,-0.252622683312932,0.0495775241143235,23,1,NA,NA,"","yes",0.0235546038543897,467
"CERK",33,2,0.561949925360927,"no",-0.0371304153442306,0.287871129316612,0.0181683532434687,0.0692058674021914,23,2,0.700808102412259,"no","","yes",0.00428265524625268,467
"COL4A4",29,6,0.562083283657325,"no",0.0506433056918695,0.190397514991631,-0.0118637967920833,0.222172215351703,21,4,0.491806966750205,"no","","yes",0.224839400428266,467
"STARD7",33,2,0.562668535731363,"no",-0.0614886161177586,0.160655427769495,0.105414354552365,0.155827705653949,24,2,0.520693566917923,"no","","yes",0.00428265524625268,467
"DACH1",32,3,0.562915466858941,"no",0.0273123821011789,0.191559460774027,0.085619479275296,0.251551236213062,24,2,0.965267810326864,"no","","yes",0.0792291220556745,467
"MYF5",33,2,0.563493121669803,"no",0.0711594381644004,0.213499447690935,0.154080146062944,0.008236993752331,24,2,0.637736062342669,"no","","no",0.0406852248394004,467
"SETD7",33,2,0.563953247018204,"no",-0.0046626213514017,0.0874592582096374,0.0500336236848247,0.0280167966815096,24,2,0.811953826956783,"no","","yes",0.00856531049250535,467
"MADD",31,3,0.564181123699709,"no",-0.0763930047273922,0.21522846865767,-0.245114153608185,0.169418558152726,23,2,0.4774519518727,"no","","yes",0.0385438972162741,467
"ARHGAP21",31,3,0.565421287307462,"no",-0.0395045806637594,0.121165207202275,-0.0567860432984884,0.105498280344207,24,2,0.62442693093762,"no","","yes",0.0513918629550321,467
