"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"RAD54B",11,0.220424216280208,"no",0.0495070132670564,0.111951001882318,8,0.998273722812257,"no","","","",434
"GTF3C2",11,0.220501957133708,"no",-0.399947532317129,0.105347004723066,8,1.93952079582431e-06,"yes","","","BRCA1 (depleted, 1% vs 9%)",434
"DHX57",14,0.220798229978273,"no",-0.0291040465236197,0.152218928536868,9,0.0845931668524511,"no","","","",434
"VCAM1",11,0.220839158722037,"no",0.0871331934614804,0.141383896476303,8,0.676636056842551,"no","","","",434
"KTN1",15,0.220853377157351,"no",-0.0472167877903618,0.134138836379185,9,1.00000000000028,"no","","","",434
"ABCC2",13,0.220928797692651,"no",-0.0106427423347036,0.102450926820485,8,0.586495822127789,"no","","","",434
"BCL2L2",12,0.221079161623121,"no",-0.0238379602486333,0.168950732469261,9,0.00153642906227335,"no","","","",434
"TPH1",11,0.221174499249743,"no",0.00388528205342661,0.0345187655618905,9,0.483096286016005,"no","","","",434
"ZFP36L2",10,0.221287089609781,"no",-0.0365104395397313,0.060775176062405,8,0.00800806319840593,"no","","","",434
"PRKACG",14,0.221409602768362,"no",-0.066935339189181,0.256047751716884,9,0.0165018842047305,"no","","","",434
"TMEM19",11,0.221537314679339,"no",-0.00915607936688184,0.0840752482107191,8,0.941634580474924,"no","","","",434
"ARL16",11,0.221620707474649,"no",-0.18760517490296,0.23064379254191,7,0.829603683427595,"no","","","",434
"CORO1B",11,0.221671862307593,"no",-0.0986533373945598,0.242722993309817,8,0.390983854272287,"no","","","",434
"TNS3",15,0.221702138589472,"no",-0.0476024004655242,0.190540261226509,9,0.0012913243597116,"no","","","",434
"C8orf46",13,0.222165326441013,"no",-0.213702678678786,0.331840018911477,0,NA,NA,"",NA,NA,434
"SERPINE2",14,0.222287890193564,"no",-0.0178594576814675,0.0886071860367549,9,0.957246312053151,"no","","","",434
"ZBTB10",14,0.222329463090173,"no",-0.0542260677786549,0.0944030062775922,8,0.995825102474814,"no","","","",434
"ARNT2",14,0.222536411702867,"no",0.112718302008854,0.146847249427605,9,0.996165582055358,"no","","","BRCA1 (depleted, 1% vs 9%), FLG2 (enriched, 6% vs 0%), TTN (depleted, 6% vs 19%)",434
"LRRC3B",14,0.222570092755245,"no",-0.0232893340023632,0.125583679361699,8,0.530295384562344,"no","","","",434
"NKX2-1",11,0.222608457581259,"no",0.0160962020905738,0.128150292169444,9,0.999991345437306,"no","LGG_ambiguous","","",434
"RAB35",14,0.222676355503861,"no",-0.234178811562123,0.353864730880771,9,0.900010708117476,"no","","","",434
"DNAJC5",9,0.222793090278909,"no",-0.0544117144666123,0.0938916163196645,6,0.900794678199892,"no","","","",434
"UBE2L3",14,0.222957504703563,"no",-0.181042895017052,0.302105371610512,8,1.82137897578191e-07,"yes","","","",434
"PAMR1",13,0.223339144740457,"no",NA,NA,8,0.98975376736501,"no","","","",434
"TNFRSF21",13,0.223832764465423,"no",-0.0190749316988256,0.165303663882004,8,0.999966543331973,"no","","","",434
"RCOR2",12,0.224218165716956,"no",-0.0852585077758598,0.157286809358361,9,0.00390913324680777,"no","","","",434
"AADAT",13,0.224442197210979,"no",0.128897918449465,0.173033145379921,8,0.998507560757659,"no","","","",434
"FZD6",14,0.224644572234196,"no",-0.0164999797624011,0.296179084129866,8,0.998497727257129,"no","","","",434
"SMARCA2",11,0.224688031265039,"no",-0.0479825498251564,0.125925863731767,9,0.99993914951793,"no","","","",434
"CENPA",12,0.224773233864762,"no",-0.160318675935875,0.103806092019424,9,2.61657199725831e-10,"yes","","","",434
"CLCNKA",14,0.224830286743796,"no",0.047929222110341,0.168406402102163,9,0.978924225187521,"no","","","",434
"ABCA10",14,0.224905467625406,"no",-0.303512026336412,0.226152323709946,9,0.999999979553945,"no","","","",434
"SFRP4",13,0.225005122618792,"no",-0.000769896114910631,0.0657257853420219,8,0.870540127322096,"no","","","",434
"NCR2",14,0.225114146159344,"no",0.0123677182003736,0.184959225498683,8,0.00302570677113674,"no","","","",434
"FRMPD2P1",11,0.225649266333477,"no",NA,NA,0,NA,NA,"",NA,NA,434
"HERC3",12,0.225684486570714,"no",-0.0689059645974804,0.377345979700365,9,0.976962990494125,"no","","","",434
"KCNK5",14,0.225703170101763,"no",-0.0386574130370878,0.162172650622485,9,0.914016225675528,"no","","","",434
"CCL4",14,0.22576602686423,"no",-0.0500681937025844,0.249131088125777,9,0.526440095802505,"no","","","",434
"CCL4L1",14,0.22576602686423,"no",NA,NA,0,NA,NA,"",NA,NA,434
"CCL4L2",14,0.22576602686423,"no",NA,NA,9,0.128231925182072,"no","","","",NA
"AKT2",10,0.225767701996119,"no",-0.0032364591003207,0.11310137148659,9,0.342242719896735,"no","","","",434
"HNF4G",13,0.226043635098401,"no",-0.125243113589357,0.0865721210168733,8,0.987752587228418,"no","","","",434
"WDR36",10,0.226299281864257,"no",-0.67729563612229,0.27041760140476,7,0.866805762588311,"no","","","",434
"RPS6KA4",10,0.226421716260989,"no",0.0156518639725582,0.121529030046926,8,0.641192639075416,"no","","","",434
"MERTK",14,0.226671953152066,"no",-0.222377553064747,0.20124341084161,8,0.0984572138899819,"no","","","TTN (depleted, 7% vs 18%)",434
"GJD4",14,0.226682553023198,"no",-0.238534648717786,0.241585279373915,9,0.00669879287569621,"no","","","",434
"PRDM4",11,0.226825960821235,"no",-0.112432143115688,0.206159217127367,7,0.998986859492488,"no","","","BRCA1 (depleted, 1% vs 9%)",434
"UBL5",15,0.226993902067238,"no",-0.860535746763969,0.666245856511054,9,1.49046654255528e-15,"yes","","","",434
"SOX7",12,0.227136465056035,"no",-0.0161345150851107,0.196497597218267,9,0.999957250588783,"no","","","",434
"USF2",9,0.227295393128186,"no",-0.068882949085584,0.171922805362885,8,5.3458356871268e-07,"yes","","","",434
"KCNK12",14,0.227376974920926,"no",-0.0268721052022319,0.267508809028255,9,0.00578941151549247,"no","","","",434
"SOX9",11,0.227465027236835,"no",0.0210735977725259,0.167986856283868,9,0.0169170967110953,"no","COREAD_LoF","TTN (depleted, 20% vs 42%)","",434
"FAM20B",12,0.227508020684194,"no",-0.0437079614820751,0.179372689953709,7,0.295983589870507,"no","","","",434
"MC3R",10,0.227652948303202,"no",0.0748692522985872,0.0839627477089987,7,0.999339435769364,"no","","","",434
"FAM132A",13,0.227680717855236,"no",NA,NA,0,NA,NA,"",NA,NA,434
"BARX1",12,0.227883640696386,"no",-0.0236740514958986,0.169377261489755,9,0.948448509372552,"no","","","",434
"THBS1",15,0.228123645020835,"no",0.0930851855508252,0.105330741062119,9,0.50125248745818,"no","","","",434
"AGAP7",15,0.228225549176823,"no",NA,NA,0,NA,NA,"",NA,NA,434
"AGAP8",15,0.228225549176823,"no",NA,NA,0,NA,NA,"",NA,NA,434
"AGAP9",15,0.228225549176823,"no",-0.0804781314770819,0.118117573264096,9,0.0215066538852163,"no","","","",434
"KCNK4",14,0.228271952264479,"no",NA,NA,8,0.000323197107413075,"no","","","",434
"TNFRSF1A",9,0.22829494382148,"no",0.00195575862065651,0.0563092214399144,6,0.998933613226439,"no","","","",434
"DGKI",11,0.228304420648043,"no",-0.0462584189175999,0.148002177218078,7,0.999480063402891,"no","","","",434
"LDHB",12,0.228408473370874,"no",-0.0394735115218709,0.136672812391567,7,0.999297986042888,"no","","","",434
