"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_expression_in_50pc_tumor_samples","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"ANKRD30B",22,4,0.718718849942893,"no",-0.140352332402858,0.277029664245575,-0.15344582271083,0.274850285398301,16,2,0.820188574125842,"no","","no",0.0493827160493827,567
"SS18",24,2,0.720183915259242,"no",0.0314887197145124,0.0783356625541528,0.0703518641059749,0.0149619844239772,15,2,0.594877365973752,"no","","yes",0.00881834215167548,567
"CSMD1",16,11,0.721054103978855,"no",-0.190321520950972,0.222882035993263,-0.161616029591316,0.303944571988833,10,8,0.883882128353155,"no","","yes",0.17636684303351,567
"GRIN3A",25,2,0.72324483906218,"no",-0.0655858862703957,0.149552060844781,-0.299066207914372,0.0665858021650579,17,1,NA,NA,"","yes",0.0529100529100529,567
"DCAF4L2",20,5,0.723364760730076,"no",-0.0337390576177346,0.110156372203954,-0.00604345589380345,0.0158946561630824,12,4,0.297677696245478,"no","","no",0.0687830687830688,567
"FLT3",23,3,0.72347529774849,"no",-0.0683958319587416,0.112708010043294,-0.0134966066547075,0.01204593528591,15,3,0.603307853822032,"no","ALL_Act,AML_Act","yes",0.0317460317460317,567
"DHTKD1",23,3,0.723792389046647,"no",0.0812469659194433,0.107821422559155,0.128083193397403,0.125537513093553,16,1,NA,NA,"","yes",0.017636684303351,567
"AGXT",26,2,0.725567995593408,"no",0.0763184747377604,0.167720856595603,0.14115431115727,0.0113196953884685,18,1,NA,NA,"","no",0.00881834215167548,567
"SLC6A15",24,4,0.729154245132717,"no",-0.00948715501754478,0.140261345219188,0.0507790227821876,0.199463957600539,17,2,0.888746514669581,"no","","yes",0.0352733686067019,567
"DAPK1",25,2,0.731106592397289,"no",-0.0250541687230842,0.191989349287828,0.0233291294519035,0.0414529339861461,17,1,NA,NA,"","yes",0.0194003527336861,567
"PREX2",22,3,0.731652421096673,"no",0.0841428757879136,0.113829839570266,0.140131842257077,0.323002109434087,14,2,0.666546375256825,"no","BLCA_Act,BRCA_Act,CM_Act,DLBCL_Act,ESCA_Act,PRAD_Act","yes",0.0458553791887125,567
"NLGN2",26,2,0.733005862272735,"no",-0.0767820689354592,0.185218888146848,-0.0326564253337954,0.0307781733697522,18,1,NA,NA,"","yes",0.00529100529100529,567
"GPR149",25,2,0.733154137209661,"no",-0.142260244270203,0.145265902622741,-0.152423820252326,0.012701233691986,17,1,NA,NA,"","no",0.0211640211640212,567
"TBX18",25,3,0.733323850535745,"no",-0.0461759245900392,0.0914852466231612,-0.00462132812383744,0.0365107375311366,17,2,0.356048099976895,"no","","yes",0.0299823633156966,567
"SLC44A5",21,4,0.735546295013813,"no",0.0951867995301545,0.187156432593042,0.147653136204919,0.288583503516081,13,3,0.508456923644176,"no","","yes",0.0388007054673721,567
"LIMK1",23,4,0.737139412078996,"no",-0.0158211019200797,0.145285665083785,0.071111959344491,0.139311803883613,16,2,0.688965588014095,"no","","yes",0.00352733686067019,567
"ISL1",25,2,0.737632939151746,"no",0.0458159075657564,0.120504206430422,-0.00053879654040055,0.0172356647929314,17,1,NA,NA,"","yes",0.0229276895943563,567
"CIT",23,3,0.737918050566931,"no",-0.286737725489587,0.266216430482331,-0.221606529439304,0.184088714882416,16,2,0.40460089430211,"no","","yes",0.0211640211640212,567
"LRP1",23,4,0.73827268042629,"no",-0.171039737827299,0.291594711799978,-0.0903055060105849,0.079145699401441,15,4,0.475104820701021,"no","","yes",0.0617283950617284,567
"MCMBP",26,2,0.740348972959515,"no",-0.118651653820514,0.100690477530611,-0.296439635822155,0.411581401913999,18,1,NA,NA,"","yes",0.00705467372134039,567
"DHX16",26,2,0.74041700419588,"no",-0.501475758311213,0.428943581608291,-0.343907713789676,0.237379622661412,17,2,0.527190836567294,"no","","yes",0.00705467372134039,567
"ABCD4",24,2,0.740626778627053,"no",-0.0678253836842185,0.154310270092244,-0.0226469253686542,0.0604347657544345,15,2,0.537103121631812,"no","","yes",0.00705467372134039,567
"KCNA5",24,3,0.740695750662342,"no",0.0633395371947137,0.083941241750815,0.0750811317831545,0.0511021207037161,17,2,0.414191352226036,"no","","yes",0.0440917107583774,567
"MEF2A",23,2,0.740773259628564,"no",0.0143051167084065,0.196003419412916,-0.0133916458453873,0.0232478716302279,15,2,0.458922517270786,"no","","yes",0.0017636684303351,567
"UNC5C",25,2,0.741882746078555,"no",-0.0156137832709827,0.148053305222634,-0.0213407040983902,0.120247382653969,17,1,NA,NA,"","yes",0.0317460317460317,567
"MUC1",24,2,0.743515344039797,"no",-0.0758496556310785,0.345938992639201,-0.189616855271015,0.256953457045518,16,1,NA,NA,"","yes",0.0017636684303351,567
"PHF3",25,2,0.744471812978808,"no",-0.186460303747988,0.183852519288304,-0.0792042971182758,0.0482484569764641,17,1,NA,NA,"","yes",0.037037037037037,567
"PASK",23,4,0.744618493522123,"no",-0.0865625181770926,0.119898822465842,-0.120107995651042,0.218029673912227,15,3,0.219209272731611,"no","","yes",0.0194003527336861,567
"RAG2",25,2,0.744950438496929,"no",-0.0044597690686664,0.126797319195981,0.0504538072039937,0.0842903159611303,17,2,0.20042791381851,"no","","no",0.0141093474426808,567
"SEMA4A",24,2,0.749138840338858,"no",-0.0183273489328304,0.179655846812654,0.0111893575397659,0.0138192060535225,15,2,0.817000545043681,"no","","yes",0.00881834215167548,567
"CCNT2",25,2,0.750162288588557,"no",-0.00676904901116504,0.151047372461512,-0.0272225929947749,0.0297071819858968,18,1,NA,NA,"","yes",0.0105820105820106,567
"CAMK4",25,2,0.751237929732586,"no",0.050618079348593,0.107220948957373,-0.0519353998564404,0.0737792283692776,17,1,NA,NA,"","yes",0.0194003527336861,567
"HTR1E",26,2,0.752276918229103,"no",-0.016741777023852,0.14276092020698,-0.0201628541602775,0.0433510726215295,17,2,0.567516337599618,"no","","no",0.0335097001763668,567
"RICTOR",18,2,0.752772891715679,"no",NA,NA,NA,NA,11,2,0.707883075107561,"no","","yes",0.0264550264550265,567
"ACACB",23,5,0.75302837591631,"no",-0.0247635428155812,0.0855342634988721,-0.0537154602021167,0.100337649584266,17,2,0.337800586130003,"no","","yes",0.0335097001763668,567
"PLEKHH2",26,2,0.753617811916681,"no",-0.0102781368229363,0.171584832203197,-0.0227748597692352,0.0028396562574361,18,1,NA,NA,"","yes",0.0194003527336861,567
"ABCB11",22,4,0.753976840907449,"no",-0.0137530126134636,0.10040583626048,-0.00813025079938055,0.232779174602206,15,2,0.313313214718826,"no","","yes",0.0388007054673721,567
"BCHE",23,2,0.754282743760352,"no",0.165377977123685,0.14206280119357,0.117819224126792,0.0716686420529086,17,0,NA,NA,"","yes",0.0476190476190476,567
"PPFIA4",25,3,0.756734898650464,"no",0.017959867192024,0.256654903079153,-0.0145916624453683,0.175546731549224,0,0,NA,NA,"","yes",0.017636684303351,567
"ATP10D",26,2,0.756939189745937,"no",-0.183538334904763,0.252372739112032,0.0255471825873877,6.58828957063526e-05,17,2,0.415831181271254,"no","","yes",0.0440917107583774,567
"COL5A2",22,4,0.757645074031854,"no",0.0728580300750367,0.0766300662082597,0.159208994613275,0.0687358147487119,15,2,0.536346050688782,"no","","yes",0.0828924162257496,567
"SEMA3A",23,2,0.757666672896334,"no",0.0538044675286966,0.0984992735657242,-0.110886323006299,0.074221452482143,14,2,0.550302519549964,"no","","yes",0.0423280423280423,567
"ANKRD36",22,3,0.757895134861159,"no",0.0727607192026066,0.13924327089089,0.125996623129062,0.161905480464551,0,0,NA,NA,"","yes",0.0105820105820106,567
"PELP1",25,2,0.758378217832012,"no",-0.304252002997657,0.235299851910972,-0.209666600836259,0.0903628145250375,17,1,NA,NA,"","yes",0.0141093474426808,567
"VLDLR",23,2,0.75912158259175,"no",-0.0315254836672883,0.179499460554982,-0.00172847358698295,0.0985477800439751,15,2,0.186126991317686,"no","","yes",0.00881834215167548,567
"MUTYH",25,2,0.759870732539253,"no",0.00848055043110383,0.301296212054852,0.0588814327726474,0.0893995761665366,17,1,NA,NA,"","yes",0.00881834215167548,567
"TET3",25,3,0.759957724020572,"no",0.00800408517169127,0.0520606389133989,-0.13583328333696,0.102813740205652,17,2,0.346347847733852,"no","","yes",0.0211640211640212,567
"COL16A1",25,3,0.760195973800684,"no",-0.0133969910980712,0.102072146852254,0.0544554767176657,0.062864775437802,18,1,NA,NA,"","yes",0.0246913580246914,567
