"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"ALX3",24,3,0.34778153698519,"no",0.0378396904894626,0.132509433942636,-0.0164415311065005,0.140603039011324,15,3,0.718758504546818,"no","",NA,0,511
"EPN2",25,3,0.349391830510434,"no",-0.203501635168694,0.206364493252518,-0.247111478933559,0.141374727571826,17,2,0.631653112879465,"no","",0.000878165594997232,0.0136986301369863,511
"FOXN3",24,4,0.350498122533561,"no",-0.007208292130223,0.0725078077778898,0.0201878976442561,0.0441863593304215,16,3,0.182062732816618,"no","",0.000330943848757133,0.00978473581213307,511
"CACNG6",26,2,0.351083852104218,"no",-0.0196424725704177,0.167935691801156,-0.111830249257415,0.0633337110576895,17,2,0.639052313138832,"no","",0.428288785936176,0.00587084148727984,511
"CLDN16",25,2,0.351936478867979,"no",0.0767052071797306,0.130749021888718,0.199667293820155,0.0300573133995275,17,1,NA,NA,"",0.20628031900548,0.0176125244618395,511
"CAPZA2",25,3,0.35244158103314,"no",0.0365298385037898,0.129671258402439,0.171151582812343,0.0978931650898393,16,3,0.786008171700175,"no","",3.4285242209584e-07,0.0195694716242661,511
"E2F1",26,2,0.353029292466599,"no",-0.0441665722482661,0.230872947515213,-0.114932519922007,0.0668775776676806,17,2,0.56403867036573,"no","",0.0161414600305916,0.00587084148727984,511
"PMP2",24,3,0.353948051219819,"no",-0.136086181749895,0.193824191180047,-0.0912859010729985,0.0551435404029765,15,3,0.36577320391683,"no","",0.501599608419368,0.0489236790606654,511
"OVOL1",25,3,0.354039212359378,"no",-0.0056459008552911,0.154770861622889,-0.0678166088272529,0.0608452634927699,16,3,0.542545776166386,"no","",NA,0.00195694716242661,511
"ZBTB45",25,3,0.354069026364945,"no",-0.216741955335735,0.177430329636162,-0.333393904328223,0.283650551459622,16,3,0.204204119027012,"no","",NA,0.00195694716242661,511
"ADCY8",22,2,0.356606487848047,"no",-0.0159598210666845,0.0804651896685747,-0.0453998955160308,0.0113852324643503,15,2,0.0966804449879209,"no","",0.15285386604501,0.0626223091976517,511
"RELA",25,3,0.356815782951484,"no",0.00514452468364836,0.181475628692131,-0.016182916978062,0.0813665911177348,16,3,0.372218277129575,"no","ST_Act",NA,0.00195694716242661,511
"SS18L1",23,5,0.357250819852459,"no",0.117518810964383,0.140663865857641,0.158329531742464,0.235090399168034,14,5,0.396767929296806,"no","",6.51945273280317e-08,0.0410958904109589,511
"STEAP1B",25,3,0.357315113346455,"no",-0.071655086693076,0.235228227398473,-0.0659350671703934,0.217136393294316,17,2,0.608179915832102,"no","",0.165356089581658,0.0293542074363992,511
