"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_amplification_associated_with_overexpression","tcga_amplification_frequency","tcga_nrSamplesInGisticData"
"UGT3A1",8,2,0.534371403826781,"no",0.0937753102971225,0.0838446618439239,0.0311867265602254,0.0258119572282926,7,2,0.60857495366326,"no","",0.0207813170364699,0.104722792607803,487
"EIF5A2",8,2,0.53462310429433,"no",-0.0413279872737912,0.103100801934129,0.00912004347862135,0.0123661442636835,7,2,0.360853971387905,"no","",1.82901150794027e-18,0.359342915811088,487
"C8orf86",7,2,0.536651192298969,"no",0.0057588310937942,0.200842622095001,0.0123684266752875,0.0117957639261488,7,2,0.438396122354469,"no","",7.62835778910008e-06,0.158110882956879,487
"TCHH",7,3,0.544136388790041,"no",0.0259297294716719,0.140118704148891,0.0705646787439492,0.121992505826,6,3,0.183532721048407,"no","",0.00755952787841373,0.0431211498973306,487
"KPNA7",7,2,0.544527430675315,"no",0.051992889377272,0.142546692838526,0.0668546477211786,0.0291037693209424,7,2,0.199442888162784,"no","",0.524168376565655,0.0431211498973306,487
"MFI2",5,5,0.545898557768945,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.31006160164271,487
"HSPA1A",7,2,0.549373001846316,"no",-0.162760557193209,0.110409287205956,-0.0812665382889364,0.00094985878469761,6,2,0.383653877639602,"no","",0.3970814797918,0.00410677618069815,487
"OR2T34",4,6,0.554414479719142,"no",NA,NA,NA,NA,4,5,0.316141064924186,"no","",NA,0.0225872689938398,487
"GPIHBP1",8,2,0.55780439658747,"no",-0.174919467013213,0.175331718006163,-0.25471970006643,0.210617484784025,7,2,0.431887941846461,"no","",0.820311033145369,0.0472279260780287,487
"FZD1",6,2,0.559621566228711,"no",-0.0555105994127994,0.0958983637100188,-0.10182659656294,0.102891419578761,5,2,0.436267691014986,"no","",0.00207424356379287,0.0390143737166324,487
"SEMA3A",8,2,0.5601359369993,"no",0.0125027475301272,0.180062396985717,-0.0604494354660481,0.049682793357639,7,2,0.379582308377449,"no","",0.0022030457644762,0.0328542094455852,487
"PLOD3",7,2,0.560880620942926,"no",0.0521123624920949,0.0694887829468504,-0.0206138941945503,0.00739653683805325,7,2,0.317107538920597,"no","",1.61307746917938e-05,0.0390143737166324,487
"RAPGEFL1",8,2,0.561866543730605,"no",-0.153346652461541,0.294057412895013,-0.267712267814837,0.0691513127069785,7,2,0.546861032188192,"no","",0.000182074932609064,0.0164271047227926,487
"SGCE",6,4,0.562017242318798,"no",-0.026405608448919,0.122984320980114,0.0746264223761063,0.193345551704307,5,4,0.58568802829249,"no","",0.0223625455237283,0.0349075975359343,487
"PPP1R10",8,2,0.565025039591939,"no",-0.345613604066108,0.143287269893355,-0.264533660068316,0.0541718001382015,7,2,0.514452499000939,"no","",0.869981493699175,0.00616016427104723,487
"FRMPD2P1",8,2,0.568295364692826,"no",NA,NA,NA,NA,0,0,NA,NA,"",NA,0.00616016427104723,487
"BAG6",7,2,0.571542832602035,"no",-0.0834391495060403,0.197254146793485,-0.0795445997439667,0.0508705203937953,6,2,0.449065250798739,"no","",0.720774762815714,0.00410677618069815,487
"ATP13A5",5,5,0.571909208766145,"no",0.0722761312684893,0.127265074285024,-0.114758015473531,0.183147171329476,5,4,0.246215753034839,"no","",1.53200469874468e-07,0.297741273100616,487
"GJA8",7,3,0.576272579205546,"no",0.00298299121821927,0.172947138146442,-0.0311157430591522,0.0885196873658851,6,3,0.264521665096992,"no","",0.320763739214419,0.0513347022587269,487
