"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"RASGRP4",5,0.141540843645106,"no",-0.143470365310857,0.293958051601332,5,0.24261375731172,"no","","","",82
"ALDH1B1",5,0.141653229676447,"no",-0.135143321839436,0.10020952807975,5,0.197021488720825,"no","","","",82
"MINK1",5,0.141681335036765,"no",0.0385230557553614,0.0218429545381066,5,0.839159405413513,"no","","","BAP1 (enriched, 36% vs 10%)",82
"LHX2",5,0.141737556380503,"no",0.0415602590608626,0.151840772272895,5,0.99944742109283,"no","","","",82
"MST1",5,0.141962583399338,"no",-0.0384186365769745,0.0713126535497151,5,0.000465051345040688,"no","","","",82
"PEX6",5,0.142159667953401,"no",-0.0948013554768963,0.183004879384626,5,0.0109232482573323,"no","","","",82
"OR51E1",5,0.14241331735519,"no",-0.068414381151881,0.282841461815367,5,0.770706007084385,"no","","","",82
"ERCC1",5,0.142497930901343,"no",-0.0956962288152785,0.0212259095816683,5,0.0220743711997225,"no","","","",82
"GPR142",4,0.142896706336019,"no",-0.0322869194403083,0.125002331028164,4,0.10451075437832,"no","","","",82
"IKZF3",5,0.143119404175744,"no",-0.0520068107021902,0.111201811638977,5,0.105187718910566,"no","CLL_ambiguous","","",82
"AKAP13",5,0.143289194391979,"no",-0.197942796599089,0.113944412383734,5,0.31736290516055,"no","","","",82
"ADAMTS3",5,0.143430783640208,"no",-0.00858621550679005,0.108324881874831,5,0.685242159257255,"no","","","",82
"G2E3",5,0.143515779692233,"no",-0.0104029205163412,0.197197893825032,5,0.93306523099308,"no","","","",82
"LRRC3",5,0.143657510618423,"no",0.118716407261995,0.092255725423053,5,0.792142720816214,"no","","","",82
"ARID5B",5,0.143827704616712,"no",-0.219714399838044,0.200508750569955,5,0.163925122688844,"no","","","",82
"PDE5A",5,0.143998026130115,"no",0.144266354532739,0.082288853495728,5,0.963207240903045,"no","","","",82
"HTR3B",4,0.144232499805932,"no",0.0140500641827814,0.0755181141102748,4,0.893019967624031,"no","","","",82
"CYP27A1",4,0.144264397223851,"no",-0.0906163385683411,0.370327835570524,4,0.313080135816424,"no","","","",82
"RAPGEF4",5,0.144395938898905,"no",-0.0179061766346004,0.229145839286345,5,0.686541469394799,"no","","","",82
"FLT3",5,0.144709071707478,"no",0.0310426196714614,0.0966852489389973,5,0.025118500624083,"no","ALL_Act,AML_Act","TP53 (depleted, 0% vs 22%)","",82
"FBLN1",5,0.144851546496252,"no",0.047048449418146,0.0699590787100571,5,0.958795643434759,"no","BC_Act","","",82
"ACADL",4,0.145095244811604,"no",0.103951517981409,0.0622981125937036,4,0.356901416051075,"no","","","",82
"NEK10",5,0.145108224287897,"no",-0.155269469207171,0.191135570673032,5,0.29387494172471,"no","","","",82
"ZXDC",4,0.145159276980329,"no",0.0940013722945973,0.150334659517014,4,0.948564696601233,"no","","","",82
